Time,Open,High,Low,Last,Change,Volume
"11/24/17 21:25",1.41,1.41,1.41,1.41,0,0
"11/24/17 18:55",1.41,1.41,1.41,1.41,0,0
"11/24/17 17:45",1.41,1.41,1.41,1.41,0,0
"11/24/17 16:55",1.41,1.41,1.41,1.41,0,0
"11/24/17 16:45",1.41,1.41,1.41,1.41,0,0
"11/24/17 16:35",1.41,1.41,1.41,1.41,0,0
"11/24/17 16:25",1.41,1.41,1.41,1.41,0,0
"11/24/17 16:15",1.41,1.41,1.41,1.41,0,0
"11/24/17 16:05",1.41,1.41,1.41,1.41,0,0
"11/24/17 15:55",1.41,1.41,1.41,1.41,0,0
"11/24/17 15:45",1.41,1.41,1.41,1.41,0,0
"11/24/17 15:35",1.41,1.41,1.41,1.41,0,0
"11/24/17 15:25",1.41,1.41,1.41,1.41,0,0
"11/24/17 15:15",1.41,1.41,1.41,1.41,0,0
"11/24/17 15:05",1.41,1.41,1.41,1.41,0,0
"11/24/17 14:55",1.41,1.41,1.41,1.41,0,0
"11/24/17 14:45",1.41,1.41,1.41,1.41,0,0
"11/24/17 14:35",1.41,1.41,1.41,1.41,0,0
"11/24/17 14:25",1.41,1.41,1.41,1.41,0,0
"11/24/17 14:15",1.41,1.41,1.41,1.41,0,0
"11/24/17 14:05",1.41,1.41,1.41,1.41,0,0
"11/24/17 13:55",1.41,1.41,1.41,1.41,0,0
"11/24/17 13:45",1.41,1.41,1.41,1.41,0,0
"11/24/17 13:35",1.41,1.41,1.41,1.41,0,0
"11/24/17 13:25",1.41,1.41,1.41,1.41,-0.05,0
"11/24/17 13:15",1.46,1.46,1.46,1.46,0.2,0
"11/24/17 13:05",1.26,1.26,1.26,1.26,-0.05,0
"11/24/17 12:55",1.31,1.31,1.31,1.31,0.1,0
"11/24/17 12:45",1.21,1.21,1.21,1.21,-0.1,0
"11/24/17 12:35",1.31,1.31,1.31,1.31,0.05,0
"11/24/17 12:25",1.26,1.26,1.26,1.26,0.03,0
"11/24/17 12:15",1.23,1.23,1.23,1.23,-0.08,0
"11/24/17 12:05",1.31,1.31,1.31,1.31,0.09,0
"11/24/17 11:55",1.22,1.22,1.22,1.22,0.02,0
"11/24/17 11:45",1.2,1.2,1.2,1.2,-0.1,0
"11/24/17 11:35",1.3,1.3,1.3,1.3,-0.08,0
"11/24/17 11:25",1.38,1.38,1.38,1.38,0.09,0
"11/24/17 11:15",1.29,1.29,1.29,1.29,0,0
"11/24/17 11:05",1.29,1.29,1.29,1.29,-0.21,0
"11/24/17 10:55",1.5,1.5,1.5,1.5,-0.04,0
"11/24/17 10:45",1.54,1.54,1.54,1.54,0.07,0
"11/24/17 10:35",1.47,1.47,1.47,1.47,0.16,0
"11/24/17 10:25",1.31,1.31,1.31,1.31,-0.29,0
"11/24/17 10:15",1.6,1.6,1.6,1.6,-0.35,0
"11/24/17 10:05",1.95,1.95,1.95,1.95,-0.86,0
"11/24/17 09:55",2.81,2.81,2.81,2.81,1.69,0
"11/22/17 23:40",1.12,1.12,1.12,1.12,0,0
"11/22/17 21:55",1.12,1.12,1.12,1.12,0,0
