Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,39.77,33.576,30.0811,34.1663,1332601
7/10/2020,37.09,33.295,33.0956,34.1634,594919
7/9/2020,37.05,33.2145,33.4223,34.1486,749460
7/8/2020,34.63,32.77,34.9934,34.3322,707190
7/7/2020,33.77,32.354,35.0251,34.162,590936
7/6/2020,30.99,31.872,35.3911,34.1173,695089
7/2/2020,32.02,31.517,35.1105,34.0933,771200
7/1/2020,33.8,31.145,35.1068,34.0928,554191
6/30/2020,33.41,30.64,34.9856,34.4076,563148
6/29/2020,34.58,30.1935,34.4211,34.1449,561010
6/26/2020,36.08,29.7425,32.9714,34.0025,1052218
6/25/2020,33.57,29.2385,33.3805,34.0191,818660
6/24/2020,34.05,28.8905,33.0928,34.2232,1061111
6/23/2020,31.49,28.5135,33.2075,33.9656,1512583
6/22/2020,30.23,28.2635,32.4715,33.8984,751522
6/19/2020,31.65,28.1035,31.6655,33.8492,1275859
6/18/2020,31.23,27.9785,31.9278,33.8513,552534
6/17/2020,31.8,27.797,31.9743,34.0987,687485
6/16/2020,32.03,27.665,31.4255,33.7867,936161
6/15/2020,32.28,27.4435,31.3537,33.6739,630643
6/12/2020,34.15,27.422,29.5627,33.469,1399132
6/11/2020,35.48,27.3275,27.1169,33.1669,1318906
6/10/2020,28.16,27.1975,27.1843,33.3922,1162523
6/9/2020,26.31,27.2395,25.7899,32.9574,1220362
6/8/2020,24.13,27.317,26.1203,33.0041,545996
6/5/2020,23.89,27.4545,24.9561,32.923,1107536
6/4/2020,24.58,27.6685,25.174,33.064,461671
6/3/2020,23.7,27.925,25.5264,33.439,456592
6/2/2020,24.48,28.245,25.8667,33.2495,349610
6/1/2020,25.56,28.6435,26.9094,33.256,363308
5/29/2020,26,29.05,26.9809,33.2528,651802
5/28/2020,26.61,29.605,27.1964,33.2359,724380
5/27/2020,26.51,29.9935,29.9008,33.4827,561852
5/26/2020,26.49,30.5785,28.0161,33.1826,632763
5/22/2020,27.03,31.0215,29.358,33.2261,524785
5/21/2020,29.15,31.571,29.8688,33.2505,531539
5/20/2020,27.6,32.278,31.2887,33.5017,550352
5/19/2020,29.16,33.1055,30.5624,33.4201,490857
5/18/2020,27.6,33.9815,30.68,33.433,628696
5/15/2020,31.85,34.787,31.3714,33.3026,934887
5/14/2020,32.26,35.2555,31.376,33.3603,805920
5/13/2020,32.88,35.7165,31.1166,33.5482,969541
5/12/2020,29,36.1625,30.6399,33.7894,846363
5/11/2020,27.86,36.699,32.9836,33.7759,771249
5/8/2020,26.88,37.369,37.5048,33.8015,935530
5/7/2020,28.17,38.2065,37.7203,33.8103,860384
5/6/2020,29.71,38.997,35.4523,34.0737,654851
5/5/2020,30.1,39.9576,40.1473,34.13,710664
5/4/2020,32.45,40.7605,41.0892,34.112,501488
5/1/2020,33.69,41.981,41.0648,34.03,1369239
4/30/2020,37.1,43.2122,41.1524,34.1264,833656
4/29/2020,34.38,44.5479,41.1428,34.4744,448063
4/28/2020,38.21,45.5712,40.8042,34.0912,289609
4/27/2020,35.35,46.5907,41.9773,34.0844,354288
4/24/2020,38.02,48.0818,43.9821,34.0255,680241
4/23/2020,43.29,49.1825,45.4498,33.9696,648340
4/22/2020,44.15,50.3786,48.64,34.2274,445759
4/21/2020,46.68,51.1638,51.1052,33.8119,650907
4/20/2020,43.71,52.1441,54.1904,33.7725,401458
4/17/2020,41.22,53.8924,54.1794,33.7623,1097534
4/16/2020,41.48,55.7606,57.2012,33.7475,628851
4/15/2020,41.8,57.8143,58.4629,34.0107,540046
4/14/2020,39.73,59.6711,60.1338,33.4963,970617
4/13/2020,41.26,62.185,62.7156,33.4564,493471
4/9/2020,43.63,62.9859,65.3132,33.4376,734487
4/8/2020,43.98,64.6161,65.9189,33.4161,581912
4/7/2020,48.923,65.4081,66.3147,33.4838,767422
4/6/2020,46.157,65.6161,65.6558,32.5287,687375
4/3/2020,56.86,66.3086,67.0775,32.4993,656533
4/2/2020,58.314,65.8847,67.3569,32.4529,559961
4/1/2020,63.813,65.233,66.8508,32.6151,577302
3/31/2020,54.846,63.8252,67.8744,32.0673,532947
3/30/2020,58.601,63.2026,69.9695,32.0115,415065
3/27/2020,65.172,62.0822,71.4261,31.8463,772712
3/26/2020,60.034,61.3451,71.4441,31.486,660930
3/25/2020,67.212,60.5832,70.4966,31.8159,794136
3/24/2020,59.854,58.9498,68.5948,30.7108,766103
3/23/2020,66.285,57.7993,67.9918,30.2454,852795
3/20/2020,78.677,56.1611,64.4179,29.6316,838438
3/19/2020,78.584,53.5553,64.0553,29.5755,717918
3/18/2020,82.554,50.811,61.1189,29.0335,765740
3/17/2020,78.935,47.7565,60.1701,28.7007,892360
3/16/2020,90.009,44.9532,56.5166,28.0597,828450
3/13/2020,57.277,41.5727,53.1921,27.4952,1316326
3/12/2020,76.234,39.89,50.1629,26.9467,1216658
3/11/2020,59.822,37.2706,48.9903,27.2884,643572
3/10/2020,53.082,35.5323,46.7163,26.4287,942079
3/9/2020,60.007,34.1151,43.9033,26.0162,698860
3/6/2020,48.382,32.3982,41.4211,25.6471,1143441
3/5/2020,45.28,31.1223,40.7639,25.4928,889854
3/4/2020,35.657,30.0676,39.7903,25.7828,888702
3/3/2020,42.394,29.509,38.399,24.8577,1150445
3/2/2020,36.194,28.7372,37.8202,24.4568,1061361
2/28/2020,50.429,28.4818,35.5303,24.0591,1695175
2/27/2020,44.796,27.1486,33.2186,23.6917,1352416
2/26/2020,34.544,26.122,33.6616,24.1323,938614
2/25/2020,36.844,25.9941,29.8434,23.266,1145657
2/24/2020,33.521,25.8698,27.4671,22.976,869158
2/21/2020,26.561,25.8165,26.8179,22.9023,1145344
2/20/2020,23.697,25.9463,26.8067,22.8963,761561
2/19/2020,21.466,26.1896,30.1891,23.4501,629229
2/18/2020,22.868,26.5589,24.6998,22.6371,852822
2/14/2020,22.399,26.8842,25.3454,22.637,660077
2/13/2020,23.623,27.3355,25.3077,22.6334,613613
2/12/2020,23.846,27.809,27.8952,23.1415,728676
2/11/2020,25.057,28.2873,25.4718,22.541,518422
2/10/2020,24.737,28.6402,24.5447,22.4641,501337
2/7/2020,25.669,29.0489,25.3731,22.4885,895047
2/6/2020,22.864,29.3548,25.5571,22.499,923239
2/5/2020,24.185,29.6892,27.6351,23.0339,649467
2/4/2020,24.486,29.9872,24.4031,22.4041,752423
2/3/2020,26.959,30.2681,22.7669,22.2228,851552
1/31/2020,31.086,30.4729,20.5079,21.9983,1363492
1/30/2020,23.764,30.4656,20.8125,22.0604,932166
1/29/2020,24.264,30.6709,22.9645,22.7296,1346960
1/28/2020,31.985,30.8113,20.8125,22.0445,1012717
1/27/2020,34.358,30.4734,20.8125,22.0997,575258
1/24/2020,32.457,29.8227,20.443,22.0854,1068410
1/23/2020,29.155,29.1747,20.8159,22.1252,571802
1/22/2020,28.565,28.653,21.0201,22.7035,574831
1/21/2020,28.851,28.1535,20.9965,22.2296,638557
1/17/2020,29.374,27.6826,20.9051,22.2836,994613
1/16/2020,31.424,27.1579,20.7273,22.292,754155
1/15/2020,33.095,26.5175,20.8786,22.8389,888820
1/14/2020,33.411,25.805,20.913,22.336,913339
1/13/2020,32.115,25.0823,20.6664,22.2794,877096
1/10/2020,32.91,24.4993,20.6033,22.3076,1278129
1/9/2020,31.788,23.8974,20.13,22.3099,1490404
1/8/2020,29.552,23.3372,19.5833,22.7753,982567
1/7/2020,30.144,22.8936,20.0169,22.3172,484609
1/6/2020,30.105,22.3688,18.9067,22.4435,643031
1/3/2020,31.056,21.9569,18.6256,22.7421,1077417
1/2/2020,30.939,21.5061,19.8937,22.8177,1090709
12/31/2019,27.869,21.1214,19.5992,23.3631,544186
12/30/2019,27.074,20.7642,19.0161,22.8679,836153
12/27/2019,25.225,20.3857,18.703,23.1118,1219651
12/26/2019,21.344,20.0529,17.8503,23.4132,770680
12/24/2019,19.498,19.9325,18.4408,24.0305,253161
12/23/2019,18.721,19.9207,18.0538,23.7223,589741
12/20/2019,18.575,20.0495,17.718,23.8212,704213
12/19/2019,19.433,20.2588,18.1386,24.0258,473820
12/18/2019,18.88,20.3629,18.1523,24.5806,442640
12/17/2019,18.615,20.4021,18.1828,24.1155,486066
12/16/2019,18.846,20.4088,17.911,24.2189,834541
12/13/2019,18.958,20.3959,17.3754,24.2077,969727
12/12/2019,20.454,20.3955,17.19,24.2124,912464
12/11/2019,20.871,20.3086,17.0642,24.8036,422718
12/10/2019,20.586,20.158,17.6041,24.4744,527097
12/9/2019,20.678,20.0145,17.2824,24.6542,754201
12/6/2019,19.649,19.8629,16.9808,24.8625,866494
12/5/2019,21.868,19.7484,16.7418,25.0791,458539
12/4/2019,22.039,19.5294,16.5784,25.8198,360885
12/3/2019,23.245,19.3954,14.0144,25.1822,700095
12/2/2019,20.725,19.2275,16.1242,25.2334,457063
11/29/2019,19.504,19.182,16.1615,25.4025,294954
11/27/2019,18.57,19.2126,16.5407,25.4723,335566
11/26/2019,18.935,19.795,18.7668,26.0047,290912
11/25/2019,19.262,20.2633,16.3294,25.5351,367933
