Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,60.01,55.321,47.1866,54.301,539115
7/10/2020,64.89,55.132,51.0708,54.2826,533859
7/9/2020,65.17,54.7645,46.4974,53.819,908978
7/8/2020,55.07,54.071,51.5925,54.2345,241030
7/7/2020,56.19,53.768,51.6138,54.0061,291815
7/6/2020,55.94,53.378,51.5912,54.0289,386339
7/2/2020,53.75,52.99,51.8309,54.0255,217434
7/1/2020,54.16,52.692,51.6798,54.0122,222002
6/30/2020,54.76,52.384,51.0755,54.4272,380677
6/29/2020,57.19,51.989,50.1076,54.1422,343074
6/26/2020,58.6,51.49,50.0838,54.0867,295056
6/25/2020,53.34,50.9485,49.6559,54.2261,381966
6/24/2020,55.23,50.751,54.2279,54.3874,431528
6/23/2020,51.44,50.4255,56.8565,54.1587,375475
6/22/2020,49.33,50.328,56.8449,54.192,383607
6/19/2020,51.35,50.279,57.636,54.3329,420596
6/18/2020,51.77,50.2535,58.0339,54.342,233970
6/17/2020,52.47,50.1385,58.3218,54.6133,258706
6/16/2020,52.25,50.0165,57.5272,54.4278,410570
6/15/2020,53.51,49.888,56.645,54.3479,319562
6/12/2020,56.23,50.0085,55.3444,54.1203,499018
6/11/2020,57.54,49.9825,52.7755,53.7093,555435
6/10/2020,51.3,49.951,54.2377,53.9734,706648
6/9/2020,49.01,49.881,52.6371,53.4054,727142
6/8/2020,48.39,49.823,52.9367,53.4128,305055
6/5/2020,48.18,49.8865,53.16,53.8131,524457
6/4/2020,47.79,50.0665,53.1317,53.8194,311744
6/3/2020,48,50.3815,53.802,54.2944,245493
6/2/2020,46.86,50.6825,56.2272,54.5725,213660
6/1/2020,47.21,51.206,57.4281,54.5735,196154
5/29/2020,47.77,51.75,56.8727,54.5307,362197
5/28/2020,49.39,52.048,57.2944,54.5844,396348
5/27/2020,48.72,52.15,52.8084,54.7875,540615
5/26/2020,49.49,52.7075,51.34,54.3241,285709
5/22/2020,48.35,53.2955,57.1097,54.3807,284084
5/21/2020,50.84,54.1635,57.0915,54.2868,282922
5/20/2020,49.47,55.149,51.8346,54.496,236690
5/19/2020,50.03,56.232,57.2055,54.2649,372606
5/18/2020,49.68,57.343,57.9644,54.2687,267764
5/15/2020,55.92,58.238,60.5969,54.2614,386519
5/14/2020,55.71,58.768,61.6221,54.1619,380409
5/13/2020,56.91,59.401,56.0631,54.3264,508712
5/12/2020,49.9,59.908,59.474,54.1174,296244
5/11/2020,47.85,60.5805,58.9185,53.9126,388252
5/8/2020,49.66,61.3605,64.4844,54.0082,319000
5/7/2020,51.78,62.084,65.6322,54.0704,247554
5/6/2020,54.09,62.77,60.0325,54.3139,234273
5/5/2020,54.02,63.5597,67.3689,54.4439,301674
5/4/2020,57.33,63.8706,67.3875,54.1775,376068
5/1/2020,58.09,64.5621,66.5667,54.3108,527566
4/30/2020,53.73,65.2168,67.2929,54.4872,346240
4/29/2020,51.43,66.4058,67.3546,55.0574,623391
4/28/2020,59.87,67.3761,67.2985,54.4924,523521
4/27/2020,61.25,67.9908,67.2988,54.4152,304093
4/24/2020,65.71,68.9109,68.3282,54.4613,323893
4/23/2020,70.55,69.5436,69.9766,54.4492,323604
4/22/2020,71.13,69.9293,72.8911,54.8378,319283
4/21/2020,72.25,70.3345,69.7697,53.7226,550375
4/20/2020,67.58,70.9213,71.6133,53.623,381218
4/17/2020,66.52,72.3144,73.9166,53.6231,391685
4/16/2020,68.37,73.971,78.2177,53.5792,621372
4/15/2020,67.05,76.3935,80.6174,54.1114,543450
4/14/2020,63.35,77.8886,82.6644,53.2022,542004
4/13/2020,63.45,80.2156,84.9104,52.9114,316366
4/9/2020,64.13,81.0467,88.3496,52.8259,353461
4/8/2020,65.499,82.9316,89.1166,52.9402,218711
4/7/2020,69.886,83.6969,88.9371,53.3556,375174
4/6/2020,60.236,83.8954,88.3441,52.0187,428629
4/3/2020,71.161,85.2657,88.2572,51.8738,338524
4/2/2020,71.183,85.468,88.839,52.2376,287669
4/1/2020,77.51,85.5359,88.8699,52.686,393863
3/31/2020,70.836,84.9763,89.38,51.8218,255262
3/30/2020,72.165,85.098,90.3606,51.8311,215659
3/27/2020,79.652,84.8994,93.4476,51.7646,297391
3/26/2020,78.365,85.0001,94.5191,51.6637,230902
3/25/2020,78.263,84.8501,93.7413,52.3211,232452
3/24/2020,79.234,84.1372,93.5539,51.0567,375630
3/23/2020,83.987,83.4149,96.0826,51.0719,276591
3/20/2020,95.441,82.1777,96.8797,51.4017,390045
3/19/2020,99.652,80.1573,94.9061,51.1396,298374
3/18/2020,116.821,77.7316,92.1832,52.0056,311699
3/17/2020,96.952,74.3586,89.9064,50.7989,326420
3/16/2020,109.889,71.851,84.4276,49.871,514224
3/13/2020,80.071,68.5877,79.9252,49.1876,432599
3/12/2020,101.83,66.9601,75.1724,48.4418,394026
3/11/2020,80.803,64.2125,74.4072,49.0963,324448
3/10/2020,73.857,62.5429,74.9702,48.2119,288401
3/9/2020,87.643,61.1814,70.8661,47.6692,353408
3/6/2020,75.207,59.0804,70.4844,47.5192,469154
3/5/2020,72.539,57.5649,69.8864,47.6552,317212
3/4/2020,66.32,56.1095,68.309,48.1362,329441
3/3/2020,73.268,54.9289,65.7642,46.9704,439202
3/2/2020,68.193,53.4054,64.733,46.8213,297063
2/28/2020,81.667,52.3489,62.657,46.2223,574319
2/27/2020,75.365,50.3971,60.4552,45.8188,626661
2/26/2020,64.005,48.7762,61.6321,46.5023,321734
2/25/2020,64.788,48.3694,54.9818,45.2779,456743
2/24/2020,59.243,48.0584,50.569,44.7041,631036
2/21/2020,55.034,47.9887,46.0585,44.2031,750397
2/20/2020,51.136,47.9482,45.6364,44.1559,688466
2/19/2020,49.362,48.1092,51.8097,44.9337,634020
2/18/2020,46.799,48.327,43.309,44.0478,702801
2/14/2020,44.623,48.735,43.2005,44.0599,338141
2/13/2020,47.52,49.2877,43.277,44.0479,375840
2/12/2020,46.878,49.8027,50.1803,44.9106,322253
2/11/2020,47.41,50.2607,43.6405,44.0772,693980
2/10/2020,46.627,50.6385,39.9288,43.7891,436533
2/7/2020,45.624,51.1912,39.335,43.7658,455157
2/6/2020,44.898,51.857,39.2874,43.7204,391449
2/5/2020,43.429,52.5033,45.5205,44.6149,239128
2/4/2020,42.708,53.1534,41.785,43.729,316601
2/3/2020,42.799,53.9082,40.343,43.608,355510
1/31/2020,47.062,54.571,39.2635,43.9609,424260
1/30/2020,42.632,54.8275,35.9918,43.8624,477308
1/29/2020,42.948,55.1926,38.9226,44.8944,921656
1/28/2020,55.868,55.4271,35.9918,43.9704,533579
1/27/2020,58.568,54.8815,35.9918,44.0673,338892
1/24/2020,57.848,53.9252,33.5919,44.03,595885
1/23/2020,54.225,53.0835,34.1716,44.1499,246746
1/22/2020,54.356,52.3217,34.7382,45.6385,267958
1/21/2020,53.717,51.4716,34.662,44.364,348695
1/17/2020,54.96,50.6306,34.3937,44.5938,618646
1/16/2020,55.677,49.7685,34.016,44.6937,568965
1/15/2020,57.819,48.841,34.6868,46.0174,331447
1/14/2020,56.039,47.8098,35.9202,44.8231,241833
1/13/2020,54.965,46.9434,42.0839,45.0703,233895
1/10/2020,57.682,46.2758,41.6275,45.2408,471439
1/9/2020,58.94,45.3576,40.6555,45.304,656037
1/8/2020,57.825,44.3332,40.745,47.0232,402242
1/7/2020,56.43,43.3529,40.3988,46.1931,359549
1/6/2020,57.804,42.3907,40.4032,46.7533,313718
1/3/2020,56.055,41.4861,39.3032,47.2478,621062
1/2/2020,52.193,40.7267,37.9207,47.1555,819717
12/31/2019,49.932,40.1529,37.7831,48.5223,184447
12/30/2019,47.638,39.6387,37.4096,47.2825,260423
12/27/2019,44.957,39.1548,37.6432,47.6774,300859
