Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,58.89,39.2605,35.3175,29.6665,330645
7/10/2020,52.52,38.0215,36.0676,29.6647,338966
7/9/2020,50.61,37.2865,35.5931,29.5688,438252
7/8/2020,45.77,36.2185,36.0512,30.2828,242088
7/7/2020,44.56,35.4015,35.7573,29.5436,243535
7/6/2020,42.4,34.477,32.7721,29.1535,330800
7/2/2020,39.32,33.564,32.1294,29.0709,490921
7/1/2020,39.48,32.885,28.8923,28.736,364395
6/30/2020,38.17,32.1335,27.5105,29.3607,180664
6/29/2020,38.39,31.482,27.1752,28.6115,164215
6/26/2020,39.78,30.856,25.5049,28.448,375036
6/25/2020,36.1,30.149,26.2189,28.4537,182444
6/24/2020,36.52,29.736,27.5669,29.173,230798
6/23/2020,33.44,29.272,27.6575,28.4176,273580
6/22/2020,32.82,28.945,27.5796,28.4026,143896
6/19/2020,30.97,28.71,28.2323,28.413,336643
6/18/2020,30.54,28.6475,28.6209,28.4169,121893
6/17/2020,31.2,28.5595,28.7574,29.1438,151811
6/16/2020,30.89,28.404,28.2774,28.3536,160768
6/15/2020,32.84,28.167,28.0624,28.2976,154532
6/12/2020,34.11,27.9215,26.029,28.0885,345981
6/11/2020,37.82,27.678,25.4014,27.9786,324034
6/10/2020,29.25,27.3475,25.7423,28.7101,263738
6/9/2020,29.43,27.325,24.3989,27.9265,361216
6/8/2020,26.07,27.2095,24.1404,28.0142,195083
6/5/2020,24.14,27.2505,23.8354,27.9829,237772
6/4/2020,25.74,27.548,23.7892,28.0201,197864
6/3/2020,24.45,27.864,24.2698,28.8151,156496
6/2/2020,25.14,28.2245,25.583,28.3856,98208
6/1/2020,25.87,28.6895,26.5375,28.4226,132346
5/29/2020,25.64,29.2405,28.0853,28.4123,217650
5/28/2020,27.84,30.1975,27.6265,28.3635,184078
5/27/2020,27.24,31.017,30.4854,28.9335,231505
5/26/2020,26.9,31.838,26.5828,28.178,146179
5/22/2020,28.12,32.644,29.2952,28.218,232997
5/21/2020,29.72,33.4785,28.9686,28.1372,269195
5/20/2020,28.78,34.361,31.6719,28.8754,193781
5/19/2020,28.09,35.3075,31.4871,28.1167,235731
5/18/2020,26.15,36.5505,32.4115,28.1342,152167
5/15/2020,27.93,37.8,34.7093,28.1221,251657
5/14/2020,29.24,39.0615,37.8557,28.1966,138247
5/13/2020,31.21,40.3395,36.7559,28.9052,169140
5/12/2020,28.8,41.1105,36.9912,28.2982,117649
5/11/2020,27.12,41.858,37.0348,28.328,121423
5/8/2020,26.89,42.5595,38.7474,28.3541,191044
5/7/2020,30.09,43.038,38.7109,28.3418,111569
5/6/2020,32.06,43.383,41.5895,29.0945,113236
5/5/2020,31.66,43.6604,38.7842,28.4641,113370
5/4/2020,34.44,43.915,38.0891,28.4736,141695
5/1/2020,36.89,44.3422,37.8855,28.2568,431604
4/30/2020,44.78,44.6669,37.8633,28.2026,248893
4/29/2020,44.23,44.7822,37.8588,28.4906,107270
4/28/2020,43.66,44.7564,37.9263,28.0648,114439
4/27/2020,43.02,44.841,37.2804,27.9588,131381
4/24/2020,44.81,45.2377,38.2875,27.9935,196446
4/23/2020,47.37,45.4767,38.4187,27.9966,189952
4/22/2020,47.71,45.7138,38.9504,28.2442,138503
4/21/2020,52.95,45.7547,39.6792,27.7551,209092
4/20/2020,51.14,45.5969,41.9924,27.7009,154024
4/17/2020,53.16,45.805,43.0514,27.5926,377615
4/16/2020,54.8,46.0394,44.0282,27.368,434961
4/15/2020,46.63,46.4138,45.6375,27.5521,227262
4/14/2020,43.75,47.1588,45.7825,26.919,309714
4/13/2020,41.15,48.3255,44.8819,26.3867,308735
4/9/2020,36.46,48.7697,46.9331,26.3652,216991
4/8/2020,36.991,50.0608,47.7728,26.3524,158608
4/7/2020,37.607,50.5607,49.6067,26.621,164276
4/6/2020,36.752,50.7823,50.0834,26.0877,158564
4/3/2020,42.984,51.3629,50.9276,26.0811,162760
4/2/2020,43.384,51.2271,51.4477,26.0711,128392
4/1/2020,47.086,51.0121,51.8759,26.3242,123304
3/31/2020,43.714,50.2437,53.1099,26.029,113713
3/30/2020,45.351,49.941,53.2081,25.9172,122316
3/27/2020,50.954,49.3356,54.5482,25.8321,154198
