Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,74.26,78.353,81.6395,70.6802,310310
7/10/2020,69.82,80.0735,90.7807,70.5844,367756
7/9/2020,75,82.6335,91.5156,70.5027,302449
7/8/2020,72.66,83.3075,92.8868,69.776,297999
7/7/2020,73.57,83.8725,97.04,70.4086,273089
7/6/2020,72.48,84.146,104.464,70.3578,373871
7/2/2020,70.79,84.3225,105.211,70.2709,306110
7/1/2020,74.31,84.1405,110.091,70.1797,349423
6/30/2020,75.4,83.584,109.294,69.361,405824
6/29/2020,80.11,82.671,104.752,69.2003,593962
6/26/2020,78.06,81.75,105.257,69.1993,382857
6/25/2020,70.98,80.968,105.245,69.0424,402616
6/24/2020,73.78,80.499,104.694,68.2304,369559
6/23/2020,72.87,79.889,106.05,68.8459,253180
6/22/2020,76.41,79.33,106.064,68.8118,256835
6/19/2020,84.17,78.839,105.065,68.5244,416761
6/18/2020,87.32,78.227,104.38,68.3906,408572
6/17/2020,90.86,77.199,105.522,67.8827,285820
6/16/2020,95.38,76.196,104.799,67.7246,472849
6/15/2020,98.83,75.023,101.976,67.1628,383759
6/12/2020,108.67,73.789,97.9053,66.2187,726538
6/11/2020,121.02,72.152,89.4548,64.6595,795819
6/10/2020,88.48,69.688,88.6749,63.9849,676861
6/9/2020,83.96,68.7135,87.4183,64.249,425045
6/8/2020,79.04,67.908,82.4123,63.4557,586887
6/5/2020,76.01,67.4255,74.0687,62.1231,1065300
6/4/2020,67.15,67.3625,72.7631,61.8858,781000
6/3/2020,63.18,67.968,67.3837,60.4851,772430
6/2/2020,57.14,68.6355,70.1739,60.8147,170558
6/1/2020,61.69,69.652,72.8834,60.6967,166515
5/29/2020,62.42,70.5905,73.2176,60.578,276826
5/28/2020,61.6,71.157,74.5243,60.3864,359404
5/27/2020,61.58,71.585,77.4321,59.9852,269662
5/26/2020,61.69,72.6735,73.1583,60.0105,247802
5/22/2020,66.59,73.877,73.9622,60.0201,223273
5/21/2020,71.93,75.285,75.0677,59.8612,457047
5/20/2020,66.76,76.643,78.8202,59.5288,170770
5/19/2020,70.8,78.317,84.6347,59.5871,266496
5/18/2020,71.92,80.1165,82.1725,58.7547,399133
5/15/2020,74.15,81.5905,84.146,58.6481,232795
5/14/2020,75.93,82.9635,83.9564,58.3533,376628
5/13/2020,71.74,84.635,85.6452,58.0795,228681
5/12/2020,68.99,85.9115,86.9631,58.3092,196959
5/11/2020,67.85,87.2785,94.1858,58.2729,178477
5/8/2020,69.39,88.9905,100.653,58.2031,259194
5/7/2020,74.75,90.572,100.89,58.0176,261758
5/6/2020,79.26,92.1817,98.1122,57.793,259455
5/5/2020,76.53,93.8001,105.695,57.6423,207861
5/4/2020,77.47,95.0221,104.832,57.2453,207846
5/1/2020,80.46,97.5286,105.812,56.7124,319559
4/30/2020,73.75,99.9646,105.744,56.5584,317900
4/29/2020,70.16,102.5708,103.67,55.8472,509914
4/28/2020,83.35,104.5183,105.419,56.1526,262387
4/27/2020,85.76,106.7847,107.818,55.9733,233038
4/24/2020,94.75,109.7848,110.712,55.6671,358620
4/23/2020,99.09,111.858,115.891,55.6723,249732
4/22/2020,100.24,114.5265,120.643,54.6968,216876
4/21/2020,106.79,116.7865,125.066,55.4796,233440
4/20/2020,101.4,120.4251,125.957,55.1256,261284
4/17/2020,101.61,125.2334,122.51,53.7391,611916
4/16/2020,109.36,130.864,125.333,53.2765,419992
4/15/2020,97.27,136.6572,127.758,51.8898,390644
4/14/2020,96.33,140.7263,130.192,52.2608,277720
4/13/2020,102.09,143.5663,133.118,51.9114,164842
4/9/2020,101.02,144.7791,135.757,51.5094,321445
4/8/2020,106.944,146.371,138.465,51.1523,291795
4/7/2020,111.629,146.2336,134.26,48.8814,423790
4/6/2020,100.97,144.456,131.204,48.0212,295645
4/3/2020,127.599,143.377,130.683,47.7924,339584
4/2/2020,129.179,140.2979,130.2,47.2865,347915
4/1/2020,125.876,137.0166,124.875,45.4054,302728
3/31/2020,109.109,132.9927,124.231,45.7546,188042
3/30/2020,128.677,129.9269,120.491,44.7761,259114
3/27/2020,145.762,125.868,117.281,43.87,346386
3/26/2020,136.215,121.568,112.651,42.651,393226
3/25/2020,152.459,117.0407,103.052,40.0834,513852
3/24/2020,145.44,111.1727,94.8342,38.564,230546
3/23/2020,179.564,105.581,89.7313,37.4248,214911
3/20/2020,197.565,98.1141,85.4365,36.5387,249401
3/19/2020,214.223,89.5862,81.0049,35.6736,185324
3/18/2020,225.223,80.1674,70.5232,33.4538,293404
3/17/2020,178.653,70.1798,62.8933,32.2948,269737
3/16/2020,153.129,62.4885,57.4566,31.4271,139740
3/13/2020,126.346,56.1515,53.5579,30.7783,157168
3/12/2020,132.857,51.2213,50.4433,30.5115,224773
3/11/2020,104.196,45.952,48.0069,30.419,264368
3/10/2020,76.078,42.1322,46.2549,30.4305,126463
3/9/2020,79.39,39.7713,43.5757,30.0624,105579
3/6/2020,66.017,37.228,42.2963,29.7434,150453
3/5/2020,63.552,35.3617,40.6715,29.3715,187186
3/4/2020,45.399,33.5418,39.998,29.3282,73165
3/3/2020,47.793,32.541,37.5136,29.0725,62959
3/2/2020,47.499,31.4277,35.1899,28.8074,110557
2/28/2020,59.763,30.4781,33.065,28.4782,157064
2/27/2020,45.668,28.7907,31.2158,28.2021,160253
2/26/2020,35.098,27.8314,29.1027,28.1487,118471
2/25/2020,33.608,27.6179,29.3275,27.7071,128082
2/24/2020,30.225,27.573,29.6057,27.4847,109824
2/21/2020,27.006,27.7185,30.4865,27.4708,99846
2/20/2020,25.849,27.8812,30.4324,27.4755,71275
2/19/2020,25.471,28.158,30.7331,27.6036,106436
2/18/2020,24.826,28.5658,30.431,27.4907,61109
2/14/2020,26.388,28.8369,30.4473,27.4847,152207
2/13/2020,27.743,28.9939,30.9756,27.491,94282
2/12/2020,27.47,29.1147,31.7721,27.6372,222004
2/11/2020,27.801,29.2992,31.6969,27.5058,128051
2/10/2020,28.859,29.4661,31.8618,27.4601,162437
2/7/2020,28.525,29.6161,32.1727,27.4602,148036
2/6/2020,28.69,29.7309,30.4372,27.269,416613
2/5/2020,27.155,29.8733,29.8526,27.3686,213485
2/4/2020,25.384,30.038,29.2835,27.294,67263
2/3/2020,25.527,30.2672,29.3464,27.3067,85144
1/31/2020,28.505,30.5884,29.3052,27.3411,113986
1/30/2020,26.016,30.7115,29.3052,27.4631,115637
1/29/2020,26.482,30.8994,29.364,27.6861,226026
1/28/2020,30.827,31.0208,29.3052,27.4405,101277
1/27/2020,32.711,30.866,28.4794,27.3839,104943
1/24/2020,33.136,30.5378,28.0461,27.2883,413702
1/23/2020,30.258,30.1394,27.6717,27.1565,212530
1/22/2020,31.386,29.8586,27.6884,27.386,396655
1/21/2020,33.626,29.5145,24.9335,26.8649,338150
1/17/2020,30.248,29.0558,23.8782,26.8318,282471
