Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,45.14,35.5525,38.3291,35.7797,271319
7/10/2020,42.96,34.9825,39.2429,35.7555,352110
7/9/2020,44.49,34.6385,37.0358,35.6138,492922
7/8/2020,43.22,33.9725,33.062,35.793,772272
7/7/2020,33.82,33.376,32.9034,35.1642,205210
7/6/2020,35.5,33.2035,28.2672,34.7474,520636
7/2/2020,30.23,32.863,26.6535,34.6207,236427
7/1/2020,31.93,32.843,27.1716,34.6193,110260
6/30/2020,32.43,32.7755,28.9053,35.5543,110231
6/29/2020,34.47,32.7435,28.8249,34.8725,122774
6/26/2020,35.48,32.609,30.2029,34.7856,164206
6/25/2020,34.84,32.474,30.4042,34.8099,123374
6/24/2020,33.96,32.335,31.0279,35.47,159865
6/23/2020,32.61,32.2115,32.3716,34.7382,295316
6/22/2020,32.7,32.1665,32.7657,34.7413,111003
6/19/2020,34.19,32.426,35.1476,34.8146,167978
6/18/2020,32.64,32.8365,35.4004,34.8665,170503
6/17/2020,34.69,33.2805,38.803,35.6528,133726
6/16/2020,32.99,33.548,37.0443,34.9519,247451
6/15/2020,32.76,33.764,38.2318,34.9084,183860
6/12/2020,33.74,34.207,38.0565,34.8729,127725
6/11/2020,36.08,34.7355,37.1484,34.7705,184111
6/10/2020,31.17,35.082,42.6234,35.5486,193680
6/9/2020,31.29,35.639,37.189,34.962,190486
6/8/2020,30.37,36.136,38.0943,34.9594,131056
6/5/2020,28.69,36.634,38.4161,34.9577,143100
6/4/2020,29.83,37.25,40.2066,35.0256,153649
6/3/2020,30.58,37.787,43.7599,35.7099,248574
6/2/2020,31.79,38.1855,39.6642,34.9226,247517
6/1/2020,31.78,38.6305,39.89,34.9318,136478
5/29/2020,32.78,39.1065,38.465,34.7222,361725
5/28/2020,32.06,39.4025,38.2108,34.7113,244949
5/27/2020,31.49,39.5655,42.9873,35.3538,199499
5/26/2020,31.71,39.865,38.217,34.6181,247566
5/22/2020,37.89,40.088,38.217,34.58,621665
5/21/2020,42.4,40.09,38.217,34.5829,367907
5/20/2020,41.52,39.988,37.0939,34.7141,457881
5/19/2020,40.04,39.8725,37.2757,34.6373,322522
5/18/2020,37.31,39.9155,34.5772,34.4069,243019
5/15/2020,41.62,39.9295,35.242,34.4466,185173
5/14/2020,44.31,39.6495,34.1085,34.379,191625
5/13/2020,43.01,39.2695,33.7351,34.6282,186273
5/12/2020,42.31,38.889,33.107,34.5721,169916
5/11/2020,41.23,38.434,32.9953,34.641,207529
5/8/2020,40.33,38.053,33.6716,34.7982,234055
5/7/2020,41.01,37.692,33.6196,34.7866,128148
5/6/2020,40.57,37.3044,33.9485,35.1248,127247
5/5/2020,38.55,36.8793,35.6202,35.2026,153661
5/4/2020,40.69,36.5546,35.5927,35.2187,187439
5/1/2020,41.3,36.3752,33.8827,35.051,194542
4/30/2020,38.7,36.2808,34.798,35.0607,143309
4/29/2020,35.32,36.4694,34.5787,35.2821,116495
4/28/2020,37.48,36.5983,34.6902,35.0014,154004
4/27/2020,36.17,36.6774,35.4683,34.9466,105021
4/24/2020,37.93,37.091,37.2619,34.9598,112305
4/23/2020,40.36,37.293,38.3361,34.8909,139649
4/22/2020,39.21,37.6155,40.1446,35.0829,88566
4/21/2020,40.9,37.7315,42.7004,34.8047,155386
4/20/2020,37.59,38.0302,44.3705,34.7668,208905
4/17/2020,36.02,38.6046,45.3207,34.6931,150478
4/16/2020,36.71,39.6166,48.1103,34.6838,190486
4/15/2020,35.4,40.9628,48.8007,35.0048,123988
4/14/2020,33.21,41.9502,50.6957,34.6428,216971
4/13/2020,33.61,43.2527,53.3179,34.6322,133259
4/9/2020,33.11,43.6166,55.1687,34.5378,125161
4/8/2020,33.258,44.4969,56.0039,34.5179,124283
4/7/2020,32.068,45.0363,57.1941,34.751,138441
4/6/2020,32.057,45.3714,57.5932,34.2061,125195
4/3/2020,37.101,45.8708,58.1302,34.2336,131045
4/2/2020,39.411,46.071,58.2911,34.2231,98035
4/1/2020,42.474,45.9995,57.5013,34.3768,120218
3/31/2020,37.896,45.4604,57.9962,34.1213,117582
3/30/2020,39.063,45.2826,57.9456,34.1256,71850
3/27/2020,44.442,44.9445,58.6411,33.9865,98037
3/26/2020,41.971,44.8106,58.0742,33.7965,93351
3/25/2020,46.808,44.7078,57.1426,33.9244,174626
3/24/2020,41.531,44.0746,55.5922,33.4013,128848
3/23/2020,46.873,43.7775,55.4928,33.075,109368
3/20/2020,49.079,43.0819,54.0969,32.8155,108209
3/19/2020,56.259,42.127,52.9687,32.6047,102439
3/18/2020,63.636,40.7142,49.9176,32.1151,134151
3/17/2020,55.148,38.8748,48.8453,31.9609,127538
3/16/2020,59.259,37.4796,46.3713,31.4947,135965
3/13/2020,40.887,35.9437,43.7402,31.0738,119794
3/12/2020,50.718,35.4093,41.2415,30.6819,159914
3/11/2020,44.044,34.6331,40.3883,30.954,171543
3/10/2020,38.772,34.2034,38.9191,30.3013,126769
3/9/2020,42.045,34.0065,38.6835,30.1529,127169
3/6/2020,41.104,33.6911,38.2295,30.1363,206270
3/5/2020,37.98,33.3429,37.7488,30.0669,201914
3/4/2020,31.692,33.176,37.8819,30.4839,125766
3/3/2020,34.34,33.2545,37.3153,29.9491,142230
3/2/2020,32.302,33.2095,37.5484,29.9412,147737
2/28/2020,41.764,33.3986,37.5917,29.6652,246451
2/27/2020,39.915,32.9963,37.2808,29.5777,245551
2/26/2020,34.145,32.5883,34.5673,30.0405,211814
2/25/2020,35.588,32.5211,37.1675,29.6587,179891
2/24/2020,32.961,32.5201,35.1692,29.379,225342
2/21/2020,29.981,32.6141,34.5481,29.3015,280305
2/20/2020,28.004,32.6274,33.9348,29.2398,219218
2/19/2020,26.847,32.6748,35.1744,29.7427,158299
2/18/2020,27.244,32.8089,34.1686,29.307,191396
2/14/2020,28.541,32.8642,34.1634,29.2725,227588
2/13/2020,30.199,32.8876,34.1604,29.2303,520116
2/12/2020,35.194,32.8348,34.0963,29.6653,496594
2/11/2020,35.451,32.5746,34.2267,29.1313,282948
2/10/2020,34.832,32.2833,33.9813,29.1517,197066
2/7/2020,35.737,31.9863,33.9264,29.1878,210924
2/6/2020,34.141,31.6061,33.9176,29.1691,118797
2/5/2020,34.643,31.2813,32.435,29.5836,159086
2/4/2020,33.26,30.8972,29.4855,28.7914,253951
2/3/2020,33.442,30.5789,29.0504,28.7096,253379
1/31/2020,36.083,30.1807,30.1262,28.7393,229293
1/30/2020,33.717,29.6514,29.3532,28.7738,199616
1/29/2020,31.756,29.1905,29.1421,29.4668,196162
1/28/2020,32.802,28.8687,28.4277,28.7974,171106
1/27/2020,35.566,28.4606,24.9106,28.4939,336778
1/24/2020,34.842,27.8706,23.6428,28.5005,391614
1/23/2020,30.247,27.2729,22.4445,28.4882,238267
1/22/2020,28.951,26.8874,22.2102,29.2272,110389
1/21/2020,29.53,26.548,20.704,28.5668,172314
1/17/2020,28.349,26.2475,20.4973,28.7233,187020
1/16/2020,29.01,25.9741,20.3587,28.7642,137847
1/15/2020,29.142,25.704,20.5723,29.4822,105078
1/14/2020,29.99,25.4576,20.2588,28.8952,164916
1/13/2020,29.626,25.2122,19.1604,28.8155,293145
1/10/2020,28.892,25.0803,19.7004,28.8523,246673
1/9/2020,28.134,24.9727,19.3063,28.9261,182466
1/8/2020,27.644,24.9174,18.9255,29.6009,156826
1/7/2020,26.961,24.9034,18.9014,29.0219,91115
1/6/2020,26.894,24.8817,20.1113,29.3636,99282
1/3/2020,25.479,24.9643,19.5261,29.4968,119994
1/2/2020,25.495,25.0184,20.4432,29.5284,224352
12/31/2019,24.501,25.1357,20.9738,30.4202,91423
12/30/2019,25.32,25.3036,20.9114,29.847,107791
12/27/2019,24.639,25.3801,21.9095,29.9636,143696
12/26/2019,23.766,25.462,23.0413,30.2203,126198
12/24/2019,22.888,25.4759,23.4617,30.9667,65983
12/23/2019,22.536,25.6621,23.3898,30.6356,110560
12/20/2019,22.163,25.9123,23.7944,30.6739,228563
12/19/2019,23.521,26.166,24.0722,30.7693,132335
12/18/2019,22.88,26.3962,24.407,31.425,112265
12/17/2019,23.609,26.6161,24.7434,30.9508,102433
12/16/2019,24.214,26.825,24.6735,31.0925,197869
12/13/2019,25.082,26.9692,24.6919,31.1065,209665
12/12/2019,26.988,27.1722,25.035,31.183,227126
12/11/2019,26.74,27.2475,24.4178,31.8524,169089
12/10/2019,27.029,27.2236,25.7413,31.4044,155021
12/9/2019,27.363,27.2764,25.8486,31.4495,170307
12/6/2019,26.526,27.3386,26.3971,31.7481,234513
12/5/2019,28.548,27.3734,25.4212,31.9205,335476
12/4/2019,26.56,27.2815,25.5738,32.7896,151441
12/3/2019,27.84,27.3724,23.7374,32.1441,152445
12/2/2019,27.861,27.4035,23.3846,32.1653,196812
11/29/2019,26.848,27.2832,24.0404,32.204,206151
11/27/2019,26.279,27.4809,23.5884,32.1761,541856
