Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/15/2020,96.83,82.374,73.752,84.5728,138364
7/14/2020,93.39,81.249,78.2201,84.5749,54106
7/13/2020,89.45,80.496,77.6221,84.3087,93437
7/10/2020,92.95,80.262,79.8763,84.3821,122802
7/9/2020,89.01,79.9995,80.0998,84.343,86596
7/8/2020,89.85,79.562,82.1343,87.9357,50028
7/7/2020,90.74,79.0565,93.1117,84.3066,88379
7/6/2020,82.56,78.751,93.0646,84.3116,67983
7/2/2020,85.1,78.101,93.2786,84.2445,99264
7/1/2020,87.37,77.5535,86.8516,83.5907,269690
6/30/2020,78.19,76.8905,86.8296,87.3411,67343
6/29/2020,80.75,76.742,85.2113,83.455,124387
6/26/2020,73.5,76.577,86.7065,83.5183,84156
6/25/2020,74.64,76.7085,84.2401,83.4864,209645
6/24/2020,72.06,76.5165,87.4977,87.4984,71051
6/23/2020,71.71,76.6925,88.2326,84.1462,103573
6/22/2020,72.3,76.742,87.7576,84.611,86308
6/19/2020,75.84,76.98,87.2806,84.6527,200542
6/18/2020,74.7,76.9975,88.8216,84.7458,106181
6/17/2020,76.54,77.255,88.2676,89.6438,299014
6/16/2020,74.33,77.4125,89.1472,86.3995,77844
6/15/2020,78.33,77.5335,85.8631,86.2581,79535
6/12/2020,84.77,77.8855,84.488,86.1952,114960
6/11/2020,87.7,78.1575,86.6205,86.4252,175683
6/10/2020,80.26,78.3255,89.0372,91.7486,124356
6/9/2020,79.74,78.6315,89.6934,89.2145,205404
6/8/2020,84.63,78.816,80.1046,88.3415,353186
6/5/2020,69.56,78.6755,81.2709,88.5027,93362
6/4/2020,74.15,79.2195,82.6294,88.5783,127820
6/3/2020,74.11,80.0635,96.0729,93.3318,56732
6/2/2020,75.22,81.0035,87.0889,89.0781,66253
6/1/2020,77.45,81.949,86.6585,89.0088,147522
5/29/2020,76.13,82.9815,94.1385,89.2549,148914
5/28/2020,70.8,84.2075,96.4467,89.7163,79524
5/27/2020,75.58,85.446,100.006,94.2225,119800
5/26/2020,72.7,86.5435,99.0215,89.6836,74689
5/22/2020,77.06,87.9375,106.168,89.7626,76665
5/21/2020,76.19,89.674,107.834,89.8507,89988
5/20/2020,79.85,91.3815,113.789,95.2992,137363
5/19/2020,79.69,92.482,106.64,90.7264,189377
5/18/2020,76.75,93.9525,105.843,90.7617,97117
5/15/2020,85.37,95.311,106.704,90.8384,118556
5/14/2020,90.21,95.81,106.747,91.5626,130047
5/13/2020,91.06,96.174,115.974,96.252,241185
5/12/2020,86.38,96.5615,101.274,91.7506,277104
5/11/2020,83.43,96.964,103.568,91.9211,176512
5/8/2020,81.82,97.569,102.163,91.6291,383657
5/7/2020,80.44,98.218,101.64,92.9203,240700
5/6/2020,91.03,99.0903,103.42,96.3769,441986
5/5/2020,92.91,99.21,101.64,94.1825,176067
5/4/2020,94.13,99.2076,101.64,94.7198,53179
5/1/2020,98.1,99.4916,104.92,94.7293,110646
4/30/2020,100.65,99.7374,102.306,94.5967,141484
4/29/2020,95.57,99.5665,102.317,98.349,58612
4/28/2020,97.53,99.4874,101.99,94.8285,97633
4/27/2020,100.58,99.4495,95.2912,94.2127,190203
4/24/2020,111.79,99.8701,95.6864,94.1829,240402
4/23/2020,110.34,99.6705,94.8255,93.7345,162748
4/22/2020,101.86,99.4883,101.539,97.5835,62290
4/21/2020,109.1,99.3426,96.1742,93.3401,122318
4/20/2020,103.92,99.0977,101.254,93.3324,87315
4/17/2020,95.35,99.5661,108.132,93.4519,28062
4/16/2020,97.49,100.7562,112.611,93.6209,28749
4/15/2020,98.81,102.3242,115.059,97.5713,28407
4/14/2020,94.43,102.5479,124.039,93.8381,56809
4/13/2020,95.53,103.6012,127.287,93.93,38925
4/9/2020,94.8,103.8844,135.593,94.0628,38548
4/8/2020,97.887,104.849,137.486,94.2348,25234
4/7/2020,93.423,104.4077,136.077,97.9313,29518
4/6/2020,92.863,103.6905,141.884,93.9835,32510
4/3/2020,99.809,103.1486,142.199,94.1555,38705
4/2/2020,103.016,101.9834,138.991,93.7901,41959
4/1/2020,97.232,100.5416,139.237,97.9305,21753
3/31/2020,93.988,98.9977,140.266,94.0965,22781
3/30/2020,96.772,97.747,141.13,94.2162,20327
3/27/2020,108.993,96.2496,140.846,94.2812,30053
3/26/2020,107.798,94.6457,140.997,94.2083,57245
3/25/2020,106.696,93.8537,146.011,97.9367,44699
3/24/2020,98.945,92.8033,132.878,93.2224,33538
3/23/2020,104.203,92.0833,131.655,93.2384,21244
3/20/2020,113.288,91.2464,126.523,92.6365,39857
3/19/2020,119.152,89.6521,120.188,91.9108,37851
3/18/2020,128.848,87.8675,128.529,95.7837,30942
3/17/2020,103.285,85.7931,113.035,91.3547,31915
3/16/2020,115.497,84.9563,102.013,90.0326,32736
3/13/2020,101.192,83.437,97.0634,89.6064,41139
3/12/2020,114.093,82.5223,85.3614,88.2955,37720
3/11/2020,89.06,80.8532,97.7697,92.5619,32640
3/10/2020,79.08,80.713,79.6102,88.1171,29787
3/9/2020,82.024,81.2294,66.2034,86.9168,32645
3/6/2020,76.506,81.6512,67.3852,87.0378,47651
3/5/2020,74.181,81.8109,68.7597,87.1546,44769
3/4/2020,66.354,82.1274,83.2186,91.7982,79698
3/3/2020,68.974,82.8419,68.3868,87.2345,75966
3/2/2020,66.824,83.4809,66.2765,87.1849,75501
2/28/2020,76.913,84.3008,66.2765,86.5146,162309
2/27/2020,91.958,84.6762,66.2765,86.5506,121646
2/26/2020,85.688,84.4175,66.2765,89.896,75769
2/25/2020,84.545,84.5266,66.1906,86.6577,58792
2/24/2020,87.466,85.0922,64.9579,86.4892,63840
2/21/2020,81.402,84.795,65.9418,86.6919,106592
2/20/2020,83.459,84.8549,66.6482,86.7527,109834
2/19/2020,87.36,85.2116,81.6974,90.3889,127278
2/18/2020,86.55,86.2346,81.2037,87.1278,103872
2/14/2020,85.111,85.3317,82.2158,87.3376,110151
2/13/2020,82.898,85.2706,84.8807,87.5513,96387
2/12/2020,80.712,85.1504,97.2632,91.2855,65177
2/11/2020,86.254,85.7738,108.777,87.9934,89852
2/10/2020,89.409,85.9243,109.554,88.1985,115933
2/7/2020,90.46,84.8587,112.592,88.3148,255692
2/6/2020,79.699,83.4633,113.837,88.5658,70180
2/5/2020,80.513,82.3462,119.388,92.3449,82488
2/4/2020,80.644,81.4783,118.617,88.9138,114523
2/3/2020,81.754,79.8111,117.144,88.9508,115361
1/31/2020,83.22,78.3406,115.544,88.9607,137732
1/30/2020,84.423,76.703,115.781,89.2164,78108
1/29/2020,86.783,75.0071,113.331,92.7952,145567
1/28/2020,87.871,73.1173,112.569,89.2464,134013
1/27/2020,95.857,71.4235,111.739,89.3729,178107
1/24/2020,81.521,69.099,109.782,89.335,192411
1/23/2020,82.599,67.4607,108.825,89.4868,178020
1/22/2020,90.594,65.7464,107.095,93.3521,231045
1/21/2020,107.82,63.5925,96.22,87.9117,301752
1/17/2020,68.492,60.595,95.9773,88.162,158959
1/16/2020,83.889,59.5531,95.5471,88.285,182511
1/15/2020,80.493,57.7498,93.1608,92.1486,231447
1/14/2020,93.18,56.0793,79.7511,86.5278,385937
1/13/2020,89.266,53.7928,62.7055,84.6746,327367
1/10/2020,68.095,51.8117,60.7217,84.7677,352693
1/9/2020,62.554,50.8969,52.7687,84.2944,281720
1/8/2020,57.355,50.2318,50.5811,88.4772,229805
1/7/2020,63.156,49.9058,35.0522,83.3955,204834
1/6/2020,47.3,49.2224,36.9756,83.6729,41528
1/3/2020,52.344,49.5131,38.732,83.9487,54827
1/2/2020,50.469,49.5989,39.4022,84.2212,31867
12/31/2019,50.505,49.801,41.8522,88.6831,29804
12/30/2019,48.987,49.972,42.025,84.7395,30982
12/27/2019,53.994,50.067,42.7632,85.0262,50741
12/26/2019,49.366,49.9459,42.7418,85.2933,35644
12/24/2019,48.757,49.9283,42.8869,89.8669,35793
12/23/2019,48.312,49.8886,43.0024,85.8765,37893
12/20/2019,47.517,49.9728,43.1148,86.1693,68511
12/19/2019,47.869,50.1743,42.0122,86.408,84168
12/18/2019,47.654,50.3877,42.8879,91.0742,42532
12/17/2019,47.823,50.6138,41.2832,86.92,58922
12/16/2019,47.083,50.8596,41.4363,87.1978,50491
