Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,40.19,38.972,41.0824,39.6724,224727
7/10/2020,40.86,39.0285,44.9915,39.613,341025
7/9/2020,39.26,39.285,45.1045,39.6094,180085
7/8/2020,38.92,39.058,44.5488,40.1741,222004
7/7/2020,37.29,38.8175,44.7132,39.5061,161224
7/6/2020,35.44,38.5785,45.3141,39.4849,121248
7/2/2020,35.09,38.4435,44.7656,39.4165,116975
7/1/2020,35.96,38.3135,44.7262,39.3658,122274
6/30/2020,37.08,38.1515,44.5763,40.0208,103022
6/29/2020,39.89,37.9555,44.1163,39.2918,94047
6/26/2020,43.35,37.655,44.219,39.2709,165690
6/25/2020,40.96,37.289,44.9897,39.1399,236207
6/24/2020,42.64,37.051,44.5977,39.6713,252129
6/23/2020,35.55,36.6525,45.4544,38.9802,98765
6/22/2020,37.37,36.5965,44.8572,38.9257,134635
6/19/2020,41.03,36.577,41.8595,38.5451,254902
6/18/2020,38.06,36.388,43.1604,38.5336,101612
6/17/2020,39.87,36.3275,43.5361,39.3043,97605
6/16/2020,40.21,36.1955,45.5258,38.3162,130202
6/15/2020,40.42,35.998,44.809,37.9973,129293
6/12/2020,41.32,35.905,45.8839,38.0385,201052
6/11/2020,45.99,35.855,41.6769,37.4709,291785
6/10/2020,34.72,35.648,43.7935,38.2815,123707
6/9/2020,34.11,35.7565,43.5835,37.4678,115473
6/8/2020,32.51,35.8735,44.5883,37.4347,138415
6/5/2020,32.74,36.075,45.4393,37.3346,254159
6/4/2020,32.49,36.283,45.8522,37.3232,212680
6/3/2020,32.72,36.642,47.7159,38.0866,191038
6/2/2020,33.16,37.4125,48.4073,37.2778,83823
6/1/2020,33.88,38.1085,49.5031,37.2805,109898
5/29/2020,36.03,38.7425,50.9044,37.231,196131
5/28/2020,36.2,39.0785,49.463,36.9883,196555
5/27/2020,34.67,39.199,50.7413,37.697,184281
5/26/2020,34.43,39.554,48.3559,36.7563,197480
5/22/2020,36.98,39.9635,49.0577,36.7604,136449
5/21/2020,37.25,40.605,50.3285,36.7292,206800
5/20/2020,36.85,41.415,51.171,37.4086,327221
5/19/2020,37.23,42.241,50.4923,36.5143,199967
5/18/2020,36.26,43.1775,46.8652,35.9388,352687
5/15/2020,38.56,44.0215,45.6312,35.682,258586
5/14/2020,40.32,44.5675,45.6716,35.4594,180157
5/13/2020,41.85,45.228,47.4515,36.3975,160555
5/12/2020,36.89,45.748,48.8713,35.2195,165454
5/11/2020,36.45,46.415,53.0641,35.2306,191766
5/8/2020,36.54,47.3065,54.0217,35.1274,291333
5/7/2020,36.9,48.209,53.2529,34.9614,229832
5/6/2020,39.67,49.164,52.4237,35.54,451767
5/5/2020,48.13,50.0985,53.2004,34.8622,388156
5/4/2020,47.08,50.537,53.1646,34.7529,189925
5/1/2020,46.56,51.3224,53.5602,34.7141,142677
4/30/2020,42.75,52.4378,54.555,34.5805,133728
4/29/2020,38.61,53.9489,54.4811,34.8627,176163
4/28/2020,41.77,55.3671,55.399,34.2198,163569
4/27/2020,42.62,56.8247,57.5906,33.9511,155595
4/24/2020,49.81,58.6934,59.1054,33.9451,104061
4/23/2020,53.45,59.8509,62.3303,33.9045,130057
4/22/2020,53.37,61.2213,65.5435,34.478,76580
4/21/2020,55.96,62.1179,67.5863,33.7836,144389
4/20/2020,53.14,63.0952,69.5139,33.5408,137863
4/17/2020,49.48,64.7835,71.2899,33.3149,177955
4/16/2020,53.53,66.8111,74.1005,33.3174,138955
4/15/2020,52.25,69.0169,74.7172,33.9066,124110
4/14/2020,50.23,70.7971,79.0407,34.3284,172422
4/13/2020,54.28,73.2033,80.6316,34.0531,132357
4/9/2020,54.59,75.0664,79.66,33.2313,269220
4/8/2020,56,77.4032,80.5108,33.1458,176383
4/7/2020,58.361,78.1407,78.6372,33.065,195052
4/6/2020,56.899,78.1721,79.5894,31.9957,163846
4/3/2020,62.788,78.5782,80.2375,31.899,162462
4/2/2020,68.868,77.8039,80.3111,31.7538,124249
4/1/2020,72.972,76.5793,78.9943,32.163,152980
3/31/2020,66.974,74.4826,78.3616,31.0785,157851
3/30/2020,70.922,72.9799,76.6129,30.6838,162519
3/27/2020,79.993,71.0737,74.132,29.8812,175924
3/26/2020,72.962,69.3729,73.1856,29.5033,144982
3/25/2020,80.857,67.6119,70.3851,29.7436,206162
3/24/2020,71.302,65.104,66.9072,27.7005,201113
3/23/2020,75.507,62.9717,65.6053,27.0565,161284
3/20/2020,86.906,60.398,61.182,26.0734,269061
3/19/2020,90.032,57.0276,57.3559,25.284,235016
3/18/2020,97.645,53.4608,53.2056,25.357,296351
3/17/2020,87.855,49.4692,51.7304,24.2683,148103
3/16/2020,98.354,45.9633,48.0544,23.5392,208244
3/13/2020,91.541,41.9797,44.323,22.8426,406761
3/12/2020,101.326,38.365,41.4433,22.345,331289
3/11/2020,70.75,34.262,39.2325,22.7744,243245
3/10/2020,58.988,31.747,36.7922,21.5593,198314
3/9/2020,65.022,29.805,34.1151,21.1326,223629
3/6/2020,47.302,27.6102,31.8619,20.7945,213217
3/5/2020,44.376,26.2714,29.7017,20.511,278540
3/4/2020,31.038,25.2076,32.3704,21.1636,156935
3/3/2020,36.919,25.3778,28.0819,20.1105,145105
3/2/2020,32.799,25.2091,28.1135,20.0816,177629
2/28/2020,45.977,25.1109,27.7298,19.7679,253334
2/27/2020,37.743,24.1659,25.8777,19.4996,256639
2/26/2020,30.698,23.646,25.9587,20.0218,279693
2/25/2020,28.656,23.4517,21.8007,19.0684,185378
2/24/2020,24.034,23.3948,19.3689,18.7847,195064
2/21/2020,19.498,23.5534,19.4125,18.7898,100737
2/20/2020,18.696,23.9127,19.2719,18.7629,73586
2/19/2020,17.811,24.2225,23.205,19.4239,108666
2/18/2020,17.739,24.5978,19.8161,18.7571,125052
2/14/2020,18.681,24.9315,19.6013,18.7617,121311
2/13/2020,19.247,25.2442,19.6188,18.7671,114997
2/12/2020,19.265,25.5152,24.028,19.4831,84747
2/11/2020,20.45,25.8397,19.666,18.8829,128813
2/10/2020,20.15,26.0366,19.4908,18.877,107467
2/7/2020,21.125,26.299,19.5127,18.8768,146587
2/6/2020,20.526,26.5262,19.7008,18.8974,197363
2/5/2020,23.1,26.7224,21.5107,19.3993,520887
2/4/2020,34.443,26.7555,19.4867,18.7935,558022
2/3/2020,33.544,26.1656,19.4814,18.7652,254254
1/31/2020,30.835,25.4714,20.6149,18.8055,155762
1/30/2020,27.077,24.9004,19.2448,18.6799,123513
1/29/2020,27.346,24.4687,18.9072,18.9804,128329
1/28/2020,26.811,24.0482,18.3772,18.5621,139237
1/27/2020,27.517,23.7047,16.0982,18.3511,174386
1/24/2020,27.208,23.2689,15.6169,18.3217,199486
1/23/2020,26.682,22.8218,15.5534,18.319,162106
1/22/2020,24.893,22.3978,15.5912,18.7065,105995
1/21/2020,25.317,22.0727,15.6076,18.3334,122937
1/17/2020,24.413,21.7287,15.7515,18.3263,121363
1/16/2020,24.935,21.4398,15.5138,18.3169,104935
1/15/2020,24.666,21.0853,15.6826,18.731,111039
1/14/2020,25.755,20.7579,14.5657,18.2779,275786
1/13/2020,24.389,20.3924,14.6699,18.2881,107743
1/10/2020,25.398,20.0811,14.9145,18.3035,96956
1/9/2020,25.669,19.7868,14.7419,18.2847,92377
1/8/2020,24.449,19.4403,15.1502,18.7066,69534
1/7/2020,23.763,19.1898,15.2452,18.3374,88759
1/6/2020,22.644,18.9359,15.1224,18.4712,110339
1/3/2020,19.661,18.7917,14.6485,18.5591,98777
1/2/2020,19.415,18.8316,14.9329,18.5079,149099
12/31/2019,18.442,18.9403,15.8956,18.9703,66048
12/30/2019,18.936,19.0739,15.2438,18.6072,80066
12/27/2019,19.941,19.1824,15.2695,18.8081,74025
12/26/2019,18.801,19.1684,16.1696,19.1429,60757
12/24/2019,18.267,19.1805,16.337,19.7579,52064
12/23/2019,18.202,19.26,16.2151,19.5815,129774
12/20/2019,18.39,19.416,16.093,19.6561,90312
12/19/2019,18.438,19.4955,16.3363,19.7672,108596
12/18/2019,18.634,19.5858,16.2893,20.168,153045
12/17/2019,17.845,19.7233,17.7362,19.8311,82050
12/16/2019,18.12,19.9433,18.2917,19.8288,138926
12/13/2019,18.444,20.1644,18.7838,19.8337,156805
12/12/2019,18.163,20.378,21.1057,19.8786,676966
12/11/2019,19.513,20.6855,21.2687,20.296,97463
12/10/2019,18.737,20.7079,21.2257,20.0325,111523
12/9/2019,19.439,20.7741,21.0691,20.0665,119120
12/6/2019,18.685,20.7745,21.2164,20.1569,117410
12/5/2019,19.76,21.2146,21.7672,20.2961,75720
12/4/2019,20.46,21.5982,23.3008,20.6982,112404
12/3/2019,21.59,21.8263,20.4213,20.239,147958
12/2/2019,21.114,21.988,19.7159,20.1814,175919
11/29/2019,21.104,22.1049,19.8902,20.2457,105891
11/27/2019,19.663,22.2458,19.9476,20.267,164303
11/26/2019,19.041,22.4673,21.6812,20.5995,437225
11/25/2019,19.858,22.7153,19.6173,20.2417,259522
11/22/2019,21.323,22.892,21.0097,20.2397,361678
11/21/2019,19.978,23.0105,21.1092,20.375,118544
11/20/2019,20.246,23.2215,21.8439,20.738,161839
