Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,50.43,41.5785,44.1929,36.614,472544
7/10/2020,47.25,41.089,45.6671,36.5744,387899
7/9/2020,48.13,40.8715,45.4226,36.5339,381164
7/8/2020,47.19,40.144,46.0174,37.6685,497156
7/7/2020,45.55,39.4285,45.0792,36.4043,527262
7/6/2020,43.48,38.682,44.7312,36.3371,409190
7/2/2020,43.76,37.9975,44.2761,36.2774,490957
7/1/2020,42.86,37.4615,42.3072,36.0489,701298
6/30/2020,42.75,36.92,41.6166,37.1113,476149
6/29/2020,46.95,36.391,39.3143,35.4886,708088
6/26/2020,49.21,35.7125,34.3289,34.8365,1018019
6/25/2020,37.55,34.923,35.1692,34.8402,270323
6/24/2020,39.16,34.799,35.2976,35.9523,359736
6/23/2020,35.39,34.542,36.7542,34.7257,538537
6/22/2020,34.81,34.4075,37.0297,34.7288,317717
6/19/2020,34.87,34.417,37.7826,34.7594,541792
6/18/2020,34.93,34.43,40.1732,34.7678,254772
6/17/2020,35.48,34.4425,40.3773,36.0859,330778
6/16/2020,35.35,34.2435,39.6907,34.9377,230543
6/15/2020,36.47,33.9615,39.2173,34.8117,259205
6/12/2020,40.64,33.7375,38.8537,34.7141,320235
6/11/2020,42.9,33.428,37.3144,34.529,396917
6/10/2020,33.58,33.098,37.1329,35.7993,315425
6/9/2020,32.88,32.9435,35.9477,34.4618,467431
6/8/2020,30.62,32.7285,35.7417,34.5183,169387
6/5/2020,29.79,32.6515,35.5165,34.4872,359413
6/4/2020,33.04,32.7245,35.4169,34.4868,318429
6/3/2020,32.03,32.759,35.6407,35.7767,241983
6/2/2020,32.17,32.785,36.3477,35.0978,292255
6/1/2020,33.38,32.9055,35.5467,34.9672,273145
5/29/2020,33.42,33.024,36.4713,34.9544,375599
5/28/2020,35.07,32.9825,37.7278,34.8797,520298
5/27/2020,34.02,33.344,42.5344,35.9653,540967
5/26/2020,32.7,33.872,38.7108,34.5856,508052
5/22/2020,35,34.5055,39.7052,34.6058,678558
5/21/2020,35.13,35.125,39.0712,34.5142,840502
5/20/2020,35.18,35.721,44.0132,35.4844,1003495
5/19/2020,31.5,36.38,37.3438,34.2278,576516
5/18/2020,29.71,37.4105,38.1953,34.2412,210384
5/15/2020,31.99,38.258,38.1328,34.1437,281602
5/14/2020,34.45,38.9575,38.6008,34.2355,205192
5/13/2020,36.3,39.597,44.7535,35.4547,284365
5/12/2020,30.49,40.038,38.9048,34.3092,189226
5/11/2020,28.58,40.603,41.4527,34.3274,156234
5/8/2020,29.08,41.336,45.048,34.3606,205696
5/7/2020,31.25,42.0765,45.7296,34.345,183497
5/6/2020,33.73,42.6766,49.2272,35.6016,245148
5/5/2020,32.55,43.2263,47.3061,34.4243,299132
5/4/2020,34.58,43.845,47.2146,34.2977,217461
5/1/2020,35.75,45.0196,48.6202,34.2105,437687
4/30/2020,32.59,46.3983,48.6202,33.9433,596937
