Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/15/2020,144.2,111.8245,116.232,99.2373,56389
7/14/2020,143.26,108.7335,116.291,98.7509,62175
7/13/2020,136.9,105.7615,106.604,97.6824,81863
7/10/2020,142.21,103.049,108.262,97.553,103445
7/9/2020,127.88,100.102,106.169,97.267,83057
7/8/2020,119.75,97.6415,104.868,99.3089,56942
7/7/2020,108.53,95.553,106.054,96.9702,37399
7/6/2020,105.52,94.2265,105.948,96.9037,42028
7/2/2020,100.2,92.5965,106.569,96.9064,32672
7/1/2020,101.48,91.6185,107.012,96.9106,43645
6/30/2020,109.87,90.5635,105.852,99.1258,46372
6/29/2020,114.67,89.0745,102.028,96.3214,76795
6/26/2020,115.12,87.371,103.039,96.3727,90546
6/25/2020,109.46,85.503,102.682,96.2569,83628
6/24/2020,107.93,83.886,102.45,98.2695,70989
6/23/2020,102.35,82.4255,101.71,95.8264,117114
6/22/2020,89.36,81.447,98.2763,95.3725,48229
6/19/2020,84.12,81.126,100.954,95.2997,28506
6/18/2020,86.2,80.9565,100.387,95.2597,28037
6/17/2020,87.48,80.509,99.2238,97.5861,36124
6/16/2020,82.38,80.124,102.486,95.2681,16408
6/15/2020,83.82,80.1855,99.9334,94.8304,17942
6/12/2020,82.65,80.2255,99.9851,94.7505,5522
6/11/2020,83.27,80.1015,99.623,94.9148,10070
6/10/2020,78.67,79.9365,102.004,97.5554,14459
6/9/2020,77.98,79.877,101.442,95.2223,9203
6/8/2020,82,79.8465,104.839,95.0947,10643
6/5/2020,72.92,79.5855,106.022,95.0098,13246
6/4/2020,80.64,80.138,106.2,95.0628,6686
6/3/2020,80.38,80.9575,113.507,97.3704,11606
6/2/2020,80.09,81.7635,105.299,94.9779,9608
6/1/2020,80.6,82.7545,103.796,94.7657,18174
5/29/2020,77.76,83.66,102.318,94.5865,7524
5/28/2020,77.12,84.5925,101.462,94.6747,12048
5/27/2020,78.72,85.3935,108.916,96.7339,10106
5/26/2020,82.78,86.146,97.4816,94.2625,7017
5/22/2020,82.94,86.6735,94.405,93.8171,14772
5/21/2020,80.73,87.337,91.8181,93.535,8839
5/20/2020,77.25,88.2515,99.5558,96.0638,6569
5/19/2020,79.78,89.17,91.4808,93.7148,8196
5/18/2020,83.61,90.185,88.6963,93.5461,9240
5/15/2020,84.62,90.87,86.1278,93.4318,7260
5/14/2020,80.17,91.1475,87.4585,93.5228,6104
5/13/2020,79.97,91.5385,93.4645,95.8549,14206
5/12/2020,77.48,91.9325,80.6568,93.2149,29447
5/11/2020,77.37,92.627,81.4654,93.2971,19877
5/8/2020,76.78,93.339,75.2713,92.8823,27113
5/7/2020,83.97,93.965,75.2713,92.4764,44498
5/6/2020,97.03,94.1717,74.4777,94.2988,8598
5/5/2020,96.5,93.858,75.2713,92.5256,5676
5/4/2020,99.91,93.2755,75.6002,92.4963,4233
5/1/2020,98.71,92.7552,75.851,92.6219,1053
4/30/2020,96.41,92.6371,77.0558,92.7581,2999
4/29/2020,93.14,92.7693,76.3668,94.8831,1648
4/28/2020,93.77,92.712,74.9042,92.9947,1784
4/27/2020,93.33,92.6225,76.2124,93.1527,1904
4/24/2020,96.21,92.8954,77.4973,93.3285,1446
4/23/2020,99.02,92.9082,79.9266,93.4883,1228
4/22/2020,95.62,92.824,86.5958,95.5857,1569
4/21/2020,100.08,92.8368,85.7133,93.5775,2471
4/20/2020,97.31,92.8178,90.3794,93.6465,6451
4/17/2020,90.17,93.2851,100.659,93.7124,3453
4/16/2020,87.99,93.982,110.711,93.8545,1769
4/15/2020,87.85,95.4575,119.649,96.0155,1716
4/14/2020,91.37,96.6599,128.221,94.0881,3035
4/13/2020,91.61,97.4254,135.196,94.0638,3654
4/9/2020,89.3,98.1041,143.196,94.2332,971
4/8/2020,88.103,98.8208,146.447,94.3828,1610
4/7/2020,90.757,99.1221,148.064,96.5119,1235
4/6/2020,84.849,98.9694,151.79,94.5473,4992
4/3/2020,89.506,99.1652,155.817,94.4995,1366
4/2/2020,96.347,98.7071,156.586,94.6252,802
4/1/2020,99.054,97.6382,156.813,96.8322,3103
3/31/2020,91.994,96.2699,157.983,94.8972,1174
3/30/2020,91.98,95.3453,158.102,95.1084,1877
3/27/2020,98.789,94.3877,158.362,95.1857,518
3/26/2020,96.466,93.6189,158.991,95.2861,1037
3/25/2020,97.335,92.6101,157.987,97.4464,1856
3/24/2020,95.876,91.2951,154.375,94.6556,2811
3/23/2020,99.7,90.1281,156.225,94.7518,3028
3/20/2020,106.657,88.5543,152.34,94.3072,5160
3/19/2020,104.107,86.5027,142.641,92.8536,4899
3/18/2020,117.5,85.6207,137.381,93.7255,3959
3/17/2020,111.898,83.356,123.424,90.1103,5878
3/16/2020,106.68,81.345,114.117,88.8611,7032
3/13/2020,105.184,80.1243,104.758,87.7409,9487
3/12/2020,103.635,78.9651,95.4697,86.6521,2983
3/11/2020,94.129,77.849,96.2518,88.3741,4241
3/10/2020,87.701,77.2125,88.7213,85.8203,2847
3/9/2020,88.765,76.7026,80.9675,85.1694,5579
3/6/2020,80.345,76.2554,70.1143,84.211,11379
3/5/2020,74.969,76.2131,67.4922,84.1557,2820
3/4/2020,71.688,76.5258,72.6555,86.4365,2580
3/3/2020,73.501,76.716,62.762,84.0999,2982
3/2/2020,72.829,76.8091,62.792,84.282,1485
2/28/2020,83.414,76.9305,61.5719,84.2643,4152
2/27/2020,76.289,76.4614,60.9963,84.1943,2721
2/26/2020,71.035,76.3305,64.6903,86.6869,3510
2/25/2020,72.535,76.3687,57.0847,84.2594,3582
2/24/2020,68.225,76.3318,50.5309,83.9069,7962
2/21/2020,65.625,76.4819,50.5309,83.8782,22006
2/20/2020,86.467,76.6136,50.5309,83.8942,29054
2/19/2020,72.207,75.3867,50.5309,86.2123,10759
2/18/2020,71.677,74.9477,50.5555,84.1045,6962
2/14/2020,82.266,74.5034,54.421,84.3206,2683
2/13/2020,82,73.7424,54.8339,84.5359,1768
2/12/2020,81.313,72.7871,54.5091,87.0558,4637
2/11/2020,81.4,71.8729,54.9107,84.9321,2553
2/10/2020,77.502,70.897,55.4011,85.1638,1648
2/7/2020,79.822,70.1138,56.0894,85.3901,2000
2/6/2020,79.497,69.2225,56.2362,85.5975,1344
2/5/2020,81.224,68.4164,50.3828,87.7013,5664
2/4/2020,75.493,67.5286,52.3205,85.5884,2192
2/3/2020,75.361,66.9639,53.2988,85.7936,2829
1/31/2020,75.258,66.3557,58.0965,85.9959,3541
1/30/2020,74.032,65.7808,59.3264,86.1635,2489
1/29/2020,73.671,65.308,61.1976,88.7681,1030
