Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/15/2020,39.1,43.8335,47.7097,41.7689,130276
7/14/2020,42.61,44.221,50.9944,41.8203,87144
7/13/2020,46.02,44.4935,51.7368,41.7693,55936
7/10/2020,45.89,44.7435,54.64,41.5691,66360
7/9/2020,44.96,45.1435,54.2909,41.4958,43343
7/8/2020,42.81,44.9105,54.9039,41.4805,34849
7/7/2020,40.5,44.671,53.9047,41.4063,39138
7/6/2020,39.54,44.473,53.9476,41.2469,43106
7/2/2020,37.5,44.3415,54.0946,41.1643,27345
7/1/2020,39.36,44.3625,54.5188,41.1482,24526
6/30/2020,41.76,44.366,54.6345,41.1161,31573
6/29/2020,44.57,44.27,54.6526,41.1793,29973
6/26/2020,50.29,43.9285,50.0302,40.5332,96646
6/25/2020,47.27,43.392,50.0107,40.2198,40360
6/24/2020,47.81,42.9135,52.193,40.1688,22245
6/23/2020,43.42,42.515,56.3526,40.1255,19325
6/22/2020,44.39,42.275,56.2971,40.1359,21651
6/19/2020,46.02,42.0355,55.7671,40.0842,33492
6/18/2020,46.52,41.7325,55.9494,40.0664,24911
6/17/2020,46.33,41.3765,55.913,40.1018,21619
6/16/2020,46.85,41.0915,54.7877,39.6779,28963
6/15/2020,48.06,40.731,51.4725,39.227,27900
6/12/2020,51.02,40.499,51.7802,39.0666,49273
6/11/2020,53.89,40.185,47.3168,38.4244,53262
6/10/2020,40.3,39.751,48.2195,38.4918,31056
6/9/2020,38.02,39.6325,47.7432,38.3417,15395
6/8/2020,36.54,39.635,47.9212,38.3326,19655
6/5/2020,36.91,39.7305,46.8161,38.1535,48927
6/4/2020,37.92,39.8955,46.192,38.0418,44553
6/3/2020,39.43,40.135,46.1524,38.1669,41569
6/2/2020,39.84,40.2415,46.1913,38.0001,38772
6/1/2020,37.74,40.4905,46.8165,38.0131,22905
5/29/2020,39.56,40.917,47.1621,37.973,49316
5/28/2020,37.7,40.9815,45.6217,37.6504,100907
5/27/2020,39.84,40.939,43.8356,37.4247,93518
5/26/2020,38.62,40.802,39.3657,36.6134,87600
5/22/2020,39.6,40.8975,39.5084,36.6375,21575
5/21/2020,39.96,41.2365,39.6364,36.6341,17277
5/20/2020,39.4,41.709,39.9451,36.7771,19704
5/19/2020,40.63,42.346,41.403,36.5625,16371
5/18/2020,39.64,43.069,40.5229,36.3086,31635
5/15/2020,43.42,43.8145,43.2536,36.3072,23949
5/14/2020,44.74,44.124,42.0971,36.103,38162
5/13/2020,45.21,44.4705,45.6439,36.2528,22013
5/12/2020,37.93,44.7115,44.4476,35.9678,23112
5/11/2020,38.07,45.3285,47.487,35.9387,14918
5/8/2020,38.45,46.162,51.5784,35.9312,25849
5/7/2020,40.21,47.0315,51.5082,35.8758,19801
5/6/2020,42.71,47.7999,52.2628,36.089,17707
5/5/2020,41.56,48.4699,57.0375,35.8969,18463
5/4/2020,44.82,49.1871,57.2333,35.8355,23931
5/1/2020,46.27,50.3227,57.3554,35.7276,20163
4/30/2020,40.85,51.5105,59.1712,35.6419,26430
4/29/2020,36.85,53.1335,59.829,35.7324,26443
4/28/2020,37.1,54.548,63.9716,35.3254,19924
4/27/2020,40.53,56.1345,66.5591,35.2111,21073
4/24/2020,46.38,57.9733,67.3414,35.1969,23954
4/23/2020,49.41,59.1269,70.2107,35.1821,29718
4/22/2020,52.14,60.5415,70.0274,35.3651,17005
4/21/2020,55.09,61.5326,74.508,34.8871,27512
4/20/2020,54.55,63.3359,76.281,34.6906,31551
4/17/2020,49.61,65.15,77.1777,34.4575,43521
4/16/2020,51.67,67.7114,77.1234,34.4443,31018
4/15/2020,50.03,70.9094,74.8444,34.2246,49525
4/14/2020,50.27,73.1372,76.3763,34.2635,35635
4/13/2020,54.74,75.5365,78.4804,34.1849,16719
4/9/2020,55.84,76.573,80.1745,34.0224,37424
4/8/2020,55.579,78.7707,79.7818,33.5763,31966
4/7/2020,56.109,79.8237,79.5229,32.9143,24570
4/6/2020,55.904,80.2682,78.4858,32.3616,16035
4/3/2020,67.532,81.1214,80.0458,32.3178,13204
4/2/2020,70.026,80.4933,78.8013,31.8414,15799
4/1/2020,73.31,79.3177,75.6925,31.1137,14883
3/31/2020,65.139,77.2427,75.6382,31.0799,10746
3/30/2020,68.832,75.9992,76.0742,30.9183,11773
3/27/2020,77.304,74.3679,74.3556,30.4001,14074
3/26/2020,69.454,73.0809,71.9959,29.7318,17064
3/25/2020,77.7,71.6021,68.4055,29.0648,22475
3/24/2020,71.962,69.2423,63.9506,28.0202,23013
3/23/2020,91.157,67.1876,63.8594,27.8696,17500
3/20/2020,90.832,63.9717,60.7024,27.2908,32170
3/19/2020,100.839,60.6003,56.3006,26.6179,20838
3/18/2020,115.629,56.6011,51.0059,25.989,20084
3/17/2020,94.585,51.7853,47.9244,25.2756,15301
3/16/2020,98.257,48.0525,45.0706,24.8136,18891
3/13/2020,75.469,44.1181,42.5957,24.4263,29243
3/12/2020,99.795,41.3592,40.1059,24.0566,28039
3/11/2020,76.638,37.3796,38.0559,24.0739,11980
3/10/2020,65.001,34.6114,35.8987,23.4951,19406
3/9/2020,72.967,32.419,34.1879,23.4006,23130
3/6/2020,54.97,29.9,32.417,23.1842,32492
3/5/2020,46.515,28.2333,30.6152,22.939,26076
