Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,46.02,45.562,47.2717,42.7109,448860
7/10/2020,46.64,45.9475,50.2005,42.4206,290809
7/9/2020,47.49,46.4775,51.3122,42.3449,174419
7/8/2020,44.23,46.3035,52.0681,42.3913,139549
7/7/2020,42.31,46.1845,52.0982,42.2976,138248
7/6/2020,40.44,46.0945,56.9352,42.2561,137841
7/2/2020,40.31,45.959,56.676,42.145,179746
7/1/2020,42.37,45.9245,57.7964,42.1112,188161
6/30/2020,42.25,45.8825,58.14,42.1718,122949
6/29/2020,44.98,45.8045,57.9497,42.1337,118165
6/26/2020,48.12,45.547,56.5069,41.9056,219917
6/25/2020,47.97,45.206,55.9654,41.75,231044
6/24/2020,46.84,44.8535,59.7864,41.7607,183744
6/23/2020,43.43,44.5035,61.5198,41.5977,150586
6/22/2020,44.75,44.314,61.5363,41.6081,107405
6/19/2020,47.65,44.091,60.9193,41.5256,216252
6/18/2020,47.51,43.756,61.284,41.5063,124062
6/17/2020,47.87,43.407,60.696,41.5134,116939
6/16/2020,48.4,43.1795,59.0941,40.9948,136782
6/15/2020,51.66,42.8455,56.8542,40.6629,171456
6/12/2020,53.73,42.622,58.1039,40.4296,179857
6/11/2020,57.24,42.4735,53.8892,39.7408,269599
6/10/2020,44.01,42.0865,53.4427,39.7023,207547
6/9/2020,41.85,42.0235,53.1345,39.4236,97194
6/8/2020,40.51,41.959,53.1617,39.3699,136073
6/5/2020,37.73,42.046,48.262,38.5692,260135
6/4/2020,39.62,42.349,47.9688,38.4847,156640
6/3/2020,41.53,42.65,46.7097,38.5929,189497
6/2/2020,40.69,42.8465,46.4372,38.2752,115771
6/1/2020,39.83,43.227,47.1436,38.3006,73272
5/29/2020,41.3,43.7395,47.6327,38.2863,114577
5/28/2020,40.92,43.894,49.1117,38.2018,137229
5/27/2020,39.84,43.9375,45.6591,37.8001,238116
5/26/2020,39.64,44.111,43.6091,37.0944,269587
5/22/2020,40.29,44.335,43.9963,37.1173,89572
5/21/2020,40.95,44.8085,44.2235,37.0951,82287
5/20/2020,40.53,45.439,44.3344,37.3321,111928
5/19/2020,43.32,46.2555,45.8684,36.9869,121179
5/18/2020,41.72,47.0695,45.6454,36.7842,136292
5/15/2020,47.19,47.825,50.2307,36.7716,127144
5/14/2020,50.76,48.188,47.9734,36.2909,220502
5/13/2020,49.5,48.5945,50.3021,36.569,159522
5/12/2020,42.75,48.9195,51.183,36.0605,141160
5/11/2020,40.56,49.2945,54.4249,36.0168,114617
5/8/2020,42.25,50.0825,57.9548,35.9793,113899
5/7/2020,43.79,50.789,58.3842,35.9278,82954
5/6/2020,45.64,51.3503,61.2061,36.2747,74771
5/5/2020,45.46,51.9065,63.2561,35.8799,77187
