Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/15/2020,42.45,37.1675,23.6037,32.3803,801
7/14/2020,41.47,36.887,24.316,32.3435,1087
7/13/2020,40.45,36.699,22.9371,32.2032,3490
7/10/2020,39.4,36.79,24.7781,32.1966,2232
7/9/2020,36.39,36.932,24.7219,32.1721,2240
7/8/2020,36.03,36.8175,26.2334,32.9778,980
7/7/2020,36.23,36.8335,26.7195,32.3666,1713
7/6/2020,35.79,36.7785,27.7222,32.3683,1366
7/2/2020,35.33,36.7715,27.8721,32.3582,544
7/1/2020,36.95,36.7495,27.6352,32.4843,1747
6/30/2020,36.46,36.713,31.1503,33.2815,1125
6/29/2020,34.09,36.659,30.8637,32.7973,608
6/26/2020,37,36.705,34.0737,32.8199,377
6/25/2020,36.94,36.6615,36.5841,32.8198,2027
6/24/2020,36.5,36.5815,38.3147,33.4466,368
6/23/2020,36.27,36.432,38.6484,32.8596,562
6/22/2020,35.22,36.393,37.886,32.7785,732
6/19/2020,34.83,36.313,38.5603,33.0496,725
6/18/2020,37.36,36.2725,39.5292,33.0667,1441
6/17/2020,38.19,36.035,39.2185,33.64,1738
6/16/2020,36.84,35.686,39.9734,33.0308,1067
6/15/2020,37.71,35.411,39.2766,32.9705,652
6/12/2020,42.27,35.3055,39.8294,32.933,973
6/11/2020,42.24,35.056,40.5879,32.7869,3114
6/10/2020,34.1,34.7995,44.3733,33.4917,1148
6/9/2020,36.35,34.833,40.1208,32.7854,1221
6/8/2020,35.13,35.3525,39.8667,32.8141,862
6/5/2020,35.65,37.2235,41.2081,32.7317,1058
6/4/2020,34.89,38.4545,41.84,32.7618,1943
6/3/2020,36.22,38.9435,44.9631,33.4117,1218
6/2/2020,35.38,39.274,39.4818,32.4711,1815
6/1/2020,35.01,39.6405,39.7017,32.4842,822
5/29/2020,36.13,40.1145,36.8778,32.1343,4766
5/28/2020,35.34,40.375,34.5744,32.0063,3826
5/27/2020,33.51,40.529,39.2161,32.4342,3115
5/26/2020,35.49,40.9435,33.6398,31.7659,6752
5/22/2020,33.62,41.245,34.1347,31.9518,1369
5/21/2020,34.02,41.679,33.4501,31.8728,3124
5/20/2020,32.61,42.1535,38.401,32.4418,4499
5/19/2020,31.21,42.631,31.9264,31.8412,3259
5/18/2020,31.34,43.3665,30.774,31.7294,3161
5/15/2020,35.6,43.969,32.2728,31.7566,6282
5/14/2020,37.28,44.2665,31.2834,31.6651,4827
5/13/2020,37.11,44.5235,34.6911,32.1444,11689
5/12/2020,34.77,44.831,28.9056,31.7287,22525
5/11/2020,46.74,45.0925,28.9056,31.6622,37217
5/8/2020,72.55,44.8755,28.9056,31.6907,22161
5/7/2020,60.27,43.4325,29.0257,31.6621,11730
5/6/2020,44.67,42.57,29.963,31.8301,2308
5/5/2020,42.83,42.4557,33.3258,31.9593,1167
5/4/2020,42.71,42.2108,31.3165,31.7095,645
5/1/2020,44.49,42.4354,30.4272,31.8591,950
4/30/2020,41.34,42.5347,31.0376,31.8748,384
4/29/2020,38.42,43.2186,30.8835,32.5651,896
4/28/2020,41.8,43.5848,34.7148,32.0877,1576
4/27/2020,41.52,44.202,36.9028,32.1416,2456
4/24/2020,42.3,45.3162,38.1859,32.1209,2232
4/23/2020,43.51,46.0697,39.7767,32.1232,94
4/22/2020,42.16,47.1726,40.3706,32.4757,485
4/21/2020,45.92,48.3492,41.4564,31.9275,903
4/20/2020,43.39,49.8271,44.0921,31.9073,437
4/17/2020,41.55,51.0834,47.6008,31.9011,580
4/16/2020,42.42,53.1009,50.9223,31.9009,185
4/15/2020,43.26,54.325,53.8993,32.3698,328
4/14/2020,40,55.0766,55.8876,31.7424,507
4/13/2020,42.4,56.3102,58.6359,31.7283,131
4/9/2020,43.69,57.2673,61.1943,31.7178,257
4/8/2020,43.02,58.3941,62.1643,31.6688,485
4/7/2020,42.384,58.7637,63.977,32.039,301
4/6/2020,37.933,58.7691,64.4319,31.1701,705
4/3/2020,47.201,59.3328,65.7093,31.1098,752
4/2/2020,46.476,58.944,66.1136,31.1109,63
4/1/2020,55.017,58.4268,66.6474,31.5764,432
3/31/2020,45.744,57.1305,66.7138,31.0254,104
3/30/2020,54.144,56.5705,64.5948,30.6324,668
3/27/2020,63.806,55.4666,63.9741,30.4749,673
3/26/2020,57.37,54.1562,63.1765,30.3644,564
3/25/2020,65.567,53,62.3884,30.7351,328
3/24/2020,65.692,51.3012,61.5315,29.93,440
3/23/2020,75.478,49.748,62.6934,29.7992,1015
3/20/2020,68.515,47.5476,60.274,29.373,2841
3/19/2020,81.902,45.4497,55.7935,28.6207,1688
3/18/2020,66.901,42.5868,52.1656,28.6147,1304
3/17/2020,58.293,40.4726,50.4154,27.4459,320
3/16/2020,64.672,38.8079,47.3271,26.9516,554
3/13/2020,61.54,36.7722,46.4656,26.4725,126
3/12/2020,66.228,34.9101,43.7938,26.0024,118
3/11/2020,50.411,32.6652,41.8117,26.2848,367
3/10/2020,42.493,31.2093,38.8835,25.2638,803
