Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,115.19,101.0665,64.2406,90.5249,253232
7/10/2020,108.22,101.024,71.6608,90.506,56965
7/9/2020,107.56,101.343,69.9911,90.4663,118830
7/8/2020,92.91,101.021,69.4464,94.9565,28784
7/7/2020,97.64,101.5675,68.6048,90.4923,45626
7/6/2020,102.28,102.0425,69.2044,90.4898,36709
7/2/2020,111.03,102.015,68.1383,90.4776,106898
7/1/2020,99.71,101.829,72.2665,90.4235,64999
6/30/2020,93.72,102.4475,76.7222,94.8918,37696
6/29/2020,97.57,103.407,76.8487,90.383,29707
6/26/2020,111.41,103.941,80.1783,90.5152,48868
6/25/2020,105.63,103.8355,78.2557,90.0973,105461
6/24/2020,101.65,104.421,93.1443,94.5902,52387
6/23/2020,99.87,105.443,105.843,90.1273,40349
6/22/2020,92.75,106.359,106.243,90.0832,49675
6/19/2020,90.45,107.61,109.041,90.1768,55385
6/18/2020,93.75,109.678,110.543,90.1938,48782
6/17/2020,93.65,111.665,114.41,94.6685,32251
6/16/2020,100.43,113.491,125.112,90.1457,44799
6/15/2020,105.91,115.296,124.171,90.1078,69967
6/12/2020,114.34,115.7925,124.374,90.2287,51725
6/11/2020,114.6,115.888,121.135,89.6341,105437
6/10/2020,101.12,115.9,122.622,94.2668,32237
6/9/2020,103.84,116.6945,129.176,90.9064,18472
6/8/2020,107.14,116.9945,129.778,90.9038,34787
6/5/2020,101.73,116.418,130.139,90.9963,55925
6/4/2020,107.31,116.2865,131.684,91.2555,35049
6/3/2020,112.08,116.1775,137.928,95.3905,60288
6/2/2020,112.91,115.902,126.822,90.7364,51206
6/1/2020,108.25,115.6285,127.515,90.705,53564
5/29/2020,109.3,115.874,126.859,90.3761,64832
5/28/2020,117.34,115.322,126.906,90.133,91254
5/27/2020,122.09,114.413,125.355,93.1934,163828
5/26/2020,118.19,113.38,106.129,87.1049,106874
5/22/2020,117.77,112.591,116.417,87.0032,107578
5/21/2020,131.81,112.061,123.038,86.7026,111867
5/20/2020,133.49,111.21,115.383,91.1504,131525
5/19/2020,130.17,110.5665,129.688,85.9756,162709
5/18/2020,136.53,110.5205,121.231,84.2842,168221
5/15/2020,115.84,110.266,121.038,84.2109,60253
5/14/2020,116.25,109.9175,120.275,84.1045,24566
5/13/2020,114.84,109.198,131.43,88.6972,36057
5/12/2020,117.01,108.1415,117.555,83.9348,51035
5/11/2020,109.84,107.0455,112.19,83.3629,84657
5/8/2020,95.61,106.6775,111.893,83.1962,82872
5/7/2020,99.1,106.567,111.506,82.9796,64580
5/6/2020,105.13,106.4769,111.719,86.9885,22169
5/5/2020,106.57,106.3515,111.345,83.1256,18195
5/4/2020,107.44,106.092,111.719,83.1963,25253
5/1/2020,113.16,106.6345,112.97,83.2158,41507
4/30/2020,98.26,106.6642,112.505,83.174,20953
4/29/2020,99.16,107.6707,112.284,87.034,22388
4/28/2020,101.43,108.4847,113.668,83.0971,18363
4/27/2020,102.41,109.4887,113.036,82.8715,22554
4/24/2020,107.17,110.6723,111.047,82.642,23891
4/23/2020,114.79,111.1974,113.041,82.5225,41842
4/22/2020,120.62,111.4371,115.134,86.4692,19364
4/21/2020,129.25,111.5926,107.475,81.0588,51400
4/20/2020,131.44,111.979,101.198,79.717,62359
4/17/2020,108.87,112.2446,100.49,78.1623,67591
4/16/2020,101.86,114.0675,107.586,78.4136,50710
4/15/2020,93.71,116.5219,113.356,81.8525,39396
4/14/2020,95.09,119.4558,121.194,78.1778,19192
4/13/2020,102.48,123.1091,128.23,78.3655,12272
4/9/2020,93.4,124.0344,129.471,78.3878,12282
4/8/2020,97.297,124.9603,132.317,78.4674,6835
4/7/2020,102.623,125.0838,138.475,82.6675,15721
4/6/2020,101.38,125.2517,145.67,79.5573,22966
4/3/2020,118.29,126.6078,145.81,79.9275,29255
4/2/2020,113.755,126.6833,143.414,79.6783,30952
4/1/2020,118.39,126.8231,143.663,83.5118,9056
3/31/2020,115.44,126.6544,145.698,79.7692,8007
3/30/2020,121.509,126.97,148.339,79.4722,22762
3/27/2020,126.082,127.1148,153.652,79.2566,40549
3/26/2020,117.673,126.2161,154.77,79.3052,9139
3/25/2020,119.583,127.8141,163.243,82.595,10878
3/24/2020,123.729,128.9385,149.792,78.564,13291
3/23/2020,136.979,130.1453,147.233,78.1721,18451
3/20/2020,136.751,127.3973,143.708,77.6461,23299
3/19/2020,145.328,124.2491,134.084,76.0406,57912
3/18/2020,150.95,120.5975,145.552,79.1049,42870
3/17/2020,152.388,116.6384,121.531,74.0727,71950
3/16/2020,168.155,112.6572,115.732,72.8034,70875
3/13/2020,120.986,107.8989,108.46,71.8262,19423
3/12/2020,111.918,105.3807,113.73,71.6404,14609
3/11/2020,99.768,103.3196,122.92,74.9496,23678
3/10/2020,105.98,102.2291,102.991,70.3516,25332
3/9/2020,128.502,100.687,95.0853,69.2295,22501
3/6/2020,119.799,98.8237,94.4676,69.1655,52280
3/5/2020,116.552,96.019,93.8407,69.1497,29437
3/4/2020,115.016,93.4014,112.014,72.5808,23755
3/3/2020,121.752,90.8594,94.3591,69.1165,24106
3/2/2020,124.405,88.1718,88.0807,68.3068,45108
2/28/2020,108.108,85.3432,81.4919,67.2122,34205
