Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,63.5,52.516,43.8241,40.4157,260218
7/10/2020,58,51.4285,39.7505,39.9192,615791
7/9/2020,52.19,50.6965,39.5848,39.9034,135383
7/8/2020,50.87,49.9545,40.6346,40.2805,141260
7/7/2020,50.36,49.267,41.2492,39.8709,145677
7/6/2020,50.01,48.5815,41.6209,39.7955,175034
7/2/2020,48.37,47.854,41.7954,39.7771,192197
7/1/2020,51.17,47.3095,37.0236,39.2618,272896
6/30/2020,49.8,46.577,37.0732,39.6601,80029
6/29/2020,53.45,45.901,36.604,39.2115,79693
6/26/2020,56.18,45.073,32.4043,38.8745,149433
6/25/2020,53.24,44.168,32.2275,38.8592,104734
6/24/2020,51.72,43.405,33.7452,39.264,100207
6/23/2020,49.96,42.7415,34.8622,38.86,111594
6/22/2020,52.57,42.1915,34.0398,38.7686,161962
6/19/2020,54.73,41.5345,35.1129,38.7939,149947
6/18/2020,54.31,40.8605,35.3276,38.805,119146
6/17/2020,52.66,40.057,35.0282,39.1947,183059
6/16/2020,49.85,39.3875,34.8508,38.7996,108182
6/15/2020,47.38,38.831,36.0435,38.7942,98976
6/12/2020,41.75,38.671,36.2559,38.7148,184310
6/11/2020,43.36,38.751,36.2479,38.6799,217865
6/10/2020,37.35,38.6835,36.6518,39.0978,112594
6/9/2020,37.12,38.76,35.3686,38.7413,191630
6/8/2020,36.65,38.851,34.3666,38.6597,130652
6/5/2020,35.46,38.942,32.8117,38.5363,150708
6/4/2020,37.48,39.2405,32.5616,38.4972,147286
6/3/2020,36.52,39.489,32.509,39.0598,94598
6/2/2020,36.28,39.716,33.3279,38.6985,67548
6/1/2020,36.89,40.0625,33.6908,38.6969,92704
5/29/2020,38.08,40.4315,34.383,38.6934,130611
5/28/2020,37.98,40.701,36.2056,38.6937,196809
5/27/2020,38.45,40.8475,36.4375,38.9341,241600
5/26/2020,38.96,40.9605,35.2002,38.4408,155854
5/22/2020,39.43,41.0125,35.2497,38.4449,165201
5/21/2020,41.25,41.3385,35.5593,38.4,200289
5/20/2020,38.24,41.757,36.1113,38.8042,114690
5/19/2020,39.27,42.476,37.7761,38.3899,115172
5/18/2020,38.72,44.2145,38.7351,38.3532,165494
5/15/2020,44.18,45.799,39.6998,38.2586,243628
5/14/2020,43.35,47.0015,42.787,38.3106,222839
5/13/2020,42.01,48.2475,39.1006,38.6841,238807
5/12/2020,38.88,49.353,42.2064,38.3544,110716
5/11/2020,38.94,50.134,42.4669,38.402,111744
5/8/2020,38.47,50.991,44.5929,38.4654,165252
5/7/2020,41.43,51.8885,44.9222,38.4689,119122
5/6/2020,42.45,52.6768,45.2348,38.8973,184732
5/5/2020,41.06,53.2925,45.9389,38.5207,131780
5/4/2020,43.21,53.866,46.0422,38.4498,141553
5/1/2020,44.27,54.7742,46.4422,38.412,233578
4/30/2020,43.47,55.63,46.393,38.4028,185256
4/29/2020,40.91,56.7817,46.5637,38.6671,209433
4/28/2020,40.71,57.5821,50.0281,38.0215,198000
4/27/2020,40,58.6267,51.6897,38.0497,148662
4/24/2020,45.95,60.049,54.7424,38.0368,217627
4/23/2020,49.62,60.9334,56.1633,37.9592,268637
4/22/2020,52.62,61.9153,52.7107,38.3489,398315
4/21/2020,74.04,62.4274,56.2721,38.1823,306446
4/20/2020,70.41,62.0105,56.2412,38.1241,180376
4/17/2020,68.23,61.9282,58.5043,38.0859,258665
4/16/2020,68.27,62.4257,60.649,38.0385,287604
4/15/2020,64.12,63.7598,62.4037,38.2992,308309
4/14/2020,54.5,64.7654,63.8009,37.9106,231548
4/13/2020,56.08,66.9413,62.6907,37.386,220284
4/9/2020,56.42,67.533,65.0865,37.3531,126188
4/8/2020,57.195,68.6628,65.7293,37.3422,99251
4/7/2020,54.766,69.0151,66.6068,37.6502,122004
4/6/2020,52.528,69.1719,67.4763,37.0579,113276
4/3/2020,61.375,69.7595,68.0038,37.0431,104011
4/2/2020,61.386,69.4548,68.5503,37.0281,80038
4/1/2020,66.503,68.9793,68.3719,37.25,105272
3/31/2020,56.918,67.7749,68.8081,36.86,110459
3/30/2020,61.603,67.3347,68.5731,36.7542,122961
3/27/2020,68.447,66.4592,69.2127,36.7074,160366
3/26/2020,63.637,65.7214,67.274,36.2733,101772
3/25/2020,69.258,64.9353,65.7039,36.2322,78709
3/24/2020,62.863,63.4047,65.1575,35.6944,106188
3/23/2020,65.701,62.1975,64.4163,35.4827,118620
3/20/2020,68.765,60.6955,62.2692,35.1313,137291
3/19/2020,78.179,58.8923,60.1457,35.0072,130987
3/18/2020,94.951,56.4469,56.7764,34.8393,103568
3/17/2020,84.233,53.1502,54.3525,34.1218,89128
3/16/2020,98.017,50.4263,51.0722,33.5933,81406
3/13/2020,67.915,46.9919,48.6032,33.2209,135528
3/12/2020,79.017,45.1264,45.7677,32.7788,142652
3/11/2020,64.239,42.6841,44.7549,32.9574,63018
3/10/2020,57.902,41.0602,43.4367,32.4855,90667
3/9/2020,64.281,39.7856,41.0745,32.2019,79597
3/6/2020,55.281,38.1908,39.8422,32.11,171458
3/5/2020,51.876,36.9782,39.811,32.0143,195343
3/4/2020,42.416,36.0186,39.4284,32.2134,95649
3/3/2020,48.114,35.5746,38.9057,31.7726,154190
3/2/2020,44.092,34.7717,38.1859,31.7207,72115
2/28/2020,53.691,34.1904,36.8093,31.5276,175128
2/27/2020,47.916,33.0359,35.2255,31.3221,243449
2/26/2020,38.644,32.192,33.0651,31.414,170611
2/25/2020,38.72,31.7917,32.0958,30.933,126012
2/24/2020,35.662,31.495,29.8499,30.6181,138226
2/21/2020,32.701,31.3437,32.5076,30.6101,148858
2/20/2020,29.271,31.3155,31.9753,30.5458,134243
2/19/2020,29.016,31.378,33.0201,30.9101,130296
2/18/2020,29.755,32.2392,32.1547,30.5256,145858
2/14/2020,29.328,32.8592,32.8985,30.5957,142453
2/13/2020,30.606,33.5266,33.5127,30.6057,147721
2/12/2020,30.171,34.1619,33.4294,31.1418,124684
2/11/2020,31.76,34.8488,34.4986,30.8088,135490
2/10/2020,32.411,35.4285,34.3622,30.8701,136155
2/7/2020,32.386,36.0099,36.5944,30.8938,194968
2/6/2020,31.028,36.6058,36.4831,30.9144,109338
2/5/2020,32.683,37.2856,34.1138,31.1281,157247
2/4/2020,33.537,37.834,34.4732,30.805,198579
2/3/2020,32.056,38.3935,33.3693,30.7469,180829
1/31/2020,32.466,39.0027,33.4274,30.7691,137342
1/30/2020,30.602,39.6673,32.9082,30.8306,140826
1/29/2020,31.037,40.4146,33.9331,31.1805,172448
1/28/2020,30.637,41.1646,32.2602,30.8669,196318
1/27/2020,32.787,42.0051,31.4834,30.8899,202195
1/24/2020,32.635,42.6511,31.8464,30.8911,568106
1/23/2020,32.137,43.0654,29.1763,30.64,547427
1/22/2020,30.521,43.3732,27.8169,31.004,481459
1/21/2020,46.241,43.4193,29.2402,30.7821,364265
1/17/2020,42.156,42.5863,29.236,30.7795,148954
1/16/2020,42.675,41.9102,30.2017,30.7892,116800
1/15/2020,43.313,41.173,30.4136,31.5353,104486
1/14/2020,43.908,40.3747,29.6377,31.0641,145819
1/13/2020,43.354,39.6276,28.9388,31.1216,136743
1/10/2020,44.039,38.9019,28.2476,31.2292,141071
1/9/2020,44.303,38.2031,28.665,31.2424,123510
1/8/2020,44.625,37.5211,28.1766,31.6658,196130
1/7/2020,43.651,36.7096,27.8617,31.5368,116514
1/6/2020,44.727,35.8674,24.7659,31.6146,167249
1/3/2020,44.24,35.0503,24.8685,31.6876,109285
1/2/2020,45.757,34.2704,26.0864,31.9552,107321
12/31/2019,45.548,33.5141,27.0306,32.5051,96061
12/30/2019,46.039,32.7589,26.3254,32.2333,108861
12/27/2019,47.446,31.8407,26.086,32.5677,131115
12/26/2019,45.708,30.9057,26.0403,32.9543,99177
12/24/2019,40.921,30.056,27.0055,33.6286,49397
12/23/2019,38.292,29.5075,27.3083,33.6606,145350
12/20/2019,31.444,29.2166,27.9461,33.8771,241972
12/19/2019,29.58,29.2874,26.872,34.001,285423
12/18/2019,28.634,29.3773,26.8028,34.458,263948
12/17/2019,27.93,29.4657,26.3581,34,239291
12/16/2019,27.348,29.5646,26.4127,34.0795,113634
12/13/2019,28.966,29.6628,26.8718,34.1026,117717
12/12/2019,28.84,29.6925,28.1951,34.2482,92160
12/11/2019,30.063,29.7722,28.0441,34.749,121180
12/10/2019,30.664,29.6979,27.5068,34.3559,218156
12/9/2019,28.394,29.6066,27.2741,34.7837,89776
12/6/2019,26.807,29.6486,28.3941,35.2347,107298
12/5/2019,28.384,29.8281,28.0387,35.5505,112412
12/4/2019,28.643,29.8516,28.0843,36.1682,67239
12/3/2019,30.631,29.8982,27.1461,35.7111,72294
12/2/2019,30.443,29.8657,26.5037,35.7468,102416
11/29/2019,27.676,29.8112,26.7793,36.0821,71139
11/27/2019,28.746,29.9309,28.2436,36.2022,112780
11/26/2019,28.713,29.9872,28.6465,36.6553,90331
11/25/2019,29.952,30.0279,28.1965,36.2542,136398
11/22/2019,32.474,29.9918,28.5947,36.5228,190865
11/21/2019,32.86,29.8673,27.9975,36.9764,178130
11/20/2019,31.378,29.7514,28.0629,37.69,139919
11/19/2019,30.402,29.7482,29.3758,37.3525,108979
11/18/2019,29.907,29.8828,29.273,37.3175,183477
11/15/2019,29.314,29.9484,33.8725,37.7337,193925
11/14/2019,29.559,30.1628,33.4144,37.8448,155973
11/13/2019,30.433,30.238,37.1612,38.1688,210650
11/12/2019,28.578,31.5159,37.3348,37.9668,100373
11/11/2019,28.837,32.6499,37.1055,38.0667,84988
11/8/2019,29.235,33.7437,37.0791,38.4026,127888
11/7/2019,30.398,34.961,36.2201,38.389,140970
11/6/2019,28.853,36.2062,36.5708,38.4297,68336
11/5/2019,29.575,37.5644,38.8868,38.5013,79008
11/4/2019,29.981,38.8467,39.6384,38.7321,118024
11/1/2019,29.353,39.9907,39.8236,39.1011,177764
10/31/2019,30.07,41.2261,39.8957,39.4579,103809
10/30/2019,29.872,42.4926,43.444,40.2081,208010
10/29/2019,29.527,43.7299,39.4272,40.2245,80263
10/28/2019,29.231,44.8139,40.9553,40.3148,123068
10/25/2019,29.982,45.976,42.003,40.8086,161317
10/24/2019,30.542,47.2052,42.4539,41.1442,134775
10/23/2019,31.315,48.3633,45.231,41.542,172467
10/22/2019,33.094,49.4451,43.9162,41.4871,245684
10/21/2019,31.219,50.5146,43.6794,41.6608,240175
10/18/2019,33.602,51.5014,40.1694,41.5733,558691
10/17/2019,31.063,52.2982,40.1694,41.4348,738222
10/16/2019,55.991,52.9655,40.2284,41.8191,440254
10/15/2019,51.258,52.321,40.1694,41.827,134842
10/14/2019,50.714,51.7655,40.4801,41.8827,93262
10/11/2019,53.58,51.1236,40.1425,42.4641,219014
10/10/2019,55.302,49.9899,35.6877,42.1017,215406
10/9/2019,56.018,48.7224,36.1984,42.6542,152205
10/8/2019,55.221,47.4464,37.1886,42.3274,99710
10/7/2019,52.86,46.2739,38.1599,42.4374,133042
