Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,175.39,140.1165,145.722,110.664,523488
7/10/2020,192.66,137.428,146.309,110.401,594127
7/9/2020,198.37,134.356,145.143,110.377,576498
7/8/2020,205.36,130.519,142.132,112.273,1009829
7/7/2020,204.34,126.9055,131.761,108.43,750761
7/6/2020,177.98,122.3245,122.274,107.215,614598
7/2/2020,142.46,119.2115,115.015,106.5,608546
7/1/2020,112.23,118.329,122.537,106.825,172993
6/30/2020,109.83,119.417,122.956,109.579,209436
6/29/2020,104.56,119.3775,124.316,106.672,105172
6/26/2020,112.65,118.9535,130.95,106.72,74636
6/25/2020,116,118.127,129.03,106.587,117398
6/24/2020,114.63,117.118,124.482,109.311,220752
6/23/2020,111.27,117.5635,129.541,106.439,172178
6/22/2020,113.46,117.9315,127.493,106.715,199555
6/19/2020,113.54,119.0195,128.083,106.884,241811
6/18/2020,123.69,119.3635,127.138,107.007,178650
6/17/2020,117.39,118.9015,129.976,110.021,111663
6/16/2020,127.49,118.3795,123.433,106.515,211719
6/15/2020,129.03,117.1335,114.689,105.613,307937
6/12/2020,121.62,116.1255,113.094,105.483,134492
6/11/2020,131.22,115.4415,108.038,105.003,226192
6/10/2020,121.63,114.1395,109.818,107.718,247199
6/9/2020,133.09,113.0205,100.374,103.999,467076
6/8/2020,112.72,111.488,100.308,104.026,255214
6/5/2020,115.72,110.9995,100.491,104.058,204072
6/4/2020,124.81,110.3935,98.7396,104.067,450547
6/3/2020,133.99,109.154,89.6066,106.245,674653
6/2/2020,109.04,107.688,100.147,103.241,271580
6/1/2020,96.08,107.3725,99.805,103.214,166191
5/29/2020,96.12,108.0875,99.805,103.414,81124
5/28/2020,95.82,108.52,99.805,103.428,151669
5/27/2020,123.54,109.491,99.805,106.689,213708
5/26/2020,118.63,108.746,94.6767,102.85,121011
5/22/2020,135.22,107.8705,95.7583,102.864,75526
5/21/2020,120.42,106.433,95.9836,102.904,58976
5/20/2020,114.45,105.632,92.8375,105.823,112800
5/19/2020,106.95,104.563,93.472,102.713,84431
5/18/2020,102.57,104.5875,94.2794,102.65,63496
5/15/2020,108.87,104.779,95.6798,102.684,26142
5/14/2020,107.94,104.6795,95.0327,102.575,36184
5/13/2020,105.18,104.7985,99.1369,105.676,47897
5/12/2020,99.25,104.998,101.404,102.554,30191
5/11/2020,102.44,105.1745,107.645,102.55,42350
5/8/2020,102.95,105.6655,108.854,102.542,89606
5/7/2020,103.6,105.9115,109.249,102.611,68334
5/6/2020,100.02,106.415,113.777,105.383,119275
5/5/2020,104.67,107.7075,113.73,102.34,53424
5/4/2020,102.73,107.9243,111.401,102.167,56081
5/1/2020,110.38,108.9881,114.595,102.08,75968
4/30/2020,104.77,110.1376,114.834,101.996,86233
4/29/2020,115.24,110.936,105.69,104.083,229424
4/28/2020,108.64,110.7327,104.16,100.73,66208
4/27/2020,101.12,110.8042,101.193,100.425,54803
4/24/2020,106.47,111.686,101.54,100.359,42034
4/23/2020,104.4,112.3354,104.811,100.375,32100
4/22/2020,93.07,113.1576,109.518,103.605,38494
4/21/2020,107.44,114.49,112.636,100.341,34953
4/20/2020,106.4,115.1954,114.418,100.348,57388
4/17/2020,106.88,116.8689,118.862,100.292,46984
4/16/2020,110.32,119.4788,121.205,100.484,98344
4/15/2020,109.17,122.7608,124.946,103.281,51106
4/14/2020,102.78,125.076,119.461,99.8022,63451
4/13/2020,112.26,126.2283,115.882,99.1962,68679
4/9/2020,107.87,128.3047,125.667,99.0665,33384
4/8/2020,113.671,130.0388,125.828,99.0503,21974
4/7/2020,125.868,131.3487,123.403,101.476,71894
4/6/2020,109.007,132.0186,118.015,98.0449,50961
4/3/2020,124.005,133.4523,117.698,97.9932,41691
4/2/2020,133.37,133.8074,114.32,97.6326,105868
4/1/2020,120.738,133.1922,128.725,100.956,43843
3/31/2020,111.176,132.6353,115.52,97.4813,34705
3/30/2020,110.07,132.8067,116.672,97.441,39996
3/27/2020,118.755,133.1362,127.006,97.422,36283
3/26/2020,119.458,134.032,128.708,97.347,51992
3/25/2020,120.844,134.625,128.519,100.501,93087
3/24/2020,119.718,134.6581,122.289,96.7082,127423
3/23/2020,121.548,135.1385,119.87,96.3588,74278
3/20/2020,139.871,134.7307,117.427,95.9933,117323
3/19/2020,159.076,133.3833,117.309,95.8066,65859
3/18/2020,175.961,130.9897,116.948,97.4451,207443
3/17/2020,155.473,127.6674,115.761,95.1214,101196
3/16/2020,125.828,125.1139,111.375,94.6559,118750
3/13/2020,153.786,124.3679,108.514,94.858,69873
3/12/2020,142.552,121.9996,103.507,94.4481,86367
3/11/2020,139.87,120.498,103.344,96.5942,62147
3/10/2020,139.266,119.0337,102.728,94.2853,90211
3/9/2020,137.681,117.7477,90.9602,92.8798,114768
3/6/2020,131.108,116.6929,91.8087,93.398,133897
3/5/2020,121.064,116.0777,94.5336,94.046,137216
3/4/2020,109.601,116.1676,97.119,97.2084,110812
3/3/2020,114.604,117.3128,108.431,94.2909,86699
3/2/2020,116.66,117.6128,109.307,94.236,87012
2/28/2020,136.671,118.1997,108.097,94.0665,153361
2/27/2020,131.318,117.6774,106.238,94.0356,189067
2/26/2020,121.507,117.2764,106.72,97.6554,175242
2/25/2020,129.325,117.4637,105.295,93.5916,412401
2/24/2020,113.392,117.6498,104.447,93.3497,121397
2/21/2020,112.923,118.2462,109.281,93.3389,144545
2/20/2020,111.203,118.7501,117.071,93.3183,288537
2/19/2020,109.516,119.3887,122.837,96.2911,223358
2/18/2020,104.403,119.944,122.701,93.1086,109614
2/14/2020,110.908,120.5299,124.971,92.9939,207150
2/13/2020,106.42,120.7854,130.455,92.9499,112175
