Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/15/2020,50.4,47.109,38.8071,46.5916,8195
7/14/2020,50.82,46.8385,39.2389,46.473,6372
7/13/2020,52.79,46.505,36.4327,46.1109,11405
7/10/2020,49.99,46.223,40.4861,46.1088,6118
7/9/2020,49.85,46.069,40.3095,46.0475,7934
7/8/2020,50.22,45.7115,40.2447,48.1837,8981
7/7/2020,47.57,45.207,41.0913,46.0451,5134
7/6/2020,47.05,44.8735,45.0672,46.0111,7685
7/2/2020,45.38,44.471,45.4529,45.9885,9191
7/1/2020,47.87,44.1945,44.8462,45.9297,8874
6/30/2020,46.5,43.7315,44.5918,48.1115,8241
6/29/2020,45.3,43.403,43.8633,45.9117,8615
6/26/2020,46.01,43.096,43.6845,45.8724,8098
6/25/2020,43.32,42.834,44.2003,45.9468,8478
6/24/2020,49.21,42.741,46.9987,48.1198,13337
6/23/2020,44.83,42.375,48.8432,45.962,15089
6/22/2020,43.32,42.0915,48.889,45.9413,15898
6/19/2020,42.31,42.0375,48.8641,45.9472,9498
6/18/2020,44.16,42.079,49.2045,45.9382,8511
6/17/2020,45.28,42.0365,49.5847,48.1045,16070
6/16/2020,44.99,41.8905,49.3985,45.8898,9527
6/15/2020,44.15,41.776,47.9237,45.73,5844
6/12/2020,47.15,41.8945,47.2443,45.6001,14484
6/11/2020,46.91,41.9655,45.2087,45.2769,23319
6/10/2020,42.7,42.0375,47.5865,47.7078,15663
6/9/2020,40.13,42.1595,47.8853,45.5207,14766
6/8/2020,40.9,42.243,47.3905,45.4659,18602
6/5/2020,39,42.379,44.4245,45.0672,10965
6/4/2020,39.85,42.773,44.3879,45.0418,20132
6/3/2020,38.61,42.965,45.3852,47.3084,16693
6/2/2020,39.93,43.311,48.1004,45.391,10069
6/1/2020,39.16,43.6795,49.1941,45.435,6970
5/29/2020,40.77,44.0965,49.0682,45.4093,9684
5/28/2020,41.46,44.2775,48.4252,45.3485,21487
5/27/2020,41.89,44.6015,59.4793,47.2617,16196
5/26/2020,39.16,45.0875,43.9441,44.8128,9312
5/22/2020,42.24,45.6955,45.758,44.8375,7736
5/21/2020,43.14,46.4965,46.0628,44.8285,9545
5/20/2020,43.31,47.2045,58.0134,47.0537,16986
5/19/2020,42.36,47.992,47.7175,44.8204,35178
5/18/2020,42.7,48.943,47.4256,44.779,10208
5/15/2020,46.52,49.6815,50.5081,44.7746,9748
5/14/2020,48.57,50.0565,50.3569,44.7078,11966
5/13/2020,48.35,50.445,59.6112,46.9714,21225
5/12/2020,45.14,50.757,48.0479,44.6124,17629
5/11/2020,41.8,51.1275,51.2491,44.5926,10825
5/8/2020,43.62,51.8565,54.0219,44.6818,15197
5/7/2020,46.88,52.69,54.2163,44.5754,18633
5/6/2020,43.69,53.4037,62.8078,46.8098,13327
5/5/2020,45.53,54.4123,57.7103,44.6122,25442
5/4/2020,47.3,55.2299,56.5009,44.3254,28270
5/1/2020,47.5,56.3605,56.8009,44.3042,12505
4/30/2020,44.39,57.4254,56.8009,44.1018,28782
4/29/2020,47.94,58.7435,59.006,45.3518,22788
4/28/2020,51.61,59.8144,56.8009,43.7588,4976
4/27/2020,51.32,60.5828,59.3264,43.8205,4719
4/24/2020,58.26,61.9155,63.7877,44.0802,4540
4/23/2020,57.3,62.4808,65.1579,44.1457,3112
4/22/2020,59.06,63.4001,68.7502,45.6086,3878
4/21/2020,61.38,63.7942,70.0104,43.9981,7521
4/20/2020,57.47,63.9636,73.5912,43.9622,10794
4/17/2020,54.02,64.85,76.3557,43.8578,8122
4/16/2020,56.34,66.0886,79.2717,43.8101,4794
4/15/2020,54.59,67.2757,82.6025,45.2762,13225
4/14/2020,52.55,68.476,83.773,43.4222,9274
4/13/2020,56.38,69.9668,86.5864,43.3548,4934
4/9/2020,60.29,70.4688,89.3726,43.3026,4416
4/8/2020,61.154,71.4474,90.7178,43.2049,2899
4/7/2020,63.861,71.7303,89.6243,44.2993,4833
4/6/2020,61.884,71.3767,90.5021,42.3816,3692
4/3/2020,69.912,71.515,91.6176,42.4467,6735
4/2/2020,68.796,70.7208,90.1023,42.0704,9328
4/1/2020,70.753,69.8222,89.1067,43.3675,3146
3/31/2020,69.358,68.2283,89.3413,41.6347,3247
3/30/2020,66.978,67.0147,89.378,41.4868,2930
