Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,49.87,42.939,39.1118,49.1564,163132
7/10/2020,45.98,42.9045,41.9512,49.2101,203550
7/9/2020,44.18,43.1225,42.2619,49.1909,240921
7/8/2020,40.16,43.0925,42.3939,49.2729,153069
7/7/2020,40.78,43.2015,42.1891,49.1462,162144
7/6/2020,37.76,43.175,42.1855,49.1556,137269
7/2/2020,37.06,43.3035,42.695,49.1525,201985
7/1/2020,39.24,43.5775,42.6995,49.1786,113779
6/30/2020,40.25,43.735,42.2727,49.6688,123724
6/29/2020,43.02,43.814,41.3707,49.5099,84268
6/26/2020,46.01,43.8215,41.579,49.4137,171612
6/25/2020,43.08,43.6895,42.9076,49.5513,117700
6/24/2020,44.1,43.824,46.4902,49.6202,133434
6/23/2020,40.81,43.7785,49.416,49.5162,128409
6/22/2020,41.77,43.929,49.7568,49.4758,118139
6/19/2020,44.47,44.177,50.7481,49.5239,220569
6/18/2020,44.15,44.8175,56.8663,49.5254,103222
6/17/2020,44.9,45.465,51.4527,49.7638,143038
6/16/2020,45.85,46.069,58.2273,49.6064,166857
6/15/2020,45.34,46.574,58.1276,49.4767,126955
6/12/2020,49.18,47.2975,56.2883,49.1605,191618
6/11/2020,50.34,47.75,54.2777,48.959,179070
6/10/2020,43.58,48.2405,54.3688,49.06,271639
6/9/2020,42.34,48.822,53.4352,48.9016,157585
6/8/2020,40.25,49.2875,53.7808,48.9,91059
6/5/2020,40.33,49.856,54.8286,48.8945,206383
6/4/2020,42.54,50.444,55.2752,48.9664,154214
6/3/2020,42.39,50.981,55.1362,49.4036,90255
6/2/2020,41.83,51.5335,55.7294,49.3026,74977
6/1/2020,43.17,52.313,57.5256,49.3232,73228
5/29/2020,43.37,53.242,56.6439,49.1882,188137
5/28/2020,45.77,53.875,55.5798,49.0804,242724
5/27/2020,43.19,54.1895,53.0736,48.833,288688
5/26/2020,43.82,54.7355,51.5087,48.4384,192196
5/22/2020,46.73,55.302,51.5095,48.4072,398077
5/21/2020,57.28,55.8855,51.5057,48.3245,259238
5/20/2020,57.1,56.1195,51.505,48.5024,142422
5/19/2020,56.98,56.355,53.1129,48.2389,176674
5/18/2020,55.95,56.789,52.2949,48.2119,207231
5/15/2020,59.81,57.0285,46.4849,47.5853,332318
5/14/2020,58.23,56.876,47.3679,47.629,172802
5/13/2020,60.15,56.8065,46.3516,47.5752,175306
5/12/2020,55.21,56.5575,45.8579,47.5061,148743
5/11/2020,51.65,56.425,46.7228,47.4842,189476
5/8/2020,51.62,56.614,47.6967,47.544,161384
5/7/2020,52.09,57.0275,47.6552,47.5396,134298
5/6/2020,53.28,57.4165,53.4306,47.7179,102299
5/5/2020,53.44,57.7563,57.8545,47.8418,109694
5/4/2020,57.42,57.9244,58.2775,47.7214,75727
5/1/2020,61.75,58.4514,59.181,47.6396,126399
4/30/2020,56.03,58.733,62.5507,47.6467,92505
4/29/2020,52.06,59.6956,63.7198,47.7494,108278
4/28/2020,54.11,60.337,63.428,47.4354,122974
4/27/2020,55.15,61.0823,64.428,47.6011,152037
4/24/2020,58.4,62.5075,65.5028,47.6094,115143
4/23/2020,61.96,63.5311,67.0324,47.5778,114486
4/22/2020,61.81,64.7301,70.0519,47.4984,141591
4/21/2020,65.66,65.1919,69.3887,47.122,166194
4/20/2020,60.74,65.5148,73.4424,47.0909,110242
4/17/2020,56.76,67.0101,75.8839,47.041,178678
4/16/2020,56.84,68.9942,78.9969,46.9209,310929
4/15/2020,55.17,71.3234,82.1655,47.0351,103287
4/14/2020,52.56,73.1961,84.9647,46.7552,194912
4/13/2020,55.43,75.8836,87.3427,46.5668,99736
4/9/2020,59.89,76.9768,90.0955,46.4611,152462
4/8/2020,59.87,78.6805,90.97,46.4314,119883
4/7/2020,60.075,79.4826,88.4131,45.9638,182361
4/6/2020,56.803,79.8166,88.1044,45.1366,141735
4/3/2020,67.959,80.7647,87.7495,44.9547,187092
4/2/2020,67.383,80.7488,87.0897,44.7715,147530
4/1/2020,75.282,80.6005,86.1399,44.563,141918
3/31/2020,64.887,79.3847,86.1869,44.1112,144500
3/30/2020,69.017,79.0782,86.0102,43.9373,98580
3/27/2020,83.654,78.4524,87.9974,43.7499,140277
3/26/2020,78.872,77.764,88.8612,43.6137,114726
3/25/2020,85.94,77.0723,87.8727,43.8259,135923
3/24/2020,71.047,75.3553,84.4086,42.599,182488
3/23/2020,72.118,74.4835,86.2592,42.5053,134594
3/20/2020,90.645,73.2713,83.4134,42.1124,181020
3/19/2020,96.443,70.8839,81.1541,41.6258,130005
3/18/2020,103.424,67.9075,77.825,41.2718,139324
3/17/2020,92.622,64.5763,75.1403,40.3503,134415
