Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/15/2020,113.26,102.035,106.497,100.692,163706
7/14/2020,97.38,101.836,112.139,100.668,23883
7/13/2020,101.15,102.5835,117.211,100.506,33542
7/10/2020,99.19,103.6585,123.054,99.9224,65974
7/9/2020,96.86,104.6585,122.763,99.6005,44944
7/8/2020,98.14,105.3485,123.334,97.8359,35317
7/7/2020,95.73,105.9145,125.894,99.3515,26887
7/6/2020,93.42,106.4255,134.777,99.2296,31824
7/2/2020,93.79,106.5315,133.964,98.9715,51156
7/1/2020,98.51,106.0325,132.499,98.5862,50897
6/30/2020,102.37,105.1275,132.374,97.0212,34468
6/29/2020,106.33,104.1465,131.121,98.1174,45300
6/26/2020,106.75,103.1375,131.41,98.022,56124
6/25/2020,106.78,102.109,129.665,97.7253,93971
6/24/2020,109.86,101.0495,131.019,95.8007,104761
6/23/2020,101.12,99.7915,135.307,97.2221,57127
6/22/2020,104.71,99.011,135.368,97.1316,72359
6/19/2020,108.85,98.2865,137.071,96.5752,120507
6/18/2020,101.63,97.4845,138.089,96.3703,61006
6/17/2020,104.87,97.149,131.64,94.723,51629
6/16/2020,109.28,96.9595,137.128,95.4535,46871
6/15/2020,112.33,96.4515,134.434,94.7285,51852
6/12/2020,122.65,95.8815,129.097,93.8792,116452
6/11/2020,119.19,95.1325,120.893,92.3311,96446
6/10/2020,110.66,94.5305,119.886,90.709,80801
6/9/2020,109.46,94.199,118.631,91.6707,66091
6/8/2020,105.95,93.9445,121.86,91.2398,93000
6/5/2020,95.54,93.989,115.974,89.6152,199335
6/4/2020,83.81,95.0655,119.843,89.4898,100888
6/3/2020,80.41,96.976,111.945,88.1342,49316
6/2/2020,82.75,99.2235,124.165,89.2393,45053
6/1/2020,86.15,101.0085,124.828,88.9537,48508
5/29/2020,86.18,102.679,127.157,88.7853,44962
5/28/2020,85.59,104.1395,127.309,88.7134,58290
5/27/2020,84.7,105.45,121.986,86.7896,80496
5/26/2020,85.51,106.8295,120.318,87.1386,75198
5/22/2020,90.22,108.241,120.49,86.9802,45507
5/21/2020,92.81,109.8835,120.49,86.7633,72432
5/20/2020,94.92,111.6785,119.816,85.4007,57845
5/19/2020,101.08,113.534,120.49,86.3747,48306
5/18/2020,99.12,115.4985,116.459,85.3555,72144
5/15/2020,100.93,117.4325,117.692,84.924,53667
5/14/2020,107.67,119.5765,115.775,84.2916,47574
5/13/2020,107.15,121.8395,118.765,82.9946,46579
5/12/2020,104.03,123.8315,120.545,83.6716,24536
5/11/2020,104.37,126.1205,128.683,83.6255,25718
5/8/2020,106.84,129.211,135.392,83.3162,44590
5/7/2020,117.07,132.3515,137.846,83.2052,34301
5/6/2020,122.02,134.9075,145.615,81.9344,31714
5/5/2020,125.36,137.7101,148.14,81.922,55959
5/4/2020,118.45,139.9404,149.429,81.186,59743
5/1/2020,119.56,143.1557,147.891,80.4982,57254
4/30/2020,115.39,147.3027,155.516,80.5383,57512
4/29/2020,111.8,151.9037,158.182,78.5626,95395
4/28/2020,112.29,155.7253,160.339,79.2743,60306
4/27/2020,113.74,160.8858,162.557,78.6483,44779
4/24/2020,123.07,166.233,169.469,78.5317,34268
4/23/2020,128.71,169.8188,174.817,78.134,59690
4/22/2020,132.03,171.7099,181.115,76.895,21672
4/21/2020,140.37,173.9594,186.785,77.776,28110
4/20/2020,137.8,175.3036,191.315,77.3544,33518
