Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,93.04,75.005,79.0484,75.5268,284771
7/10/2020,88.87,73.8005,79.1136,75.3555,407761
7/9/2020,89.34,72.831,73.2815,74.7341,454111
7/8/2020,83.42,71.549,74.3262,76.7189,109790
7/7/2020,77.93,70.6675,77.6909,74.8909,138720
7/6/2020,74,69.948,77.3026,75.0001,160791
7/2/2020,63.75,69.192,77.3088,74.939,281148
7/1/2020,67.11,69.19,73.8722,74.4682,316007
6/30/2020,67.6,68.9565,74.3152,76.4848,81755
6/29/2020,69.92,68.501,72.1465,74.3662,150816
6/26/2020,72.11,68.0645,72.0852,74.33,101497
6/25/2020,69.3,67.5335,72.551,74.3501,73347
6/24/2020,71.62,67.193,73.2351,76.4859,112006
6/23/2020,67.38,66.7365,73.3159,74.5371,131051
6/22/2020,72.86,66.545,73.5721,74.4828,173348
6/19/2020,77.05,66.272,73.0623,74.4443,329982
6/18/2020,76.07,65.783,68.9808,74.0089,442393
6/17/2020,73.77,65.5765,68.7096,75.9921,318302
6/16/2020,79.26,65.4285,60.7911,73.2576,518028
6/15/2020,65.7,65.0515,60.5956,73.2396,76304
6/12/2020,68.95,65.678,60.3155,73.2038,163879
6/11/2020,69.48,66.087,63.7871,73.1573,134414
6/10/2020,63.7,66.4195,64.374,75.1266,133160
6/9/2020,65.79,66.6185,65.6257,73.0483,164273
6/8/2020,63.54,66.564,61.3311,72.6894,160474
6/5/2020,58.88,66.664,68.6444,72.6758,150690
6/4/2020,63.71,67.9225,69.6626,72.8535,132476
6/3/2020,62.44,68.8725,68.0491,74.6499,146090
6/2/2020,58.49,70.0055,66.9872,72.5939,82535
6/1/2020,61.19,71.5155,69.2127,72.5657,111616
5/29/2020,61.49,72.7545,68.9972,72.5574,110189
5/28/2020,62.49,73.8785,68.4823,72.5621,122547
5/27/2020,62.49,74.897,76.6683,74.7331,102239
5/26/2020,63.55,76.056,67.8107,72.903,77912
5/22/2020,67.4,77.106,70.2038,72.8448,179186
5/21/2020,67.27,78.21,71.023,72.8305,101077
5/20/2020,71.94,79.3415,75.8703,74.9,86618
5/19/2020,70.81,80.299,79.3455,72.8819,65777
5/18/2020,71.72,81.672,86.5181,72.9176,90038
5/15/2020,78.23,82.9515,94.5802,72.9457,116903
5/14/2020,77.13,83.753,95.2907,72.9299,106578
