Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,84.35,63.8985,55.3618,65.1683,75927
7/10/2020,72.56,62.682,55.7326,65.1656,37823
7/9/2020,70.06,62.061,56.2613,65.1607,56333
7/8/2020,68.76,61.3035,56.4382,65.7699,30347
7/7/2020,67.67,60.6105,55.6075,65.1084,49799
7/6/2020,68.73,59.984,51.4475,64.6975,57236
7/2/2020,62.22,59.2825,52.4302,64.6686,72769
7/1/2020,60.18,58.994,47.2783,64.2757,73214
6/30/2020,60.21,58.816,47.3192,64.9605,50777
6/29/2020,61.94,58.6245,46.2171,64.2735,36438
6/26/2020,59.73,58.332,46.3195,64.3358,47481
6/25/2020,57.42,58.266,47.7603,64.2971,43983
6/24/2020,57.59,58.3215,54.4058,65.3612,51170
6/23/2020,55.8,58.4105,63.0981,64.7962,45247
6/22/2020,59.99,58.553,63.3835,64.7849,44707
6/19/2020,63.09,58.5105,63.4088,64.8089,100768
6/18/2020,62.05,58.236,62.5087,65.1162,93808
6/17/2020,60.99,58.1395,63.3872,65.7513,39567
6/16/2020,61.52,58.161,64.2631,65.094,60543
6/15/2020,63.11,58.1595,61.226,64.8166,76234
6/12/2020,60.02,58.173,61.1198,64.7894,50432
6/11/2020,60.14,58.405,61.7996,64.7839,60944
6/10/2020,54.91,58.5525,61.9503,65.451,25352
6/9/2020,54.9,58.684,64.8386,64.8171,35098
6/8/2020,55.14,58.859,64.981,64.8081,36849
6/5/2020,54.7,58.9555,66.9875,64.7241,62748
6/4/2020,56.45,59.3595,66.7377,64.8533,55471
6/3/2020,56.62,59.883,69.241,65.5097,29764
6/2/2020,56.38,60.8375,66.905,64.9189,50833
6/1/2020,56.09,61.8835,67.5556,64.9185,25579
5/29/2020,58.41,63.151,69.789,64.8974,52867
5/28/2020,58.53,64.184,68.8206,64.7523,63042
5/27/2020,59.37,65.1865,65.8561,64.8,111510
5/26/2020,58.65,66.2265,57.3759,63.264,88937
5/22/2020,59.14,67.419,65.2032,63.2505,68030
5/21/2020,57.6,68.9545,68.6146,63.2475,74523
5/20/2020,60.12,70.751,63.5884,63.937,40476
5/19/2020,61.42,72.492,75.8139,63.174,64665
5/18/2020,61.49,74.5495,75.6748,63.0674,46491
5/15/2020,63.38,76.127,79.8976,63.2126,52593
5/14/2020,64.66,77.2505,81.7334,63.3973,35088
5/13/2020,63.09,78.0445,80.3135,64.1027,44988
