Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/15/2020,78.73,67.715,57.7116,57.3012,164387
7/14/2020,78.63,66.275,59.0117,57.2366,229725
7/13/2020,76.95,64.9025,56.2675,56.9852,263802
7/10/2020,82.42,63.873,59.216,57.0078,241904
7/9/2020,81.66,62.6655,59.9428,56.9555,206833
7/8/2020,78.38,61.2125,58.7946,58.8788,336269
7/7/2020,71.72,59.9385,56.5891,56.6584,221422
7/6/2020,67.52,59.0085,58.3339,56.7572,87438
7/2/2020,64.32,58.139,57.7559,56.8007,123032
7/1/2020,65.84,57.4865,58.7465,56.8188,137896
6/30/2020,65.78,56.7485,58.5694,58.8954,94158
6/29/2020,69.3,55.937,57.8128,56.8279,117935
6/26/2020,70.41,54.9555,53.307,56.2816,212510
6/25/2020,65.89,54.0235,58.0355,56.1824,268097
6/24/2020,64.85,53.2695,57.9153,58.1835,107155
6/23/2020,57.25,52.4295,59.0137,56.1359,116345
6/22/2020,58.77,51.964,58.8699,56.1173,199203
6/19/2020,52.62,51.5615,60.0694,56.1036,251997
6/18/2020,50.77,51.5275,61.0054,56.1128,118160
6/17/2020,52.49,51.6605,60.2596,58.4572,333554
6/16/2020,49.93,51.6195,60.9324,56.4769,99410
6/15/2020,51.18,51.7685,59.1636,56.3175,96255
6/12/2020,56.36,51.9995,58.1588,56.2163,154343
6/11/2020,58.27,52.045,56.1269,55.9145,227700
6/10/2020,52.6,51.965,56.5326,57.9046,299290
6/9/2020,52.9,51.85,55.6508,55.771,180586
6/8/2020,53.12,51.778,55.7899,55.7708,159850
6/5/2020,50.13,51.7055,54.6342,55.9938,223879
6/4/2020,51.27,51.8985,55.6245,56.0194,279640
6/3/2020,51.08,52.0555,54.7251,58.7269,251602
6/2/2020,49.55,52.2325,55.3281,56.7688,163255
6/1/2020,49.67,52.6005,56.0364,56.71,233110
5/29/2020,51.77,52.983,55.2965,56.6294,252027
5/28/2020,50.81,53.0385,53.3121,56.1326,354386
5/27/2020,48.05,53.141,53.9863,58.2003,144860
5/26/2020,47.94,53.3945,54.6273,56.095,75743
5/22/2020,50.72,53.752,55.0029,56.1728,70561
5/21/2020,51.94,54.206,55.0753,56.0548,89407
5/20/2020,53.43,54.949,61.6537,58.0905,98537
5/19/2020,51.67,56.2095,56.2506,55.9868,38446
5/18/2020,52.91,58.821,55.0876,55.9131,111974
5/15/2020,55.8,60.621,55.3329,56.2012,107336
5/14/2020,57.27,62.407,55.7334,56.1786,146833
5/13/2020,56.67,64.194,62.7907,58.1908,88652
5/12/2020,50.3,65.7035,56.9411,56.0545,66936
5/11/2020,51.46,67.0615,58.9352,56.1832,62369
5/8/2020,51.67,68.468,63.4674,56.2117,102007
5/7/2020,53.99,69.9775,63.0859,56.245,169047
5/6/2020,54.41,71.3779,65.7466,58.3765,155611
5/5/2020,54.62,72.7949,66.4473,56.4202,198161
5/4/2020,56.91,74.1163,69.1599,56.5223,101795
5/1/2020,57.32,76.2262,68.5831,56.412,147497
4/30/2020,52.88,78.1499,70.8567,56.3573,136111
4/29/2020,52.86,80.8046,72.2709,58.0678,193436
4/28/2020,53.12,82.4781,70.6708,55.8751,120116
4/27/2020,55.09,84.0651,74.2423,55.7325,187831
4/24/2020,59.8,86.2167,75.7257,55.7938,230345
4/23/2020,66.8,88.0505,77.6935,55.8382,304895
4/22/2020,78.64,89.5816,74.4634,57.5648,825876
4/21/2020,103.9,90.459,77.6935,55.548,206648
4/20/2020,88.91,90.1049,77.6935,55.6375,113541
4/17/2020,91.52,90.613,82.3727,55.5906,108463
4/16/2020,93.01,91.8463,85.8738,55.4146,119619
4/15/2020,86.86,93.6386,90.228,57.3387,61594
4/14/2020,77.46,95.0266,94.3998,55.3378,66626
4/13/2020,79.59,96.9728,96.6239,55.2952,65124
4/9/2020,81.86,97.6138,100.443,55.4716,94113
4/8/2020,81.998,98.8248,101.469,55.1353,122437
4/7/2020,82.75,99.4196,101.247,57.0705,56348
4/6/2020,81.048,99.1947,102.106,54.6927,66252
4/3/2020,99.109,99.5279,102.991,54.6923,71620
4/2/2020,95.793,98.3904,101.84,54.4896,81203
4/1/2020,105.975,96.8737,100.765,56.3092,56226
3/31/2020,86.33,94.4254,100.955,53.9456,71275
3/30/2020,84.86,93.1672,100.957,53.8898,45386
