Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,75.34,59.106,67.4214,60.5972,147278
7/10/2020,74.24,58.0315,69.8216,60.5792,104662
7/9/2020,72.58,57.4745,69.6733,60.537,181215
7/8/2020,69.35,56.518,68.4214,61.4626,226688
7/7/2020,63.28,55.678,66.9381,60.3777,225561
7/6/2020,60.04,54.97,62.2377,59.7965,254952
7/2/2020,52.1,54.4055,62.07,59.6393,123874
7/1/2020,54.83,54.2915,57.2402,58.9528,205370
6/30/2020,53.26,54.0185,60.6995,59.9539,52183
6/29/2020,54.7,53.8485,60.5425,58.95,69250
6/26/2020,57.6,53.5235,59.8121,58.8786,116716
6/25/2020,55.64,53.1215,59.4041,58.8624,120976
6/24/2020,55.61,52.8455,61.4299,59.9056,107497
6/23/2020,52.54,52.5265,62.5962,58.9129,109504
6/22/2020,53.99,52.4365,60.7043,58.7385,136428
6/19/2020,55.21,52.3705,61.0102,58.6578,151171
6/18/2020,55.36,52.2845,61.8763,58.6554,85286
6/17/2020,54.57,52.171,62.6012,59.5831,191204
6/16/2020,54.17,52.248,62.8939,58.5227,142878
6/15/2020,57.71,52.2455,58.5712,57.9494,86594
6/12/2020,53.85,52.386,63.1693,57.7321,92547
6/11/2020,63.1,52.8145,61.9765,57.4234,156424
6/10/2020,53.45,52.514,62.3624,58.4823,104470
6/9/2020,52.55,52.613,61.6328,57.393,111591
6/8/2020,49.12,52.602,64.0061,57.4334,107347
6/5/2020,48.75,52.87,64.7964,57.3781,196079
6/4/2020,49.82,53.248,64.7403,57.2543,150210
6/3/2020,49.37,53.861,66.3862,58.2468,187593
6/2/2020,49.86,54.547,61.9147,56.8409,161652
6/1/2020,48.2,55.3005,63.3272,56.8515,71265
5/29/2020,49.56,56.374,63.6103,56.8444,74783
5/28/2020,50.12,57.1585,63.5368,56.8888,74012
5/27/2020,49.23,57.919,66.1686,57.7034,102885
5/26/2020,50.74,58.68,61.6433,56.4735,60556
5/22/2020,52.67,59.432,63.5499,56.5428,63198
5/21/2020,53.49,60.473,65.2906,56.412,91187
5/20/2020,53.09,61.624,65.6805,57.4577,98342
5/19/2020,56.11,62.8355,67.7291,56.1823,157199
5/18/2020,54.12,64.171,68.9237,56.1221,132316
5/15/2020,60.52,65.4875,69.6197,56.044,157626
5/14/2020,62.42,66.339,66.4005,55.2562,154028
5/13/2020,57.09,67.2725,66.1228,56.2906,141616
5/12/2020,55.43,68.2085,76.7599,55.1959,158973
5/11/2020,52.33,69.1,82.7401,55.2376,95501
5/8/2020,54.48,70.295,86.4244,54.9507,145163
