Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/15/2020,30.58,32.1875,24.7969,30.9564,86273
7/14/2020,31.03,32.3205,26.7044,30.9486,89771
7/13/2020,31.49,32.4795,28.9649,30.9307,147415
7/10/2020,31.76,32.7685,32.2357,30.8989,227859
7/9/2020,32.83,32.902,32.3074,30.8892,147945
7/8/2020,30.15,32.672,32.6593,31.4578,275587
7/7/2020,30.21,32.5395,32.6964,30.884,53747
7/6/2020,29.2,32.329,33.4947,30.859,100328
7/2/2020,30.5,32.1715,33.4789,30.8332,111922
7/1/2020,31.46,31.959,33.6007,30.8343,101030
6/30/2020,31.91,31.743,33.5217,31.413,77838
6/29/2020,33.63,31.5105,32.9744,30.8036,129309
6/26/2020,36.52,31.2205,33.1724,30.7752,114175
6/25/2020,34.62,30.854,34.5133,30.765,78438
6/24/2020,35.15,30.59,35.3301,31.2739,137658
6/23/2020,31.35,30.2635,36.212,30.6722,261992
6/22/2020,32.18,30.086,36.3146,30.6695,96191
6/19/2020,32.69,29.9655,35.8942,30.6056,128594
6/18/2020,32.8,29.772,36.1459,30.59,98544
6/17/2020,33.69,29.562,36.1194,31.1471,75540
6/16/2020,33.24,29.3575,35.356,30.2954,102138
6/15/2020,34.21,29.084,34.0599,30.1214,116717
6/12/2020,37.27,28.9465,32.6208,29.8788,96306
6/11/2020,34.43,28.718,29.564,29.4247,222195
6/10/2020,28.23,28.6785,30.1552,30.0838,155809
6/9/2020,27.5,28.715,29.9291,29.4907,177496
6/8/2020,26,28.748,30.687,29.4915,223848
6/5/2020,26.05,28.823,29.7261,29.3744,247204
6/4/2020,26.25,29.025,31.5283,29.3487,140138
6/3/2020,27.14,29.3415,31.5705,30.0112,85383
6/2/2020,27.26,29.468,31.7853,29.3578,207901
6/1/2020,27.83,29.715,33.0644,29.5289,69290
5/29/2020,29.19,29.9685,33.1793,29.4692,111824
5/28/2020,29.34,30.1055,32.3774,29.3077,99026
5/27/2020,28.62,29.972,31.2294,29.8205,152602
5/26/2020,27.8,29.973,30.8965,28.9972,171213
5/22/2020,29.77,30.06,30.997,28.9879,157313
5/21/2020,28.82,30.237,31.3328,28.9727,181245
5/20/2020,28.6,30.631,34.7291,29.6318,176014
5/19/2020,29.6,31.055,31.9928,29.0265,97869
5/18/2020,27.77,31.8035,31.5268,28.8733,115634
5/15/2020,31.46,32.3975,32.1703,28.8645,82868
5/14/2020,32.7,32.7025,31.8468,28.7959,176834
5/13/2020,33.64,33.2,35.1883,29.4525,105672
