Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,121.42,79.1465,80.1745,74.4534,956291
7/10/2020,105.16,76.7355,72.6529,73.5479,1184142
7/9/2020,94.16,75.12,75.3953,73.5471,503857
7/8/2020,91.07,73.91,73.9728,74.8566,605454
7/7/2020,92.17,72.529,74.363,73.2784,699181
7/6/2020,91.02,71.192,67.5963,72.6018,715751
7/2/2020,75.78,69.5355,60.9225,72.2674,902984
7/1/2020,77.47,68.618,60.2298,72.2297,628995
6/30/2020,76.87,67.647,56.0231,73.4621,714574
6/29/2020,78.06,66.786,57.0754,71.8399,316652
6/26/2020,71.08,66.003,57.0043,71.7814,492221
6/25/2020,68.2,65.231,55.9811,71.7706,488536
6/24/2020,68.59,64.581,56.624,73.2333,445373
6/23/2020,64.47,64.083,57.0381,71.7185,259583
6/22/2020,63.82,63.751,57.1062,71.749,211774
6/19/2020,65.29,63.546,57.3977,71.7779,523673
6/18/2020,67.76,63.5035,57.5152,71.7773,450599
6/17/2020,68.44,63.2525,57.4384,73.3667,396729
6/16/2020,70.7,63.0155,57.8467,71.9217,488525
6/15/2020,71.4,62.727,51.5593,71.4479,492560
6/12/2020,73.2,62.4715,50.3136,71.3075,946189
6/11/2020,72.85,62.3305,51.2356,71.5543,709598
6/10/2020,69.96,62.3115,47.6595,72.8277,810345
6/9/2020,63.45,62.3625,49.7465,71.3497,406036
6/8/2020,65.43,62.698,48.3483,71.2051,555406
6/5/2020,57.89,62.921,48.3738,71.3112,519840
6/4/2020,57.43,63.5695,47.7532,71.3677,509899
6/3/2020,58.05,64.3145,49.9258,73.2795,353012
6/2/2020,59.65,65.099,57.1689,71.829,504550
6/1/2020,62.4,65.9725,61.2553,71.6335,577061
5/29/2020,55.64,67.0995,66.8517,71.5777,641060
5/28/2020,55.2,68.0625,67.1356,71.5948,413910
5/27/2020,58.63,69.556,69.1625,73.0076,459248
5/26/2020,57.83,70.7105,68.094,71.6215,294196
5/22/2020,59.72,72.3915,71.6763,71.6914,552774
5/21/2020,64.44,73.9855,73.3224,71.8067,544733
5/20/2020,62.74,75.6205,76.908,73.438,280150
5/19/2020,63.7,77.406,75.6718,72.1469,286690
5/18/2020,64.93,79.2075,76.4577,72.2876,322064
5/15/2020,66.29,80.886,80.8279,72.2787,475951
5/14/2020,70.38,82.6375,88.0194,72.2466,498425
5/13/2020,72.47,84.4195,82.384,73.5806,569913
5/12/2020,70.98,86.1605,86.8901,72.1261,435715
5/11/2020,70.16,87.63,87.7905,71.9914,372258
5/8/2020,69.89,88.8575,89.8351,71.929,712261
5/7/2020,70.86,89.822,98.4268,71.9175,404699
5/6/2020,72.33,90.8141,94.1737,73.4752,338270
5/5/2020,73.74,91.6898,101.515,71.8925,439736
5/4/2020,77.12,92.708,98.8177,71.4445,439709
5/1/2020,84.94,94.0636,94.8399,71.0947,1184998
4/30/2020,74.9,95.0749,94.6963,70.8308,760942
4/29/2020,85.07,96.6653,95.1552,71.8131,309446
4/28/2020,81.72,97.3484,94.6953,70.6034,233924
4/27/2020,91.45,98.4848,92.4472,70.1605,364371
4/24/2020,91.6,99.5119,93.7295,70.2689,449688
4/23/2020,97.14,100.802,97.2144,70.3369,363598
4/22/2020,98.45,102.0702,103.307,71.1876,371335
4/21/2020,99.73,102.8268,101.847,70.009,432046
4/20/2020,98.5,103.8527,105.793,69.8254,303545
4/17/2020,101.32,105.8407,112.145,69.7251,512029
4/16/2020,106.02,108.1812,117.995,69.642,597324
4/15/2020,107.29,110.7201,121.802,70.4178,497162
4/14/2020,100.37,112.6894,124.965,68.9982,723875
4/13/2020,94.71,114.8738,125.064,68.0585,606267
4/9/2020,89.18,115.9217,129.399,68.0146,494536
4/8/2020,90.703,116.9003,129.578,67.9608,408443
4/7/2020,89.843,116.9844,132.095,68.6778,496925
4/6/2020,94.104,117.0441,135.582,67.3804,298701
4/3/2020,104.232,117.3586,130.858,67.3471,768862
4/2/2020,105.165,116.8055,129.5,67.0411,392736
4/1/2020,106.709,116.0046,128.532,67.72,295605
3/31/2020,98.731,114.8789,132.249,66.5681,293235
3/30/2020,104.45,114.4347,134.868,66.5378,237116
3/27/2020,111.991,113.2998,138.159,66.2318,507955
3/26/2020,117.403,112.482,141.264,66.0571,425949
3/25/2020,122.503,110.7445,138.251,66.4951,468718
3/24/2020,113.582,108.0206,133.82,64.3404,458633
3/23/2020,120.248,105.8034,135.879,64.2573,265812
3/20/2020,138.26,103.4309,131.371,63.3798,606759
3/19/2020,148.13,100.4832,125.29,62.0253,611967
3/18/2020,156.799,96.8614,121.475,61.8572,493485
3/17/2020,146.675,92.7666,117.212,59.7634,460493
3/16/2020,144.058,88.888,110.311,58.4593,386984
3/13/2020,115.668,84.9034,107.203,57.1741,624530
3/12/2020,108.752,82.8157,101.511,56.139,438745
3/11/2020,92.385,80.7508,100.915,57.1314,313102
3/10/2020,91.036,79.9415,99.219,55.1209,363349
3/9/2020,100.395,79.7959,93.5616,53.8978,375176
3/6/2020,93.17,79.3288,96.8472,53.7302,476081
3/5/2020,89.147,79.5014,100.679,53.6311,365642
3/4/2020,84.195,79.8442,103.944,54.5985,539000
3/3/2020,89.848,81.5109,102.879,52.7421,612964
3/2/2020,81.75,80.7857,98.8643,52.3837,428782
2/28/2020,95.637,79.4184,94.9436,51.4735,740770
2/27/2020,82.652,77.3144,89.7893,50.8105,802778
2/26/2020,68.025,76.6639,92.5827,51.8997,521977
2/25/2020,69.237,76.7171,88.764,50.4582,517822
2/24/2020,72.8,76.8156,85.3849,49.6707,433124
2/21/2020,79.305,76.7049,85.2273,49.7681,666581
2/20/2020,75.694,76.2252,85.8031,49.5982,724881
2/19/2020,74.904,76.2718,84.4233,49.9629,896969
2/18/2020,69.103,75.9703,80.2397,48.524,499371
2/14/2020,64.364,75.8487,83.2252,48.4712,606351
2/13/2020,73.915,76.1458,78.1194,47.7091,830994
2/12/2020,67.455,75.9936,79.3793,48.7492,383869
2/11/2020,76.197,76.2044,79.6379,47.7234,376273
2/10/2020,88.125,75.6898,75.1054,47.0118,504631
2/7/2020,91.053,74.5381,74.6702,46.9498,747050
2/6/2020,96.621,73.3382,69.8561,46.1597,1078042
2/5/2020,96.004,71.7648,67.806,46.0825,1237851
2/4/2020,117.529,69.8697,59.8977,44.4572,1343765
2/3/2020,75.343,66.7088,56.1768,43.8118,1233875
1/31/2020,54.405,65.619,56.1792,43.8946,657190
1/30/2020,53.557,65.586,55.9448,43.7189,862322
1/29/2020,69.643,65.4343,56.3105,44.1367,531479
1/28/2020,69.089,64.4437,55.9482,43.7115,247537
1/27/2020,71.206,63.3689,53.1609,43.4048,314282
1/24/2020,70.586,62.1075,53.1323,43.4998,571992
1/23/2020,69.711,60.8354,52.9997,43.5374,598486
1/22/2020,76.626,59.5919,50.5813,43.695,1040059
1/21/2020,68.873,58.0194,48.1978,43.6103,631119
1/17/2020,66.673,56.7528,49.0357,43.6011,616485
1/16/2020,70.305,55.4179,45.8466,43.2831,740552
1/15/2020,70.871,53.8731,48.1298,43.7671,467821
1/14/2020,71.671,52.2878,46.2658,43.1379,798047
1/13/2020,65.905,50.5966,41.2223,42.6139,885998
1/10/2020,65.091,49.272,41.2911,42.7442,625915
1/9/2020,67.055,47.952,40.6038,42.6506,921245
1/8/2020,65.153,46.5461,38.5091,43.144,1035831
1/7/2020,58.101,45.2346,37.6118,42.7793,631909
1/6/2020,54.312,44.1861,36.8394,42.9358,311923
1/3/2020,53.548,43.3301,35.7977,42.9091,724771
1/2/2020,53.744,42.5714,35.3182,43.538,358111
12/31/2019,50.523,41.8004,33.4713,43.9875,289216
12/30/2019,49.832,41.1285,31.7334,43.5641,344363
12/27/2019,47.593,40.3894,31.478,43.8208,424385
12/26/2019,45.977,39.7032,31.9418,44.4581,475242
12/24/2019,45.144,39.0943,33.7192,45.4633,287537
12/23/2019,44.84,38.6514,36.8597,44.9385,555970
12/20/2019,45.177,38.3114,36.1581,45.0723,617565
12/19/2019,43.542,38.0514,36.1879,45.1279,676162
12/18/2019,39.974,37.861,35.5194,45.673,518095
12/17/2019,39.41,37.7962,35.4768,45.3665,269275
12/16/2019,39.163,37.7007,30.9951,45.1183,599882
12/13/2019,37.849,37.6244,30.8942,45.1312,375727
12/12/2019,39.413,37.6827,31.7327,45.125,323210
12/11/2019,38.689,37.6334,31.5939,45.6517,284809
12/10/2019,38.938,37.5886,31.2385,45.1269,309493
12/9/2019,38.922,37.5248,30.902,45.304,242520
12/6/2019,37.131,37.5157,31.4966,45.368,314822
12/5/2019,37.192,37.615,32.6228,45.4602,155583
12/4/2019,38.375,37.7025,32.7994,46.0414,146610
12/3/2019,38.325,37.6185,33.2728,45.619,154762
12/2/2019,37.084,37.5326,33.1769,45.62,155203
11/29/2019,35.05,37.5037,33.4838,45.6225,163806
11/27/2019,33.869,37.6362,34.0084,45.6772,233872
11/26/2019,33.799,37.8744,34.7523,46.5676,252752
11/25/2019,36.286,38.1382,35.0907,46.054,308437
