Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,105.7,105.8515,116.473,92.7092,83128
7/10/2020,108.76,106.827,123.967,91.9986,175603
7/9/2020,107.75,108.158,125.624,91.771,146023
7/8/2020,97.55,108.4555,129.409,90.6113,134618
7/7/2020,100.15,109.3635,132.618,91.4902,101032
7/6/2020,91.33,110.2205,143.385,91.4662,80796
7/2/2020,93.86,111.535,147.38,91.3213,84376
7/1/2020,103.23,111.724,147.062,90.7202,156284
6/30/2020,94.51,111.1065,147.024,89.6226,63241
6/29/2020,99.49,110.779,146.294,90.4195,113076
6/26/2020,118.39,110.219,148.059,90.3001,119143
6/25/2020,101.91,109.1165,143.154,89.3625,118552
6/24/2020,107.21,108.7315,147.834,88.1491,114521
6/23/2020,103.13,107.8945,151.478,88.9742,129799
6/22/2020,103.92,107.633,151.161,88.805,101840
6/19/2020,111.61,106.9915,149.104,88.4145,200045
6/18/2020,112.32,106.18,148.51,88.2368,112441
6/17/2020,115.63,105.587,150.452,87.2358,90584
6/16/2020,122.2,105.014,154.174,87.5095,112161
6/15/2020,118.38,104.182,149.679,86.472,140099
6/12/2020,125.21,104.0625,145.94,85.117,254069
6/11/2020,135.38,103.9785,138.147,82.8873,292582
6/10/2020,113.7,102.8165,135.911,81.6261,210396
6/9/2020,115.71,102.5225,132.357,81.5781,154483
6/8/2020,117.29,101.848,130.869,80.7836,184176
6/5/2020,117.62,101.004,122.773,78.5391,285917
6/4/2020,97.64,100.545,117.771,77.5347,352249
6/3/2020,90.88,100.8215,116.712,76.3852,279460
6/2/2020,87.96,101.503,124.814,76.7843,60623
6/1/2020,88.29,102.246,126.836,76.652,81605
5/29/2020,96.34,102.8035,124.617,76.1357,103365
5/28/2020,94.21,102.8455,124.497,76.0053,115130
5/27/2020,90.47,103.1705,123.313,74.2537,174107
5/26/2020,97.9,103.559,112.643,73.6355,196746
5/22/2020,91.09,103.4275,112.48,73.4878,96881
5/21/2020,95.38,104.2355,113.554,73.4034,102363
5/20/2020,100.46,105.3475,118.909,72.9603,101107
5/19/2020,104.17,106.6235,115.918,72.7764,136445
5/18/2020,105.56,107.871,107.33,71.0846,176454
5/15/2020,115.99,108.2295,107.768,70.8144,122249
5/14/2020,123.53,108.4355,108.818,69.923,146012
5/13/2020,112.14,108.835,105.704,69.1981,128607
5/12/2020,107.82,109.4265,115.029,69.1995,104453
5/11/2020,102.22,110.2525,122.515,69.1164,81719
5/8/2020,100.41,111.803,121.447,68.4862,125356
5/7/2020,108.44,113.568,123.047,68.0997,94580
5/6/2020,103.17,115.3873,123.697,67.8216,93917
5/5/2020,104.51,117.1929,129.333,67.32,57882
5/4/2020,102.82,118.944,122.915,65.6175,116319
5/1/2020,99.44,121.2183,122.76,65.3572,95671
4/30/2020,97.18,123.9772,122.668,65.1573,94386
4/29/2020,100.71,127.261,122.487,64.0549,133104
4/28/2020,98.24,128.7995,124.336,64.2768,90193
4/27/2020,95.27,130.8375,125.231,64.1258,63520
4/24/2020,107.25,132.8553,128.337,63.9831,91565
4/23/2020,117.62,135.4001,135.024,63.9424,84665
4/22/2020,125.98,137.3394,139.905,62.7923,177770
4/21/2020,129.12,141.1696,141.044,63.4224,59039
4/20/2020,112.73,146.0173,145.86,63.1231,61148
4/17/2020,120.11,154.8594,149.888,62.8103,70938
4/16/2020,131.52,163.1632,152.174,62.1346,85955
4/15/2020,123.97,169.0219,156.818,61.0224,117747
4/14/2020,124.34,173.4281,160.47,61.604,67657
4/13/2020,133.23,177.1623,160.063,60.2999,82797
4/9/2020,135.71,179.0506,159.081,58.9155,129231
4/8/2020,144.825,181.6066,156.059,58.0194,64351
4/7/2020,139.283,180.3703,150.365,54.8836,77836
4/6/2020,139.532,179.9467,150.055,55.0447,70258
4/3/2020,148.306,179.1057,150.822,54.1097,87473
4/2/2020,154.619,177.4386,151.98,53.3879,64202
4/1/2020,162.856,174.762,144.497,50.9802,76523
3/31/2020,131.48,170.3212,145.128,51.1276,36870
3/30/2020,138.999,167.8943,140.833,49.7179,63771
3/27/2020,135.625,164.7194,139.529,49.2313,52523
3/26/2020,158.147,162.8089,138.513,48.0817,49050
3/25/2020,156.405,158.7912,131.478,45.4026,77004
3/24/2020,202.586,154.0531,121.675,42.9612,66629
3/23/2020,226.074,146.5385,119.538,42.2781,41357
3/20/2020,289.571,137.2934,107.814,39.5416,77951
3/19/2020,286.186,124.6064,94.3598,36.5339,51405
3/18/2020,248.693,111.9217,86.7908,34.9043,86317
3/17/2020,212.095,101.0752,79.8347,33.435,64799
3/16/2020,199.024,92.1114,73.8471,32.2268,71654
3/13/2020,170.995,83.8088,68.0103,31.1018,93018
3/12/2020,186.831,76.9305,62.8,30.1374,75654
3/11/2020,120.099,69.1989,60.0628,30.1306,37201
3/10/2020,130.81,64.8895,55.8589,29.0572,53449
3/9/2020,122.713,60.0974,51.8364,28.3914,50974
3/6/2020,114.963,55.6735,48.6038,27.8326,86854
3/5/2020,101.088,51.5561,45.7082,27.228,89021
3/4/2020,74.039,48.112,45.2008,27.321,60905
3/3/2020,82.942,46.0807,42.8636,26.6046,68876
3/2/2020,75.502,43.6305,41.6058,26.3101,84558
2/28/2020,97.415,41.687,41.2091,25.9898,68514
2/27/2020,77.794,38.4124,39.9667,25.6991,96150
2/26/2020,61.642,36.13,38.0769,25.8172,87435
2/25/2020,52.293,34.6132,37.7684,25.1151,60737
2/24/2020,41.174,33.6744,37.1799,24.8079,40570
2/21/2020,35.831,33.1113,37.6861,24.7473,31246
2/20/2020,32.492,32.5834,37.0572,24.697,19162
2/19/2020,31.763,32.1924,39.5979,25.0525,28292
2/18/2020,32.817,32.2241,36.7035,24.6291,36600
2/14/2020,32.974,32.0006,36.1633,24.569,32609
2/13/2020,33.428,31.8085,35.8269,24.522,18784
2/12/2020,32.199,31.5888,38.9995,25.0157,29538
2/11/2020,33.912,31.4707,35.703,24.5841,17781
2/10/2020,34.967,31.1744,35.2021,24.5401,29017
2/7/2020,34.234,30.8589,35.394,24.5767,30321
2/6/2020,32.616,30.5973,36.4018,24.4797,34309
2/5/2020,32.207,30.4608,36.4352,24.7302,50241
2/4/2020,33.413,30.2646,33.4762,24.0453,59584
2/3/2020,33.936,29.9817,32.376,23.9256,24970
1/31/2020,36.633,29.718,30.575,23.6947,66737
1/30/2020,31.924,29.2444,28.326,23.4747,54880
1/29/2020,32.145,29.0133,30.6342,23.7402,43595
1/28/2020,31.305,28.7724,26.1299,23.3276,73948
1/27/2020,33.517,28.6041,23.7312,23.0849,60849
1/24/2020,29.913,28.2736,21.2816,23.0124,78767
1/23/2020,25.272,28.0966,19.616,22.9255,40554
1/22/2020,24.673,28.0751,22.0571,23.2274,58615
1/21/2020,32.397,28.0609,19.4757,22.9463,88040
1/17/2020,28.348,27.6273,19.4743,22.9244,34993
1/16/2020,29.13,27.3724,19.5353,23.0201,22335
1/15/2020,29.035,27.0625,19.6445,23.3377,12928
1/14/2020,29.837,26.6972,18.5328,22.9908,28288
1/13/2020,27.986,26.2621,19.3881,23.0197,15581
1/10/2020,28.656,25.951,19.4404,23.2876,16958
1/9/2020,29.003,25.6121,19.6863,23.5398,16343
1/8/2020,29.886,25.2384,19.3261,23.9017,20945
1/7/2020,28.283,24.8201,19.6793,23.6503,10549
1/6/2020,27.755,24.4518,19.5398,23.7484,10412
1/3/2020,28.662,24.1229,16.6122,23.7665,28494
1/2/2020,27.161,23.83,17.0789,23.9058,11734
12/31/2019,27.303,23.6332,17.7783,24.2156,6320
12/30/2019,27.327,23.3248,17.7276,23.9948,12781
12/27/2019,27.938,22.9382,17.4742,24.2798,13235
12/26/2019,26.906,22.5273,17.4287,24.5782,7154
12/24/2019,26.374,22.1338,17.5877,24.9597,6652
12/23/2019,24.842,21.8092,17.5783,24.8977,17715
12/20/2019,24.39,21.6507,17.7333,24.9965,9169
12/19/2019,23.725,21.5914,18.3289,25.0631,15050
12/18/2019,23.248,21.5356,18.1954,25.3542,4826
12/17/2019,22.933,21.4593,18.3161,25.1621,8001
12/16/2019,21.729,21.3596,18.1756,25.324,8168
12/13/2019,21.136,21.2724,18.0359,25.4507,16049
12/12/2019,21.762,21.266,17.101,25.4265,15688
12/11/2019,21.879,21.2394,17.0846,25.7222,14079
12/10/2019,21.53,21.1946,16.8931,25.5183,15177
12/9/2019,21.519,21.1457,16.7974,25.8154,17750
12/6/2019,20.917,21.1023,16.8687,25.9085,18463
12/5/2019,21.178,21.1162,16.3431,26.1727,12795
12/4/2019,22.804,21.0727,15.9977,26.4239,20957
12/3/2019,23.224,20.976,14.386,26.1574,27035
12/2/2019,21.135,20.8677,13.9571,26.1334,14287
11/29/2019,19.596,20.8879,14.0692,26.1381,10249
11/27/2019,19.72,20.9827,14.1811,26.1626,11572
11/26/2019,19.035,21.0667,14.4928,26.7135,11829
11/25/2019,19.881,21.1986,14.3425,26.5139,11837
11/22/2019,21.672,21.2679,16.0629,26.5247,8886
11/21/2019,23.205,21.2446,16.9083,26.5776,9620
11/20/2019,22.609,21.2429,16.3523,26.794,15249
11/19/2019,21.722,21.233,16.7589,26.6307,13144
11/18/2019,20.938,21.279,16.576,26.8131,14782
11/15/2019,19.986,21.3159,16.575,26.8355,12712
11/14/2019,21.008,21.4307,16.7878,26.8487,7719
11/13/2019,21.23,21.4818,18.4643,27.0909,7407
11/12/2019,20.983,21.57,19.6548,26.8897,10493
11/11/2019,20.552,21.9701,20.2859,26.8853,11067
11/8/2019,20.651,22.4272,21.2814,26.9773,9196
11/7/2019,21.195,22.9774,21.3894,26.9633,14626
11/6/2019,20.308,23.5984,21.5053,26.9657,5465
11/5/2019,20.871,24.2845,23.3846,27.0049,7232
11/4/2019,21.057,24.9357,26.4527,27.1247,6562
11/1/2019,21.539,25.4791,27.129,27.1921,9970
10/31/2019,21.492,26.0301,27.0849,27.2352,8146
10/30/2019,21.399,26.6857,27.4659,27.5759,11323
10/29/2019,21.674,27.3473,27.8263,27.4896,5559
10/28/2019,21.266,27.8411,27.9971,27.7246,11142
10/25/2019,21.208,28.2808,27.4301,27.956,12558
10/24/2019,23.17,28.8148,26.8828,28.0393,14072
10/23/2019,22.411,29.1624,27.6026,28.2409,6836
10/22/2019,22.642,29.4965,26.6314,28.0571,7383
10/21/2019,21.676,29.8841,26.7107,28.1304,14808
10/18/2019,22.283,30.2236,27.0259,28.2669,21248
10/17/2019,22.03,30.5222,29.1305,28.3123,19316
10/16/2019,22.992,30.8059,26.705,28.6654,70307
10/15/2019,28.986,31.0795,29.1305,28.3275,52206
10/14/2019,29.693,31.0501,29.1305,28.498,28815
10/11/2019,31.655,30.9528,29.0288,28.697,11093
10/10/2019,33.615,30.5476,27.8599,28.7289,15629
10/9/2019,34.031,30.0181,27.3702,29.1526,13664
