Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,30.33,23.6065,26.1902,26.0451,324504
7/10/2020,27.89,23.5615,25.7496,25.9802,345988
7/9/2020,27.72,23.575,24.9643,25.9054,326988
7/8/2020,27.46,23.233,22.9566,26.5578,437829
7/7/2020,28.65,22.916,17.6401,25.007,743872
7/6/2020,19.83,22.539,18.074,24.9971,59191
7/2/2020,18.76,22.505,17.9958,24.9952,56907
7/1/2020,19.5,22.634,17.9361,24.9924,41647
6/30/2020,20.04,22.68,18.0071,25.8679,43462
6/29/2020,21.44,22.735,18.351,25.0263,37483
6/26/2020,23.57,22.713,18.771,25.0219,46755
6/25/2020,22.08,22.5655,18.9525,25.0115,48349
6/24/2020,22.94,22.5,19.5691,25.8587,53857
6/23/2020,20.84,22.4425,19.2632,24.9853,96289
6/22/2020,22.32,22.4405,18.9596,24.9777,116097
6/19/2020,22.54,22.4475,18.7873,24.9577,107752
6/18/2020,23.99,22.5125,19.7044,24.9596,56902
6/17/2020,23.2,22.5465,24.5397,25.8136,49921
6/16/2020,23.31,22.711,21.5176,24.9165,68843
6/15/2020,25.72,22.9525,21.7169,24.9074,75597
6/12/2020,29.43,23.274,20.4649,24.8078,113023
6/11/2020,28.16,23.572,20.1443,24.7867,139140
6/10/2020,20.88,23.835,25.8757,25.6542,52082
6/9/2020,21.12,24.3045,20.9983,24.7978,43815
6/8/2020,21.11,24.8205,20.2924,24.7359,80685
6/5/2020,19.15,25.2915,20.1127,24.6987,87192
6/4/2020,21.34,25.9345,20.3758,24.735,59337
6/3/2020,20.42,26.542,25.5199,25.601,41364
6/2/2020,21.14,27.215,22.3702,24.7311,37804
6/1/2020,21,27.884,22.568,24.7185,35748
5/29/2020,20.62,28.8425,22.3386,24.6871,53168
5/28/2020,20.77,29.59,22.1415,24.672,58107
5/27/2020,21.79,30.332,26.6518,25.5073,73840
5/26/2020,20.8,30.88,22.7096,24.626,54225
5/22/2020,22.46,31.5305,23.0168,24.6307,81300
5/21/2020,23.84,32.21,23.8191,24.6274,112959
5/20/2020,24.67,33.021,27.504,25.4696,140924
5/19/2020,26.49,33.683,23.8191,24.3767,333533
