Date,IV30,IV30 20-Day MA,OHLC 20-Day Vol,OHLC 52-Week Vol,Options Volume
7/13/2020,59.87,60.9125,42.7513,65.0242,82332
7/10/2020,52.31,61.5105,45.0502,65.0209,93925
7/9/2020,53.38,62.8265,49.0949,65.0156,59839
7/8/2020,54.59,63.777,49.3872,66.9322,63540
7/7/2020,55.84,64.5225,51.028,65.0111,57963
7/6/2020,54.41,65.273,53.1646,64.8758,108534
7/2/2020,49.45,65.888,55.8606,65.1531,72189
7/1/2020,53.86,66.754,60.3106,65.0963,64991
6/30/2020,56.76,67.901,61.1033,67.1948,52490
6/29/2020,58.18,69.4535,66.3909,65.32,78753
6/26/2020,64.39,71.082,66.6709,65.412,103934
6/25/2020,63.81,72.066,66.9562,65.5268,81058
6/24/2020,64.78,73.003,78.9826,67.5943,100443
6/23/2020,62.79,73.921,67.3473,66.7759,63718
6/22/2020,64.3,74.767,68.4328,66.7836,122798
6/19/2020,64.99,75.6205,70.0455,66.9129,81585
6/18/2020,68.22,76.487,71.5287,66.9467,66347
6/17/2020,69.33,77.364,81.2673,68.8247,73185
6/16/2020,73.56,78.188,72.424,66.9952,101040
6/15/2020,73.43,78.8365,70.6766,66.7837,139521
6/12/2020,71.83,79.7335,71.3854,66.8037,116471
6/11/2020,78.63,80.803,70.6448,67.2981,188766
6/10/2020,72.39,81.1805,78.6371,69.1714,121695
6/9/2020,69.5,81.7115,69.6193,67.6915,62615
6/8/2020,70.85,82.405,68.9474,68.0904,105156
6/5/2020,66.71,83.018,65.9782,67.8969,246506
6/4/2020,66.77,83.9635,64.4757,67.8326,260355
6/3/2020,76.8,84.9075,74.9669,69.9719,409112
6/2/2020,87.81,85.281,64.4757,67.8119,314398
6/1/2020,90.75,85.1745,64.4757,67.6379,232115
5/29/2020,84.07,85.173,62.5436,67.3525,123642
5/28/2020,82.55,85.262,64.5552,67.2711,77156
5/27/2020,83.14,85.3935,61.6352,68.3706,139798
5/26/2020,79.71,85.5675,62.8614,66.9991,61025
5/22/2020,81.37,86.03,71.8855,67.0474,69261
5/21/2020,82.32,86.982,79.141,67.0403,78616
5/20/2020,85.76,87.651,79.9651,68.7289,60272
5/19/2020,85.81,87.5695,81.6448,67.3717,78153
5/18/2020,86.53,87.353,81.1063,68.0169,112321
5/15/2020,91.37,87.182,81.1473,68.1258,115306
5/14/2020,93.22,86.86,81.156,68.6867,83955
5/13/2020,86.18,86.5895,83.5176,70.2208,111252
5/12/2020,83.01,86.5815,83.6505,68.9942,74401
5/11/2020,83.37,86.5045,85.5541,69.0035,99102
5/8/2020,83.11,86.711,87.01,68.9656,106994
5/7/2020,85.62,86.9805,88.9369,68.9645,129381
5/6/2020,85.65,87.7837,90.8323,70.6884,53694
5/5/2020,84.27,88.2854,97.4537,69.587,62958
5/4/2020,85.68,89.2225,97.9891,69.7437,75072
5/1/2020,90.72,90.2484,104.117,69.7911,155387
4/30/2020,85.85,91.0352,103.697,69.8291,166159
4/29/2020,85.18,91.6296,102.031,71.1895,147785
4/28/2020,86.62,91.8133,103.473,69.5999,120638
4/27/2020,88.96,92.4858,103.654,69.478,156041
4/24/2020,100.41,93.5483,97.3796,68.5082,492317
4/23/2020,95.7,93.7132,94.8032,68.7187,274293
4/22/2020,84.13,94.4667,100.909,70.5375,74478
4/21/2020,81.48,95.6798,105.231,69.316,86454
4/20/2020,83.11,98.385,106.603,69.411,72199
4/17/2020,84.93,99.5736,107.901,69.421,122186
4/16/2020,87.81,100.4668,110.058,69.5245,125181
4/15/2020,86.02,101.4923,109.058,70.7908,150487
4/14/2020,81.47,102.5668,114.202,69.3253,98702
4/13/2020,87.5,103.9779,113.194,69.0464,133547
4/9/2020,88.5,104.619,113.829,68.9489,138391
4/8/2020,101.683,105.6423,111.939,68.7081,223805
4/7/2020,95.686,105.2281,111.208,70.1405,120080
4/6/2020,103.011,104.8616,109.806,67.5123,133248
4/3/2020,106.197,104.3495,112.707,67.5642,110815
4/2/2020,106.458,103.9628,108.095,66.6613,198111
4/1/2020,97.738,102.684,111.268,68.2214,80673
3/31/2020,88.854,102.2001,113.129,66.6615,59240
3/30/2020,100.07,102.2783,111.08,66.3698,87768
3/27/2020,110.209,101.6057,111.124,66.3042,102994
3/26/2020,103.708,101.6897,114.228,66.3464,69836
3/25/2020,110.77,101.6941,112.669,67.6821,74528
3/24/2020,108.393,100.5223,106.831,65.0245,116787
3/23/2020,135.584,99.7169,102.177,64.1138,145777
3/20/2020,106.881,97.6064,101.231,63.9683,85768
3/19/2020,102.793,96.2665,98.6749,63.7179,91999
3/18/2020,108.321,94.948,101.64,65.173,57457
3/17/2020,107.511,93.1465,94.5025,63.2899,42829
3/16/2020,109.69,90.9112,88.1357,62.4478,68298
3/13/2020,100.324,88.5341,85.8915,62.259,55119
3/12/2020,108.964,86.7478,83.037,61.9671,57082
3/11/2020,93.401,84.4789,89.3132,63.8197,50047
3/10/2020,88.355,83.1869,82.6273,61.9331,33869
3/9/2020,92.769,81.9359,80.1662,61.0483,44756
3/6/2020,98.462,80.5523,81.042,60.4891,122899
3/5/2020,80.882,78.8347,80.3033,60.253,153758
3/4/2020,88.061,77.8116,75.2788,61.4712,86734
3/3/2020,90.417,76.199,80.3601,60.2711,48332
3/2/2020,86.619,74.4984,78.21,60.0574,40515
2/28/2020,111.889,72.3105,71.9891,59.236,102777
2/27/2020,103.795,68.7784,70.0621,59.0935,75906
2/26/2020,87.335,65.582,69.0522,60.3539,34198
2/25/2020,92.286,63.2673,67.3305,58.9614,69069
2/24/2020,93.372,60.7267,61.3336,58.281,71342
2/21/2020,80.084,58.0098,60.3315,58.3081,40931
2/20/2020,76.422,55.8789,57.5741,58.1149,98605
2/19/2020,72.292,53.9183,54.6231,59.2115,94456
2/18/2020,62.806,52.1758,53.0465,57.8951,65200
2/14/2020,62.148,50.8999,53.8604,58.0279,26372
2/13/2020,64.597,49.736,55.322,58.0848,48420
2/12/2020,63.586,48.4319,55.3824,59.5175,28327
2/11/2020,67.561,47.1638,55.5991,58.3406,38282
2/10/2020,63.334,45.6553,55.3785,58.464,28250
2/7/2020,65.098,44.3704,55.8689,58.569,22576
2/6/2020,64.11,43.104,55.1961,58.6393,23807
2/5/2020,60.419,41.8233,53.5041,59.8975,40211
2/4/2020,55.81,40.7722,50.7171,57.9849,48155
2/3/2020,56.405,39.8517,42.3886,57.2117,70797
1/31/2020,42.862,38.9319,41.5208,57.2917,15566
1/30/2020,41.246,38.6808,41.8964,57.413,10339
1/29/2020,39.868,38.5528,41.5947,58.8565,10428
1/28/2020,41.04,38.4389,41.4256,57.6573,8081
1/27/2020,41.474,38.2795,40.5776,57.7371,7008
1/24/2020,39.035,38.0542,39.4627,57.8194,16836
1/23/2020,37.465,37.9762,39.3779,57.9622,7275
1/22/2020,37.21,37.9426,39.2089,59.4492,7323
1/21/2020,37.443,37.9283,38.8603,58.2253,12020
1/17/2020,37.287,37.9123,38.9489,58.3608,10821
1/16/2020,38.871,37.9158,37.7965,58.433,16514
1/15/2020,38.514,37.8263,36.9392,59.719,29707
1/14/2020,38.225,37.764,36.7365,58.461,9062
1/13/2020,37.389,37.8526,36.5111,58.5891,15410
1/10/2020,37.637,38.0788,37.0986,58.7448,8502
1/9/2020,39.77,38.3374,36.4801,58.8102,11998
1/8/2020,38.496,38.4968,40.1719,60.3748,11529
1/7/2020,39.396,38.6917,43.4606,59.0677,39668
1/6/2020,37.402,38.9546,45.3965,58.784,14524
1/3/2020,38.007,40.1059,45.003,58.9282,6535
1/2/2020,37.84,41.4511,45.4761,59.0887,6087
12/31/2019,38.687,42.8843,52.8194,60.6488,3957
12/30/2019,37.591,44.1437,44.6025,59.3512,4106
12/27/2019,37.852,45.2509,45.8417,59.517,6081
12/26/2019,36.968,46.3536,46.2034,59.678,6659
12/24/2019,37.475,47.5084,53.0251,61.3051,2025
12/23/2019,36.793,48.6787,47.1354,60.0253,6726
12/20/2019,36.924,49.9266,47.491,60.1833,8772
12/19/2019,37.123,51.1955,48.3406,60.3651,8328
12/18/2019,37.356,52.3608,54.8664,61.9725,9163
12/17/2019,37.08,53.4313,48.1941,60.6939,4269
12/16/2019,37.27,54.4502,46.698,60.6736,10525
12/13/2019,39.997,55.4674,46.7725,60.8454,11616
12/12/2019,41.911,56.4416,49.2839,61.014,8835
12/11/2019,42.811,57.3356,54.2886,62.6399,14024
12/10/2019,42.958,58.2013,49.3925,61.3012,8524
12/9/2019,42.392,59.0723,50.1454,61.1563,27546
12/6/2019,44.654,60.2099,50.1454,60.9967,49357
12/5/2019,60.43,61.2948,50.1454,61.0025,29986
12/4/2019,64.91,61.4258,50.1454,62.1526,6789
12/3/2019,66.505,61.3149,46.7894,60.8074,6471
12/2/2019,63.874,60.9041,40.6836,60.2625,15686
11/29/2019,59.735,60.2033,43.2751,60.4652,3659
11/27/2019,59.906,59.4865,47.4562,60.6171,8031
11/26/2019,60.063,58.9229,47.7968,61.9792,6281
11/25/2019,60.883,58.4464,49.9429,61.0009,12165
11/22/2019,61.749,57.8913,48.9968,61.0826,24788
11/21/2019,62.303,57.4055,49.5356,61.2419,5316
11/20/2019,60.429,56.8702,49.8772,62.5754,14065
11/19/2019,58.765,56.5866,51.7188,61.5739,5512
11/18/2019,57.46,56.3104,51.7704,61.7287,9053
11/15/2019,57.613,55.969,51.5266,61.8649,18388
11/14/2019,59.481,55.7368,51.4531,62.0683,3566
11/13/2019,59.791,55.3884,52.6278,63.4653,8481
11/12/2019,60.125,55.1407,53.302,62.4311,12945
11/11/2019,60.378,54.6049,53.4071,62.6287,8642
11/8/2019,65.143,53.9077,51.0788,62.5315,10477
11/7/2019,66.354,52.9739,50.618,62.6824,5798
11/6/2019,63.05,52.139,50.5356,62.8673,9360
11/5/2019,62.692,51.4117,47.9004,62.6051,13770
11/4/2019,58.288,50.6478,48.1479,62.8163,6495
11/1/2019,49.858,49.9837,47.8831,63.0003,11049
10/31/2019,45.4,49.953,47.4502,62.982,9381
10/30/2019,48.633,50.112,43.1025,63.909,18126
10/29/2019,50.532,50.2202,42.8867,62.8362,7659
10/28/2019,49.781,50.1396,40.8531,62.7919,18137
10/25/2019,52.034,50.0244,43.1411,63.0094,12017
10/24/2019,51.597,49.9698,42.1119,63.1439,15432
10/23/2019,54.756,49.716,43.0042,64.6149,42299
10/22/2019,53.242,49.284,41.7685,63.2684,19555
10/21/2019,50.632,49.0789,41.1311,63.4559,15043
10/18/2019,52.969,48.645,41.4527,63.6574,17187
10/17/2019,52.513,48.4356,41.837,63.9115,11379
10/16/2019,54.837,48.1423,40.5611,65.3639,38104
10/15/2019,49.409,47.9353,41.3515,64.0985,47154
10/14/2019,46.434,47.9279,41.672,64.3225,14101
10/11/2019,46.468,48.0586,42.8891,64.5634,18566
10/10/2019,49.655,48.145,43.0101,64.8006,25904
10/9/2019,48.504,47.7058,43.1898,66.4258,15053
10/8/2019,47.413,47.8574,44.2045,65.1643,26619
10/7/2019,45.006,48.1884,49.7511,65.3979,20418
10/4/2019,49.246,48.7749,49.8632,65.6506,20292
10/3/2019,48.579,48.8596,48.7336,65.7154,22392
10/2/2019,50.798,49.8717,58.6394,67.3997,11613
10/1/2019,48.919,50.7516,48.9089,66.2412,17773
9/30/2019,47.478,51.7888,48.9169,66.4731,15288
9/27/2019,50.942,52.8951,46.8834,66.475,17831
9/26/2019,46.52,53.8921,47.1845,66.7581,8360
9/25/2019,46.117,55.2292,56.5825,68.3119,16052
9/24/2019,49.139,56.5968,44.9538,67.0087,15701
9/23/2019,41.954,57.638,45.0884,67.3074,7787
9/20/2019,48.782,59.2323,45.1651,67.5302,9829
9/19/2019,46.645,60.3275,45.6482,67.8145,7947
9/18/2019,50.698,61.4957,55.7879,69.5997,15116
9/17/2019,49.262,62.4552,45.1166,68.1623,18397
9/16/2019,49.046,63.5437,45.788,68.4257,16126
9/13/2019,48.197,64.7852,44.7838,68.6031,18152
9/12/2019,40.871,66.4093,44.5215,68.9038,13274
9/11/2019,51.537,68.223,55.9855,70.7497,20038
9/10/2019,54.033,69.4303,44.2971,69.2494,21752
9/9/2019,56.735,70.618,39.0797,68.6307,38322
9/6/2019,50.94,71.7648,39.0797,68.3569,65288
9/5/2019,68.821,73.1961,39.0797,68.372,43184
9/4/2019,68.397,73.7567,39.0797,69.1071,21779
9/3/2019,69.662,74.1826,41.2103,68.7121,18609
8/30/2019,69.605,74.4759,40.813,69.0061,13823
8/29/2019,70.881,74.3493,41.88,69.326,8114
8/28/2019,73.263,73.8735,42.3952,70.3769,11332
8/27/2019,73.468,73.2403,43.011,69.9812,12506
8/26/2019,69.963,72.5221,48.3464,70.3367,10734
8/23/2019,73.84,72.039,49.8523,70.6774,12487
8/22/2019,70.687,71.1005,50.0255,71.02,10757
8/21/2019,70.008,70.1674,49.9578,72.0807,6832
8/20/2019,69.887,69.3011,51.1738,71.7621,5724
8/19/2019,71.032,68.4205,51.0222,72.0689,6790
8/16/2019,73.878,67.5323,52.2458,72.3959,11669
8/15/2019,80.679,66.559,53.7247,72.7716,6400
8/14/2019,77.144,65.2542,53.1245,73.7204,6431
8/13/2019,75.682,64.1368,52.7179,73.2969,6178
8/12/2019,77.787,63.0713,56.0588,73.7051,6377
8/9/2019,79.672,61.8635,56.4815,74.1385,4844
8/8/2019,79.565,60.5171,56.077,74.5237,5914
8/7/2019,80.034,59.2284,54.6562,75.4421,6010
8/6/2019,76.916,57.8978,53.6155,75.0531,4597
8/5/2019,75.527,56.8223,51.7694,75.2134,10752
8/2/2019,67.074,55.8071,51.9957,75.6721,10973
8/1/2019,61.363,55.1646,54.5389,76.0015,9617
7/31/2019,60.6,54.9291,54.153,77.1521,9687
7/30/2019,59.104,54.7601,55.9814,76.8235,10108
7/29/2019,60.301,54.6976,52.4556,76.2858,24123
7/26/2019,55.07,54.6158,52.6326,76.5225,32990
7/25/2019,52.024,54.9025,53.8471,76.9992,21131
7/24/2019,52.684,55.4314,56.5501,78.2317,8967
7/23/2019,52.275,55.8328,63.6939,77.8751,11691
7/22/2019,53.268,56.3762,63.705,78.3746,9097
7/19/2019,54.411,56.687,63.8895,78.6367,15861
7/18/2019,54.583,56.9192,63.0696,78.9146,13015
7/17/2019,54.796,57.2868,63.5704,80.1947,15479
7/16/2019,54.372,57.7155,63.8176,79.9712,12862
7/15/2019,53.632,58.1679,61.8913,79.7634,33083
7/12/2019,52.743,58.736,63.1385,80.3405,26259
7/11/2019,53.791,59.3434,69.3602,80.9755,11791
7/10/2019,53.421,59.9361,72.5356,82.3313,9231
