Time,Open,High,Low,Last,Change,Volume
"03/05/20 18:45",61.75,61.75,61.75,61.75,0.36,250
"03/05/20 17:50",61.39,61.39,61.39,61.39,-0.13,573
"03/05/20 17:00",61.52,61.52,61.52,61.52,0,16556
"03/05/20 16:40",61.4,61.52,61.4,61.52,0,635
"03/05/20 16:30",61.52,61.52,61.52,61.52,0.11000000000001,1852
"03/05/20 16:25",61.41,61.41,61.41,61.41,0,122
"03/05/20 16:15",61.41,61.41,61.41,61.41,-0.48,277
"03/05/20 16:00",61.52,61.89,61.52,61.89,0.37,739525
"03/05/20 15:55",61.38,61.68,61.375,61.52,0.13,342794
"03/05/20 15:50",61.53,61.78,61.33,61.39,-0.13,390219
"03/05/20 15:45",61.53,61.63,61.36,61.52,0,127271
"03/05/20 15:40",61.38,61.56,61.19,61.52,0.15000000000001,87343
"03/05/20 15:35",61.52,61.61,61.36,61.37,-0.16,92374
"03/05/20 15:30",61.16,61.67,61.11,61.53,0.36,95173
"03/05/20 15:25",61.13,61.24,61.02,61.17,0.035000000000004,63378
"03/05/20 15:20",61.15,61.24,61.065,61.135,-0.020000000000003,50710
"03/05/20 15:15",61.1075,61.19,61.04,61.155,0.055,56951
"03/05/20 15:10",61.37,61.43,61.07,61.1,-0.27,87964
"03/05/20 15:05",61.32,61.42,61.29,61.37,0.049999999999997,56620
"03/05/20 15:00",61.44,61.45,61.275,61.32,-0.11,37241
"03/05/20 14:55",61.325,61.5075,61.31,61.43,0.11,29568
"03/05/20 14:50",61.52,61.5899,61.31,61.32,-0.17,54535
"03/05/20 14:45",61.42,61.52,61.37,61.49,0.050000000000004,29612
"03/05/20 14:40",61.48,61.57,61.42,61.44,-0.050000000000004,29479
"03/05/20 14:35",61.26,61.55,61.22,61.49,0.23,38573
"03/05/20 14:30",61.13,61.32,61.13,61.26,0.13,20939
"03/05/20 14:25",61.05,61.22,61.01,61.13,0.060000000000002,40848
"03/05/20 14:20",61.21,61.26,61.07,61.07,-0.15,27908
"03/05/20 14:15",61.39,61.39,61.17,61.22,-0.18,22745
"03/05/20 14:10",61.15,61.449,61.13,61.4,0.22,31586
"03/05/20 14:05",61.08,61.22,61.08,61.18,0.075000000000003,21737
"03/05/20 14:00",61.3,61.3,61.04,61.105,-0.195,32747
"03/05/20 13:55",61.15,61.3475,61.15,61.3,0.14,21657
"03/05/20 13:50",61.225,61.35,61.16,61.16,-0.060000000000002,103693
"03/05/20 13:45",60.91,61.23,60.885,61.22,0.33,29709
"03/05/20 13:40",61.05,61.07,60.89,60.89,-0.18,36478
"03/05/20 13:35",61.065,61.16,61.05,61.07,0.009999999999998,27769
"03/05/20 13:30",61,61.12,60.94,61.06,0.07,33867
