Time,Open,High,Low,Last,Change,Volume
"06/16/17 17:50",86.09,86.09,86.09,86.09,0,402
"06/16/17 16:35",86.1,86.1,86.09,86.09,0.090000000000003,1000
"06/16/17 16:10",86,86,86,86,-0.019999999999996,24260
"06/16/17 16:00",86.09,86.09,86,86.02,0,2532627
"06/16/17 15:55",86.01,86.02,85.86,86.02,9.9999999989109E-5,405491
"06/16/17 15:50",86.1,86.215,85.99,86.0199,-0.080099999999987,191007
"06/16/17 15:45",86.28,86.28,86.08,86.1,-0.18000000000001,180300
"06/16/17 15:40",86.28,86.33,86.2,86.28,0.010000000000005,139089
"06/16/17 15:35",86.12,86.28,86.1,86.27,0.14999999999999,94282
"06/16/17 15:30",86.13,86.135,86,86.12,-0.0137,75986
"06/16/17 15:25",86.15,86.15,86.015,86.1337,-0.021299999999997,66571
"06/16/17 15:20",86.17,86.18,86.15,86.155,-0.015000000000001,35368
"06/16/17 15:15",86.13,86.18,86.08,86.17,0.030000000000001,41048
"06/16/17 15:10",86.23,86.26,86.11,86.14,-0.090000000000003,56060
"06/16/17 15:05",86.21,86.26,86.2,86.23,0.02000000000001,25431
"06/16/17 15:00",86.16,86.22,86.125,86.21,0.049999999999997,36349
"06/16/17 14:55",86.18,86.1842,86.15,86.16,-0.030000000000001,24098
"06/16/17 14:50",86.12,86.19,86.11,86.19,0.075000000000003,20899
"06/16/17 14:45",86.13,86.17,86.1,86.115,-0.015000000000001,23702
"06/16/17 14:40",86.089,86.2,86.08,86.13,0.056399999999996,34709
"06/16/17 14:35",86.24,86.25,86.05,86.0736,-0.1664,40129
"06/16/17 14:30",86.18,86.31,86.17,86.24,0.059999999999988,37361
"06/16/17 14:25",86.26,86.27,86.17,86.18,-0.079999999999998,52102
"06/16/17 14:20",86.15,86.26,86.13,86.26,0.11,27482
"06/16/17 14:15",86.205,86.23,86.14,86.15,-0.059999999999988,20447
"06/16/17 14:10",86.22,86.24,86.17,86.21,-0.010000000000005,25096
"06/16/17 14:05",86.205,86.22,86.17,86.22,0.012500000000003,36634
"06/16/17 14:00",86.25,86.31,86.19,86.2075,-0.052500000000009,16828
"06/16/17 13:55",86.1383,86.26,86.13,86.26,0.1216,19375
"06/16/17 13:50",86.19,86.2125,86.12,86.1384,-0.05149999999999,27305
"06/16/17 13:45",86.24,86.25,86.16,86.1899,-0.0501,23304
"06/16/17 13:40",86.2097,86.26,86.19,86.24,0.020199999999988,19188
"06/16/17 13:35",86.19,86.23,86.18,86.2198,0.021500000000003,16781
"06/16/17 13:30",86.22,86.23,86.13,86.1983,-0.01169999999999,27623
"06/16/17 13:25",86.22,86.25,86.18,86.21,-0.010000000000005,15805
"06/16/17 13:20",86.2925,86.3007,86.2,86.22,-0.070000000000007,18087
"06/16/17 13:15",86.27,86.29,86.2,86.29,0.010000000000005,16629
"06/16/17 13:10",86.42,86.44,86.28,86.28,-0.155,21691
"06/16/17 13:05",86.4,86.4477,86.35,86.435,0.064900000000009,10955
"06/16/17 13:00",86.36,86.4036,86.35,86.3701,0.040099999999995,18164
"06/16/17 12:55",86.465,86.4665,86.3,86.33,-0.12,16785
"06/16/17 12:50",86.4184,86.46,86.4,86.45,0.040000000000006,14016
"06/16/17 12:45",86.44,86.4699,86.4,86.41,-0.03840000000001,17474
"06/16/17 12:40",86.41,86.46,86.39,86.4484,0.03840000000001,17149
"06/16/17 12:35",86.3484,86.41,86.27,86.41,0.060000000000002,37873
"06/16/17 12:30",86.392,86.41,86.28,86.35,-0.050000000000011,21537
"06/16/17 12:25",86.41,86.41,86.34,86.4,-0.019999999999996,19780
"06/16/17 12:20",86.41,86.43,86.3383,86.42,0.0030000000000001,25299
"06/16/17 12:15",86.42,86.444,86.35,86.417,-0.022999999999996,15833
"06/16/17 12:10",86.5,86.5,86.41,86.44,-0.070000000000007,27514
"06/16/17 12:05",86.41,86.56,86.4,86.51,0.10000000000001,32620
"06/16/17 12:00",86.44,86.51,86.37,86.41,-0.040000000000006,32458
"06/16/17 11:55",86.3583,86.46,86.35,86.45,0.079999999999998,22839
"06/16/17 11:50",86.43,86.4626,86.26,86.37,-0.068399999999997,27204
"06/16/17 11:45",86.5284,86.59,86.425,86.4384,-0.081599999999995,25694
"06/16/17 11:40",86.61,86.62,86.49,86.52,-0.080100000000002,37611
"06/16/17 11:35",86.492,86.62,86.44,86.6001,0.098799999999997,35425
"06/16/17 11:30",86.39,86.53,86.38,86.5013,0.12130000000001,32042
"06/16/17 11:25",86.275,86.4,86.18,86.38,0.10499999999999,29563
"06/16/17 11:20",86.11,86.35,86.11,86.275,0.16720000000001,37701
"06/16/17 11:15",86.02,86.1078,86.01,86.1078,0.077799999999996,65199
"06/16/17 11:10",86.0426,86.06,85.97,86.03,-0.011899999999997,40457
"06/16/17 11:05",86.03,86.06,85.91,86.0419,0.041899999999998,40373
"06/16/17 11:00",85.945,86.0247,85.92,86,0.099999999999994,30283
"06/16/17 10:55",85.96,86.06,85.89,85.9,-0.059999999999988,41801
"06/16/17 10:50",86.19,86.235,85.94,85.96,-0.22200000000001,53754
"06/16/17 10:45",86.23,86.35,86.1601,86.182,-0.048000000000002,42869
"06/16/17 10:40",86.26,86.354,86.23,86.23,-0.039999999999992,34939
"06/16/17 10:35",86.16,86.3407,86.15,86.27,0.099999999999994,37660
