Time,Open,High,Low,Last,Change,Volume
"04/11/19 16:35",55.01,55.01,55.01,55.01,-0.34,727
"04/11/19 16:30",55.35,55.35,55.35,55.35,0.3285,2893
"04/11/19 16:25",55.0215,55.0215,55.0215,55.0215,-0.3285,119
"04/11/19 16:05",55.35,55.35,55.35,55.35,0,3995
"04/11/19 16:00",55.35,55.35,55.35,55.35,0,36919
"04/11/19 15:55",55.35,55.38,55.3,55.35,-0.009999999999998,48050
"04/11/19 15:50",55.34,55.39,55.32,55.36,0.030000000000001,31761
"04/11/19 15:45",55.35,55.38,55.31,55.33,-0.020000000000003,16264
"04/11/19 15:40",55.235,55.39,55.235,55.35,0.12,24780
"04/11/19 15:35",55.17,55.27,55.15,55.23,0.049999999999997,14211
"04/11/19 15:30",55.12,55.2,55.12,55.18,0.049999999999997,7253
"04/11/19 15:25",55.3,55.3,55.13,55.13,-0.16999999999999,10896
"04/11/19 15:20",55.305,55.34,55.29,55.3,-0.010000000000005,4500
"04/11/19 15:15",55.31,55.35,55.31,55.31,0.00019999999999953,8612
"04/11/19 15:10",55.31,55.325,55.29,55.3098,-0.00019999999999953,24895
"04/11/19 15:05",55.31,55.32,55.29,55.31,0.0095999999999989,41639
"04/11/19 15:00",55.27,55.31,55.21,55.3004,0.010400000000004,14191
"04/11/19 14:55",55.0932,55.29,55.08,55.29,0.185,10071
"04/11/19 14:50",55.13,55.14,55.09,55.105,-0.040000000000006,6500
"04/11/19 14:45",55.22,55.22,55.13,55.145,-0.074999999999996,4326
"04/11/19 14:40",55.26,55.26,55.22,55.22,-0.050000000000004,2263
"04/11/19 14:35",55.31,55.32,55.27,55.27,0,5400
"04/11/19 14:30",55.25,55.35,55.23,55.27,0.030000000000001,8391
"04/11/19 14:25",55.26,55.29,55.23,55.24,-0.009999999999998,6546
"04/11/19 14:20",55.2,55.27,55.2,55.25,0.052500000000002,4914
"04/11/19 14:15",55.055,55.2,55.055,55.1975,0.1425,9771
"04/11/19 14:10",55.05,55.0799,55.02,55.055,0.0050000000000026,9406
"04/11/19 14:05",55.08,55.08,55.02,55.05,-0.029900000000005,5454
"04/11/19 14:00",55.075,55.1,55.07,55.0799,0.013500000000001,6797
"04/11/19 13:55",55.08,55.1,55.065,55.0664,-0.023600000000002,4147
"04/11/19 13:50",55.11,55.14,55.09,55.09,-0.029999999999994,1902
"04/11/19 13:45",55.1112,55.1492,55.1,55.12,-0.010000000000005,5225
"04/11/19 13:40",55.13,55.13,55.06,55.13,-0.009999999999998,12612
"04/11/19 13:35",55.19,55.215,55.14,55.14,-0.039999999999999,4275
"04/11/19 13:30",55.12,55.18,55.12,55.18,0.060000000000002,5700
"04/11/19 13:25",55.12,55.145,55.09,55.12,-0.039999999999999,3755
"04/11/19 13:20",55.195,55.21,55.15,55.16,-0.040000000000006,7560
"04/11/19 13:15",55.2,55.23,55.05,55.2,-0.019999999999996,13555
"04/11/19 13:10",55.25,55.25,55.21,55.22,-0.039999999999999,5036
"04/11/19 13:05",55.25,55.28,55.25,55.26,-0.039999999999999,3207
"04/11/19 13:00",55.35,55.35,55.3,55.3,-0.049900000000001,4740
"04/11/19 12:55",55.38,55.38,55.33,55.3499,-0.030100000000004,9876
"04/11/19 12:50",55.34,55.38,55.299,55.38,0.020000000000003,5735
"04/11/19 12:45",55.21,55.36,55.21,55.36,0.18,8673
"04/11/19 12:40",55.0307,55.2,55.01,55.18,0.15,10133
"04/11/19 12:35",55.02,55.05,55.015,55.03,0.0042000000000044,8029
"04/11/19 12:30",55.029,55.04,55.01,55.0258,0.010799999999996,4500
"04/11/19 12:25",55.11,55.11,55.0078,55.015,-0.105,5992
"04/11/19 12:20",55.1,55.12,55.06,55.12,0.015000000000001,9659
"04/11/19 12:15",55.0962,55.11,55.08,55.105,0.014999999999993,6513
"04/11/19 12:10",55.1,55.15,55.085,55.09,-0.019999999999996,10683
"04/11/19 12:05",55.09,55.11,55.08,55.11,0.019999999999996,5332
"04/11/19 12:00",55.1,55.1,55.08,55.09,-0.014999999999993,2399
"04/11/19 11:55",55.11,55.15,55.08,55.105,-0.045000000000002,9184
"04/11/19 11:50",55.13,55.2083,55.09,55.15,0.009999999999998,5433
"04/11/19 11:45",55.075,55.15,55.0611,55.14,0.049999999999997,9885
"04/11/19 11:40",55.12,55.13,55.0546,55.09,-0.045599999999993,8215
"04/11/19 11:35",55.2,55.25,55.11,55.1356,-0.059400000000004,10338
"04/11/19 11:30",55.31,55.31,55.19,55.195,-0.125,12617
"04/11/19 11:25",55.41,55.41,55.29,55.32,-0.13,7496
"04/11/19 11:20",55.205,55.45,55.205,55.45,0.25,8983
"04/11/19 11:15",55.19,55.22,55.145,55.2,-0.019999999999996,5723
"04/11/19 11:10",55.47,55.47,55.22,55.22,-0.24,8434
"04/11/19 11:05",55.36,55.5,55.35,55.46,0.11,17932
"04/11/19 11:00",55.3,55.38,55.27,55.35,0.060000000000002,24189
"04/11/19 10:55",55.11,55.29,55.11,55.29,0.16,13316
"04/11/19 10:50",55.15,55.15,55.08,55.13,-0.029999999999994,11495
"04/11/19 10:45",55.27,55.29,55.06,55.16,-0.11000000000001,17977
"04/11/19 10:40",55.29,55.34,55.26,55.27,-0.009999999999998,12961
"04/11/19 10:35",55.21,55.28,55.198,55.28,0.090000000000003,13941
"04/11/19 10:30",55.31,55.34,55.13,55.19,-0.13500000000001,11326
"04/11/19 10:25",55.385,55.4,55.28,55.325,-0.055,8473
"04/11/19 10:20",55.439,55.46,55.22,55.38,-0.039999999999999,9950
"04/11/19 10:15",55.4479,55.52,55.42,55.42,-0.030000000000001,6522
"04/11/19 10:10",55.7,55.7,55.4277,55.45,-0.2104,10045
"04/11/19 10:05",55.77,55.84,55.6604,55.6604,-0.099599999999995,10948
"04/11/19 10:00",55.7672,55.82,55.71,55.76,0.030000000000001,10946
"04/11/19 09:55",55.72,55.7682,55.695,55.73,-0.0199,9170
"04/11/19 09:50",55.8695,56.015,55.63,55.7499,-0.10080000000001,15684
"04/11/19 09:45",55.94,56.01,55.84,55.8507,-0.099299999999999,17235
"04/11/19 09:40",56.1,56.32,55.9493,55.95,-0.15799999999999,25870
"04/11/19 09:35",56.055,56.36,55.91,56.108,0.052999999999997,28205
"04/11/19 09:30",56.09,56.17,56.01,56.055,-0.105,41322
"04/11/19 09:15",56.16,56.16,56.16,56.16,0.16999999999999,100
"04/11/19 09:00",55.99,55.99,55.99,55.99,0,300
"04/11/19 08:55",55.99,55.99,55.99,55.99,-0.1632,100
"04/11/19 08:00",56.1532,56.1532,56.1532,56.1532,-0.0067999999999984,500
"04/10/19 19:30",56.16,56.16,56.16,56.16,0.25,250
"04/10/19 17:00",55.91,55.91,55.91,55.91,0,7360
"04/10/19 16:45",55.91,55.91,55.91,55.91,0.059999999999995,100
"04/10/19 16:15",55.85,55.85,55.85,55.85,-0.059999999999995,185
"04/10/19 16:05",55.91,55.91,55.91,55.91,-0.020000000000003,1631
"04/10/19 16:00",55.91,55.93,55.91,55.93,-0.018999999999998,45809
"04/10/19 15:55",55.93,55.95,55.85,55.949,-0.0010000000000048,65483
"04/10/19 15:50",55.92,55.95,55.85,55.95,0.037100000000002,34387
"04/10/19 15:45",55.99,56,55.86,55.9129,-0.1071,30157
"04/10/19 15:40",55.87,56.08,55.87,56.02,0.14,36620
"04/10/19 15:35",55.89,55.91,55.8596,55.88,0,14352
"04/10/19 15:30",55.84,55.88,55.82,55.88,0.060000000000002,16049
"04/10/19 15:25",55.77,55.9,55.77,55.82,0.049999999999997,10836
"04/10/19 15:20",55.77,55.82,55.76,55.77,0.020000000000003,12669
"04/10/19 15:15",55.795,55.85,55.75,55.75,-0.049999999999997,14728
"04/10/19 15:10",55.78,55.8,55.7241,55.8,0.019999999999996,17600
"04/10/19 15:05",55.72,55.78,55.72,55.78,0.042999999999999,8438
"04/10/19 15:00",55.64,55.76,55.64,55.737,0.096900000000005,10492
"04/10/19 14:55",55.7252,55.74,55.64,55.6401,-0.0824,18776
"04/10/19 14:50",55.65,55.8,55.65,55.7225,0.076499999999996,32136
"04/10/19 14:45",55.59,55.65,55.59,55.646,0.026000000000003,9844
"04/10/19 14:40",55.61,55.63,55.56,55.62,0,6592
"04/10/19 14:35",55.505,55.62,55.45,55.62,0.099999999999994,51828
"04/10/19 14:30",55.26,55.54,55.26,55.52,0.23,14386
"04/10/19 14:25",55.2,55.31,55.18,55.29,0.094999999999999,9538
"04/10/19 14:20",55.2422,55.369,55.12,55.195,-0.094999999999999,10759
"04/10/19 14:15",55.27,55.4,55.24,55.29,0.049999999999997,13821
"04/10/19 14:10",55.38,55.42,55.24,55.24,-0.139,19534
"04/10/19 14:05",55.62,55.66,55.35,55.379,-0.231,29420
"04/10/19 14:00",55.705,55.705,55.59,55.61,-0.094900000000003,7557
"04/10/19 13:55",55.6042,55.72,55.6042,55.7049,0.064900000000002,12730
"04/10/19 13:50",55.65,55.7,55.625,55.64,-0.019999999999996,8768
"04/10/19 13:45",55.56,55.75,55.53,55.66,0.099999999999994,16799
"04/10/19 13:40",55.6,55.68,55.56,55.56,-0.060299999999998,21162
"04/10/19 13:35",55.68,55.75,55.59,55.6203,-0.049700000000001,24430
"04/10/19 13:30",55.99,55.99,55.66,55.67,-0.32,16643
"04/10/19 13:25",55.94,56,55.93,55.99,0.07,4527
"04/10/19 13:20",55.98,56.01,55.91,55.92,-0.046599999999998,26939
"04/10/19 13:15",55.9227,56,55.7504,55.9666,0.016599999999997,85488
"04/10/19 13:10",55.88,56.06,55.85,55.95,0.080000000000005,114401
"04/10/19 13:05",55.99,56.02,55.87,55.87,-0.13,38560
"04/10/19 13:00",56.2,56.2,55.97,56,-0.21,33276
"04/10/19 12:55",56.3278,56.3278,56.185,56.21,-0.12,8703
"04/10/19 12:50",56.17,56.33,56.165,56.33,0.1724,20193
"04/10/19 12:45",56.16,56.17,56.11,56.1576,0.047600000000003,11364
"04/10/19 12:40",56.07,56.19,56.04,56.11,0.075000000000003,18668
"04/10/19 12:35",56.14,56.18,56.02,56.035,-0.1174,24716
"04/10/19 12:30",56.24,56.26,56.13,56.1524,-0.1076,28124
"04/10/19 12:25",56.37,56.37,56.25,56.26,-0.099900000000005,10428
"04/10/19 12:20",56.2211,56.38,56.2211,56.3599,0.16990000000001,22494
"04/10/19 12:15",56.16,56.23,56.16,56.19,0.015000000000001,7492
"04/10/19 12:10",56.26,56.28,56.12,56.175,-0.1096,25584
"04/10/19 12:05",56.34,56.3671,56.26,56.2846,-0.035400000000003,20711
"04/10/19 12:00",56.3325,56.45,56.31,56.32,0.020000000000003,17014
"04/10/19 11:55",56.4,56.44,56.23,56.3,-0.13,28248
"04/10/19 11:50",56.455,56.48,56.36,56.43,-0.040100000000002,15016
"04/10/19 11:45",56.45,56.52,56.35,56.4701,0.020099999999999,22662
"04/10/19 11:40",56.67,56.72,56.45,56.45,-0.2,13905
"04/10/19 11:35",56.49,56.69,56.49,56.65,0.1806,22198
"04/10/19 11:30",56.22,56.5,56.22,56.4694,0.2844,21290
"04/10/19 11:25",56.34,56.3485,56.17,56.185,-0.12739999999999,26608
"04/10/19 11:20",56.415,56.46,56.27,56.3124,-0.077600000000004,25898
"04/10/19 11:15",56.3413,56.45,56.3413,56.39,0.049999999999997,17551
"04/10/19 11:10",56.455,56.48,56.293,56.34,-0.13999999999999,24945
"04/10/19 11:05",56.335,56.55,56.32,56.48,0.15,44363
"04/10/19 11:00",56.42,56.5,56.2739,56.33,-0.0593,27658
"04/10/19 10:55",56.58,56.609,56.23,56.3893,-0.2107,65050
"04/10/19 10:50",56.84,56.84,56.52,56.6,-0.2545,72274
"04/10/19 10:45",56.71,56.86,56.6,56.8545,0.1115,94230
"04/10/19 10:40",56.53,56.8,56.51,56.743,0.193,74415
"04/10/19 10:35",56.305,56.61,56.26,56.55,0.20999999999999,73170
"04/10/19 10:30",56.08,56.41,56.07,56.34,0.2259,141139
"04/10/19 10:25",55.84,56.24,55.81,56.1141,0.2841,114517
"04/10/19 10:20",55.71,55.83,55.58,55.83,0.085000000000001,30727
"04/10/19 10:15",55.49,55.85,55.48,55.745,0.255,38559
"04/10/19 10:10",55.2489,55.58,55.13,55.49,0.27,145373
"04/10/19 10:05",54.88,55.25,54.88,55.22,0.34,142213
"04/10/19 10:00",54.69,54.9254,54.6372,54.88,0.23,21909
"04/10/19 09:55",54.81,54.82,54.53,54.65,-0.16,56737
"04/10/19 09:50",54.67,54.8599,54.57,54.81,0.1495,70144
"04/10/19 09:45",54.3,54.69,54.3,54.6605,0.3255,54870
"04/10/19 09:40",54.11,54.4,54.105,54.335,0.225,29307
"04/10/19 09:35",54.02,54.2,54.02,54.11,0.1625,12010
"04/10/19 09:30",53.8,54.03,53.79,53.9475,0.2475,26927
"04/10/19 08:25",53.7,53.7,53.7,53.7,0.12,100
"04/09/19 17:15",53.58,53.58,53.58,53.58,0,9784
"04/09/19 16:50",53.58,53.58,53.58,53.58,0,1919
"04/09/19 16:05",53.58,53.58,53.58,53.58,0,5192
"04/09/19 16:00",53.58,53.58,53.58,53.58,0,19068
"04/09/19 15:55",53.655,53.655,53.47,53.58,-0.07,141428
"04/09/19 15:50",53.74,53.74,53.65,53.65,-0.1,22990
"04/09/19 15:45",53.7,53.75,53.52,53.75,0.049999999999997,131655
"04/09/19 15:40",53.72,53.72,53.625,53.7,-0.019999999999996,35340
"04/09/19 15:35",53.69,53.76,53.68,53.72,0.030000000000001,67261
"04/09/19 15:30",53.69,53.7,53.62,53.69,-0.010000000000005,10877
"04/09/19 15:25",53.693,53.71,53.66,53.7,0.0042000000000044,11237
"04/09/19 15:20",53.66,53.7,53.66,53.6958,0.022999999999996,5450
"04/09/19 15:15",53.65,53.68,53.65,53.6728,0.029200000000003,5600
"04/09/19 15:10",53.7,53.7,53.6,53.6436,-0.026400000000002,17058
"04/09/19 15:05",53.65,53.7,53.65,53.67,0,5315
"04/09/19 15:00",53.6626,53.74,53.6626,53.67,-0.009999999999998,6028
"04/09/19 14:55",53.66,53.705,53.65,53.68,0.0052000000000021,5829
"04/09/19 14:50",53.69,53.69,53.6601,53.6748,-0.0152,1177
"04/09/19 14:45",53.6793,53.69,53.66,53.69,0.009999999999998,5167
"04/09/19 14:40",53.655,53.7,53.64,53.68,0.039999999999999,10767
"04/09/19 14:35",53.69,53.69,53.64,53.64,-0.048000000000002,17821
"04/09/19 14:30",53.67,53.69,53.65,53.688,0.048000000000002,6775
"04/09/19 14:25",53.6896,53.6896,53.6187,53.64,-0.060000000000002,7684
"04/09/19 14:20",53.685,53.72,53.678,53.7,0.010000000000005,7284
"04/09/19 14:15",53.68,53.71,53.68,53.69,-0.010000000000005,17651
"04/09/19 14:10",53.7,53.72,53.68,53.7,0,20081
"04/09/19 14:05",53.64,53.71,53.62,53.7,0.050000000000004,10925
"04/09/19 14:00",53.6,53.67,53.59,53.65,0.059999999999995,3900
"04/09/19 13:55",53.6497,53.705,53.59,53.59,-0.059999999999995,5801
"04/09/19 13:50",53.595,53.65,53.58,53.65,0.076999999999998,4661
"04/09/19 13:45",53.65,53.66,53.56,53.573,-0.097000000000001,9386
"04/09/19 13:40",53.7,53.72,53.666,53.67,-0.030000000000001,2888
"04/09/19 13:35",53.6827,53.72,53.6827,53.7,-0.0031999999999996,7510
"04/09/19 13:30",53.66,53.72,53.66,53.7032,0.043200000000006,6978
"04/09/19 13:25",53.68,53.72,53.66,53.66,-0.040000000000006,4993
"04/09/19 13:20",53.71,53.71,53.655,53.7,0.012800000000006,3190
"04/09/19 13:15",53.6856,53.77,53.6753,53.6872,0.017199999999995,17410
"04/09/19 13:10",53.81,53.81,53.67,53.67,-0.1425,33305
"04/09/19 13:05",53.885,53.885,53.79,53.8125,-0.087499999999999,7677
"04/09/19 13:00",53.89,53.9,53.845,53.9,0.019999999999996,31388
"04/09/19 12:55",53.89,53.92,53.88,53.88,0.014000000000003,10319
"04/09/19 12:50",53.8798,53.89,53.86,53.866,-0.024000000000001,14311
"04/09/19 12:45",53.84,53.89,53.82,53.89,0.067900000000002,8289
"04/09/19 12:40",53.86,53.86,53.8,53.8221,-0.027900000000002,4073
"04/09/19 12:35",53.82,53.88,53.81,53.85,0.030000000000001,4621
"04/09/19 12:30",53.86,53.865,53.8,53.82,-0.020000000000003,14008
"04/09/19 12:25",53.855,53.88,53.8167,53.84,0.003700000000002,4465
"04/09/19 12:20",53.875,53.875,53.82,53.8363,-0.012999999999998,2647
"04/09/19 12:15",53.89,53.89,53.81,53.8493,-0.020699999999998,11198
"04/09/19 12:10",53.845,53.9,53.76,53.87,0.029999999999994,303102
"04/09/19 12:05",53.855,53.9,53.84,53.84,-0.014099999999999,2100
"04/09/19 12:00",53.83,53.87,53.81,53.8541,0.034100000000002,4374
"04/09/19 11:55",53.82,53.85,53.795,53.82,-0.009999999999998,225713
"04/09/19 11:50",53.955,53.96,53.8,53.83,-0.13,50863
"04/09/19 11:45",53.9552,53.98,53.94,53.96,0.030000000000001,19314
"04/09/19 11:40",53.96,53.96,53.89,53.93,-0.015000000000001,9420
"04/09/19 11:35",53.87,53.96,53.87,53.945,0.085000000000001,7429
"04/09/19 11:30",53.84,53.9,53.7905,53.86,-0.020000000000003,12389
"04/09/19 11:25",53.8207,53.92,53.75,53.88,0,25422
"04/09/19 11:20",53.77,53.89,53.77,53.88,0.1,183317
"04/09/19 11:15",53.92,53.96,53.78,53.78,-0.12,43404
"04/09/19 11:10",53.85,53.95,53.81,53.9,0.1,22770
"04/09/19 11:05",53.78,53.88,53.77,53.8,0.009999999999998,17138
"04/09/19 11:00",53.6694,53.81,53.55,53.79,0.13,532201
"04/09/19 10:55",53.67,53.7521,53.54,53.66,-0.039300000000004,26286
"04/09/19 10:50",53.44,53.77,53.44,53.6993,0.2493,40007
"04/09/19 10:45",53.59,53.59,53.39,53.45,-0.16,12725
"04/09/19 10:40",53.71,53.71,53.61,53.61,-0.115,5600
"04/09/19 10:35",53.73,53.83,53.6928,53.725,-0.019999999999996,13468
"04/09/19 10:30",53.7396,53.745,53.68,53.745,0.024999999999999,7015
"04/09/19 10:25",53.64,53.72,53.61,53.72,0.105,6113
"04/09/19 10:20",53.45,53.65,53.45,53.615,0.175,6123
"04/09/19 10:15",53.565,53.565,53.44,53.44,-0.07,14163
"04/09/19 10:10",53.62,53.62,53.47,53.51,-0.12,7369
"04/09/19 10:05",53.41,53.7,53.41,53.63,0.18,38233
"04/09/19 10:00",53.45,53.66,53.45,53.45,0,134980
"04/09/19 09:55",53.4015,53.52,53.39,53.45,0.055,8654
"04/09/19 09:50",53.54,53.575,53.34,53.395,-0.125,60390
"04/09/19 09:45",53.735,53.79,53.51,53.52,-0.22,55725
"04/09/19 09:40",53.52,53.74,53.42,53.74,0.21,49470
"04/09/19 09:35",53.59,53.75,53.2,53.53,-0.07,57404
"04/09/19 09:30",53.38,53.8,53.2,53.6,-0.21,73690
"04/08/19 16:35",53.81,53.81,53.81,53.81,0,500
"04/08/19 16:05",53.81,53.81,53.81,53.81,0,6511
"04/08/19 16:00",53.81,53.81,53.81,53.81,0,23294
"04/08/19 15:55",53.69,53.81,53.68,53.81,0.13,69003
"04/08/19 15:50",53.68,53.71,53.6381,53.68,0,23971
"04/08/19 15:45",53.59,53.68,53.59,53.68,0.089999999999996,10288
"04/08/19 15:40",53.61,53.65,53.58,53.59,-0.009999999999998,11136
"04/08/19 15:35",53.61,53.62,53.55,53.6,-0.019999999999996,13056
"04/08/19 15:30",53.64,53.66,53.6,53.62,-0.020000000000003,13396
"04/08/19 15:25",53.725,53.73,53.64,53.64,-0.1,10322
"04/08/19 15:20",53.65,53.74,53.65,53.74,0.07,12728
"04/08/19 15:15",53.6,53.69,53.57,53.67,0.050000000000004,10600
"04/08/19 15:10",53.65,53.65,53.61,53.62,-0.030000000000001,1600
