Time,Open,High,Low,Last,Change,Volume
"10/11/19 16:00",3.65,3.65,3.65,3.65,0,520
"10/11/19 15:45",3.65,3.65,3.65,3.65,0,400
"10/11/19 15:35",3.65,3.65,3.65,3.65,-0.01,500
"10/11/19 14:50",3.6601,3.6601,3.66,3.66,-0.02,500
"10/11/19 14:45",3.68,3.68,3.68,3.68,0.0032000000000001,100
"10/11/19 14:35",3.6768,3.6768,3.6768,3.6768,-0.0122,100
"10/11/19 14:20",3.689,3.689,3.689,3.689,0.039,200
"10/11/19 14:15",3.69,3.7,3.65,3.65,-0.04,8717
"10/11/19 14:00",3.685,3.69,3.685,3.69,0,200
"10/11/19 13:55",3.72,3.72,3.69,3.69,-0.04,1000
"10/11/19 13:50",3.68,3.73,3.68,3.73,-0.02,300
"10/11/19 13:45",3.79,3.79,3.75,3.75,-0.051,1297
"10/11/19 13:35",3.801,3.801,3.801,3.801,-0.019,442
"10/11/19 13:25",3.8105,3.82,3.8,3.82,-0.01,400
"10/11/19 13:20",3.83,3.83,3.83,3.83,0.02,100
"10/11/19 12:50",3.81,3.81,3.81,3.81,0,200
"10/11/19 12:40",3.84,3.84,3.81,3.81,0.01,600
"10/11/19 12:35",3.8,3.8,3.8,3.8,0.0116,100
"10/11/19 12:30",3.7884,3.7884,3.7884,3.7884,-0.0116,225
"10/11/19 12:25",3.8,3.8,3.8,3.8,0,1055
"10/11/19 12:20",3.8,3.8,3.8,3.8,0.0288,500
"10/11/19 12:15",3.79,3.79,3.7712,3.7712,0.0212,200
"10/11/19 12:10",3.79,3.8,3.75,3.75,0.0099999999999998,1800
"10/11/19 12:00",3.74,3.74,3.74,3.74,0.03,100
"10/11/19 11:50",3.71,3.71,3.71,3.71,0.04,100
"10/11/19 11:45",4.08,4.12,3.67,3.67,-0.4,10833
"10/10/19 16:00",4.07,4.07,4.07,4.07,-0.0105,135
"10/10/19 15:50",4.09,4.09,4.0805,4.0805,0.0105,200
"10/10/19 14:00",4.07,4.07,4.07,4.07,-0.11,100
"10/10/19 13:55",4.3425,4.3425,4.18,4.18,-0.1,1000
"10/10/19 12:40",4.28,4.28,4.28,4.28,-0.08,600
"10/10/19 12:25",4.36,4.36,4.36,4.36,0.04,100
"10/10/19 11:45",4.32,4.32,4.32,4.32,0.06,999
"10/10/19 11:35",4.25,4.26,4.25,4.26,-0.13,400
"10/10/19 11:30",4.39,4.39,4.39,4.39,-0.02,200
"10/10/19 11:25",4.39,4.41,4.38,4.41,0.04,700
"10/10/19 11:20",4.38,4.38,4.37,4.37,0.09,500
"10/10/19 11:15",4.21,4.28,4.21,4.28,0.05,2138
"10/10/19 11:10",4.2,4.23,4.19,4.23,0.010000000000001,500
"10/10/19 11:05",4.21,4.22,4.21,4.22,0.02,621
"10/10/19 11:00",4.22,4.22,4.2,4.2,0.08,500
"10/10/19 10:55",4.12,4.12,4.08,4.12,0.06,1300
"10/10/19 10:45",4.06,4.06,4.06,4.06,-0.19,100
"10/10/19 10:35",4.25,4.25,4.25,4.25,0.2,100
"10/10/19 10:25",4.06,4.09,4.05,4.05,0.05,939
"10/10/19 10:20",4.05,4.05,4,4,-0.045,400
"10/10/19 10:15",4.58,4.58,4.045,4.045,-0.795,9063
"10/10/19 09:55",4.84,4.84,4.84,4.84,-0.0887,293
"10/10/19 09:45",4.9287,4.9287,4.9287,4.9287,-0.0413,2000
"10/10/19 09:30",4.97,4.97,4.97,4.97,0.71,100
"10/09/19 15:55",4.26,4.26,4.26,4.26,-0.012700000000001,100
"10/09/19 15:40",4.325,4.325,4.2727,4.2727,0.0227,200
"10/09/19 14:35",4.43,4.435,4.25,4.25,-0.0952,450
"10/09/19 14:20",4.3452,4.3452,4.3452,4.3452,-0.0748,1200
"10/09/19 13:15",4.44,4.46,4.35,4.42,-0.08,1080
"10/09/19 12:55",4.5,4.5,4.5,4.5,-0.0049999999999999,100
"10/09/19 12:50",4.505,4.505,4.505,4.505,0.0868,100
"10/09/19 12:40",4.3682,4.4182,4.3682,4.4182,0.053199999999999,3558
"10/09/19 12:35",4.34,4.365,4.34,4.365,-0.024999999999999,1600
"10/09/19 12:15",4.39,4.39,4.39,4.39,0.06,200
"10/09/19 12:10",4.33,4.33,4.33,4.33,0,1004
"10/09/19 11:45",4.33,4.33,4.33,4.33,0.08,144
"10/09/19 11:15",4.25,4.25,4.25,4.25,0,823
"10/09/19 10:50",4.25,4.25,4.25,4.25,-0.04,500
"10/09/19 10:05",4.29,4.29,4.29,4.29,0.09,200
"10/09/19 10:00",4.2,4.2,4.2,4.2,0,100
"10/09/19 09:45",4.2,4.2,4.2,4.2,0,200
"10/09/19 09:40",4.2,4.2,4.2,4.2,0,100
"10/09/19 09:35",4.2,4.2,4.2,4.2,0.05,100
"10/09/19 09:30",4.15,4.15,4.15,4.15,0.032100000000001,338
"10/08/19 15:40",4.1179,4.1179,4.1179,4.1179,-0.0621,1000
"10/08/19 14:05",4.18,4.18,4.18,4.18,0.165,100
"10/08/19 12:55",4.2,4.2,4.015,4.015,-0.085,450
"10/08/19 12:00",4.1,4.1,4.1,4.1,-0.13,400
"10/08/19 11:55",4.28,4.28,4.23,4.23,0.010000000000001,600
"10/08/19 11:30",4.22,4.22,4.22,4.22,0.12,100
"10/08/19 11:25",4.1,4.1,4.1,4.1,-0.03,300
"10/08/19 10:45",4.1,4.13,4.1,4.13,0.024999999999999,600
"10/08/19 10:40",4.241,4.241,4.04,4.105,-0.0099999999999998,1900
"10/08/19 10:35",4.115,4.115,4.115,4.115,-0.125,300
"10/08/19 10:15",4.24,4.24,4.24,4.24,0.03,100
"10/08/19 09:35",4.21,4.21,4.21,4.21,0.19,100
"10/07/19 16:00",4.02,4.02,4.02,4.02,-0.13,227
"10/07/19 15:55",4.15,4.15,4.15,4.15,0.06,200
"10/07/19 15:50",4.09,4.09,4.09,4.09,-0.06,131
"10/07/19 15:45",4.15,4.15,4.15,4.15,0.0629,100
"10/07/19 15:40",4.0871,4.0871,4.0871,4.0871,-0.012899999999999,220
"10/07/19 15:25",4.09,4.1,4.09,4.1,0.02,200
"10/07/19 15:20",4.07,4.08,4.07,4.08,-0.02,400
"10/07/19 14:55",4.1,4.1,4.1,4.1,0.09,200
"10/07/19 14:35",4.15,4.15,4.01,4.01,-0.1795,1000
"10/07/19 14:25",4.18,4.1895,4.18,4.1895,-0.0605,222
"10/07/19 14:05",4.25,4.25,4.25,4.25,-0.08,100
"10/07/19 13:10",4.33,4.33,4.33,4.33,0.02,200
"10/07/19 12:05",4.31,4.31,4.31,4.31,0.23,100
"10/07/19 12:00",4.08,4.08,4.08,4.08,-0.19,100
"10/07/19 11:55",4.21,4.27,4.21,4.27,0.0829,300
"10/07/19 11:25",4.1871,4.1871,4.1871,4.1871,0.0771,220
"10/04/19 16:00",4.11,4.11,4.11,4.11,0.010000000000001,210
"10/04/19 14:40",4.1,4.1,4.1,4.1,-0.1,100
"10/04/19 14:35",4.2,4.2,4.2,4.2,-0.0099999999999998,500
"10/04/19 14:30",4.2101,4.2101,4.21,4.21,-0.035,200
"10/04/19 13:45",4.3,4.3,4.245,4.245,-0.055,1310
"10/04/19 13:40",4.3,4.3,4.3,4.3,0.0582,100
"10/04/19 13:35",4.1532,4.289,4.145,4.2418,0.0943,5790
"10/04/19 13:30",4.16,4.18,4.145,4.1475,-0.0025000000000004,1000
"10/04/19 13:25",4.16,4.16,4.15,4.15,-0.0099999999999998,800
"10/04/19 13:20",4.18,4.18,4.135,4.16,-0.02,2205
"10/04/19 13:00",4.18,4.18,4.18,4.18,0.0748,100
"10/04/19 12:45",4.1052,4.1052,4.1052,4.1052,0.0167,100
"10/04/19 12:30",4.0885,4.0885,4.0885,4.0885,-9.9999999999767E-5,200
"10/04/19 11:35",4.0886,4.0886,4.0886,4.0886,-0.0316,200
"10/04/19 11:20",4.1202,4.1202,4.1202,4.1202,-0.029800000000001,100
"10/04/19 11:15",4.15,4.15,4.15,4.15,0.0020000000000007,100
"10/04/19 11:10",4.148,4.148,4.148,4.148,0.077999999999999,500
"10/04/19 10:35",3.98,4.07,3.98,4.07,0.07,4669
"10/04/19 10:30",3.86,4,3.85,4,0,9146
"10/04/19 10:25",3.86,4,3.85,4,0.24,4589
"10/04/19 09:30",3.76,3.76,3.76,3.76,0.1,200
"10/03/19 14:30",3.84,3.84,3.66,3.66,-0.16,900
"10/03/19 12:05",3.82,3.82,3.82,3.82,-0.04,100
