Time,Open,High,Low,Last,Change,Volume
"03/13/20 19:55",14.26,14.26,14.26,14.26,0,100
"03/13/20 19:05",14.26,14.26,14.26,14.26,-0.23,150
"03/13/20 18:45",14.49,14.49,14.49,14.49,0.49,100
"03/13/20 18:30",14,14,14,14,-0.0099999999999998,0
"03/13/20 17:40",14.01,14.01,14.01,14.01,-0.49,5021
"03/13/20 17:10",14.5,14.5,14.5,14.5,0.15,2000
"03/13/20 16:25",14.35,14.35,14.35,14.35,0.35,300
"03/13/20 16:10",14,14,14,14,0,0
"03/13/20 16:00",14,14,14,14,0.02,79102
"03/13/20 15:55",13.95,14.09,13.9,13.98,0.040000000000001,121686
"03/13/20 15:50",13.81,13.96,13.7924,13.94,0.1395,47764
"03/13/20 15:45",13.8399,13.84,13.78,13.8005,0.00049999999999883,53130
"03/13/20 15:40",13.785,13.87,13.78,13.8,0.010000000000002,42726
"03/13/20 15:35",13.71,13.8,13.65,13.79,0.079999999999998,32841
"03/13/20 15:30",13.77,13.8,13.709,13.71,-0.0588,59583
"03/13/20 15:25",13.76,13.8,13.7101,13.7688,-0.001199999999999,27815
"03/13/20 15:20",13.78,13.79,13.72,13.77,-0.0099999999999998,22960
"03/13/20 15:15",13.79,13.85,13.7601,13.78,-0.020000000000001,26555
"03/13/20 15:10",13.88,13.96,13.79,13.8,-0.08,14260
"03/13/20 15:05",13.84,13.95,13.84,13.88,0.050000000000001,14310
"03/13/20 15:00",13.9682,13.98,13.71,13.83,-0.11,54676
"03/13/20 14:55",13.81,13.97,13.81,13.94,0.115,8316
"03/13/20 14:50",13.85,13.88,13.7604,13.825,-0.015000000000001,13011
"03/13/20 14:45",13.82,13.91,13.8,13.84,0.039999999999999,17637
"03/13/20 14:40",13.9,13.9,13.76,13.8,-0.1,20737
"03/13/20 14:35",13.94,13.95,13.9,13.9,-0.0343,9281
"03/13/20 14:30",13.9128,13.95,13.9,13.9343,-0.013299999999999,7698
"03/13/20 14:25",13.91,13.9496,13.89,13.9476,0.033999999999999,9752
"03/13/20 14:20",13.94,13.97,13.85,13.9136,-0.051399999999999,5256
"03/13/20 14:15",13.93,13.99,13.93,13.965,0.029999999999999,8861
"03/13/20 14:10",13.95,13.95,13.915,13.935,-0.0151,3906
"03/13/20 14:05",14.035,14.05,13.95,13.9501,-0.088899999999999,8867
"03/13/20 14:00",14.02,14.06,14,14.039,-0.0060000000000002,10950
"03/13/20 13:55",14.0501,14.0899,14.02,14.045,-0.025,11511
"03/13/20 13:50",14.01,14.0776,14,14.07,0.045,12812
"03/13/20 13:45",13.98,14.1162,13.98,14.025,0.045,15080
"03/13/20 13:40",14.06,14.1,13.951,13.98,-0.08,9289
"03/13/20 13:35",14.15,14.15,14.05,14.06,-0.094999999999999,13005
"03/13/20 13:30",14.1096,14.19,14.08,14.155,0.045,28462
"03/13/20 13:25",14.01,14.11,14.0001,14.11,0.115,10756
"03/13/20 13:20",14.015,14.0521,13.97,13.995,-0.0050000000000008,14464
"03/13/20 13:15",13.905,14.035,13.905,14,0.095000000000001,17958
"03/13/20 13:10",13.915,13.9317,13.885,13.905,-0.015000000000001,7784
"03/13/20 13:05",13.88,13.9515,13.865,13.92,0.06,4354
"03/13/20 13:00",13.87,13.9,13.825,13.86,0.0099,16246
"03/13/20 12:55",13.95,13.95,13.8501,13.8501,-0.0999,9455
"03/13/20 12:50",13.9301,13.98,13.91,13.95,0.039999999999999,18325
"03/13/20 12:45",14,14.03,13.91,13.91,-0.09,17464
"03/13/20 12:40",13.905,14.005,13.88,14,0.095000000000001,10480
"03/13/20 12:35",13.9061,13.94,13.86,13.905,-0.0283,10021
"03/13/20 12:30",13.775,13.9333,13.77,13.9333,0.1633,13257
"03/13/20 12:25",13.84,13.894,13.7235,13.77,-0.0276,14104
"03/13/20 12:20",13.83,13.8494,13.79,13.7976,-0.032400000000001,10836
"03/13/20 12:15",13.72,13.84,13.7,13.83,0.09,28874
"03/13/20 12:10",13.72,13.75,13.69,13.74,0.050000000000001,32765
"03/13/20 12:05",13.605,13.82,13.58,13.69,0.084999999999999,40429
"03/13/20 12:00",13.9101,13.95,13.52,13.605,-0.375,17181
"03/13/20 11:55",13.76,13.99,13.76,13.98,0.22,9400
"03/13/20 11:50",13.74,13.82,13.69,13.76,0.004999999999999,38384
"03/13/20 11:45",13.62,13.76,13.6152,13.755,0.135,33903
"03/13/20 11:40",13.68,13.7,13.6,13.62,-0.07,22027
"03/13/20 11:35",13.61,13.72,13.6,13.69,0.07,22846
"03/13/20 11:30",14.03,14.03,13.6,13.62,-0.435,44432
"03/13/20 11:25",14.19,14.21,14.05,14.055,-0.136,21632
"03/13/20 11:20",14.23,14.2312,14.07,14.191,-0.039,36810
"03/13/20 11:15",14.67,14.6739,14.2,14.23,-0.45,31085
"03/13/20 11:10",14.6559,14.72,14.62,14.68,0.02,19005
"03/13/20 11:05",14.39,14.74,14.38,14.66,0.28,46381
"03/13/20 11:00",14.445,14.445,14.33,14.38,-0.12,42250
"03/13/20 10:55",15.035,15.035,14.5,14.5,-0.53,37688
"03/13/20 10:50",15.06,15.06,15.02,15.03,-0.030000000000001,42778
"03/13/20 10:45",14.966,15.12,14.966,15.06,0.08,40964
"03/13/20 10:40",14.805,14.98,14.8,14.98,0.17,39112
