Time,Open,High,Low,Last,Change,Volume
"07/14/20 04:00",169.24,169.3,169.24,169.3,-0.099999999999994,500
"07/13/20 20:00",169.4,169.4,169.4,169.4,0,0
"07/13/20 19:55",169.38,169.4,169.38,169.4,0.080000000000013,200
"07/13/20 19:45",169.32,169.32,169.32,169.32,-0.060000000000002,600
"07/13/20 19:40",169.31,169.38,169.31,169.38,0.090000000000003,310
"07/13/20 19:30",169.33,169.33,169.29,169.29,-0.010000000000019,200
"07/13/20 19:15",169.49,169.52,169.3,169.3,-0.039999999999992,324
"07/13/20 19:10",169.45,169.45,169.34,169.34,0.0099999999999909,800
"07/13/20 19:05",169.33,169.33,169.33,169.33,-0.069999999999993,190
"07/13/20 18:30",169.4,169.4,169.4,169.4,0.02000000000001,0
"07/13/20 18:25",169.38,169.38,169.38,169.38,-0.069999999999993,200
"07/13/20 18:20",169.4,169.45,169.4,169.45,0.099999999999994,500
"07/13/20 18:10",169.35,169.35,169.35,169.35,-0.050000000000011,200
"07/13/20 18:05",169.4,169.4,169.4,169.4,0.099999999999994,826
"07/13/20 18:00",169.4499,169.4499,169.3,169.3,-0.099999999999994,800
"07/13/20 17:55",169.4,169.4,169.4,169.4,0.046199999999999,439
"07/13/20 17:50",169.3538,169.3538,169.3538,169.3538,0.013599999999997,100
"07/13/20 17:25",169.3402,169.3402,169.3402,169.3402,0.020200000000017,190
"07/13/20 17:20",169.32,169.32,169.32,169.32,-0.069999999999993,176
"07/13/20 17:15",169.39,169.39,169.39,169.39,0.029999999999973,1000
"07/13/20 16:50",169.34,169.36,169.34,169.36,-0.029999999999973,1300
"07/13/20 16:45",169.39,169.42,169.37,169.39,0.0098999999999876,697
"07/13/20 16:40",169.4,169.4,169.3801,169.3801,-0.029899999999998,300
"07/13/20 16:35",169.41,169.41,169.41,169.41,-0.069999999999993,400
"07/13/20 16:30",169.53,169.53,169.44,169.48,-0.070000000000022,2917
"07/13/20 16:25",169.52,169.55,169.52,169.55,0.04000000000002,5899
"07/13/20 16:20",169.42,169.52,169.42,169.51,0.060000000000002,1599
"07/13/20 16:15",169.42,169.45,169.42,169.45,0.060000000000002,3984
"07/13/20 16:10",169.4,169.4,169.38,169.39,0.039999999999992,296
"07/13/20 16:05",169.28,169.4,169.28,169.35,0.019999999999982,9402
"07/13/20 16:00",169.4,169.4,169.33,169.33,-0.024999999999977,664377
"07/13/20 15:55",169.24,169.3999,169.24,169.355,0.10499999999999,345471
"07/13/20 15:50",169.21,169.36,169.16,169.25,0.044199999999989,234383
"07/13/20 15:45",169.35,169.4,169.2,169.2058,-0.14419999999998,132813
"07/13/20 15:40",169.31,169.51,169.31,169.35,0.039999999999992,149294
"07/13/20 15:35",169.29,169.45,169.29,169.31,0.02000000000001,152592
"07/13/20 15:30",169.4,169.55,169.2501,169.29,-0.11000000000001,146416
"07/13/20 15:25",169.37,169.46,169.32,169.4,0.02000000000001,108493
"07/13/20 15:20",169.385,169.52,169.37,169.38,-0.0099999999999909,94309
"07/13/20 15:15",169.53,169.58,169.38,169.39,-0.17000000000002,149970
"07/13/20 15:10",169.47,169.613,169.44,169.56,0.071100000000001,84680
"07/13/20 15:05",169.61,169.645,169.435,169.4889,-0.12110000000001,163189
"07/13/20 15:00",169.94,169.94,169.605,169.61,-0.33499999999998,188638
"07/13/20 14:55",169.95,169.9896,169.92,169.945,-0.0049999999999955,85342
"07/13/20 14:50",169.865,169.96,169.85,169.95,0.074999999999989,198684
"07/13/20 14:45",169.775,169.89,169.715,169.875,0.10499999999999,65321
"07/13/20 14:40",169.7799,169.84,169.74,169.77,-0.0099999999999909,46173
"07/13/20 14:35",169.64,169.79,169.61,169.78,0.14000000000001,65722
"07/13/20 14:30",169.88,169.94,169.63,169.64,-0.24000000000001,79826
"07/13/20 14:25",170,170.02,169.845,169.88,-0.13,92853
