Time,Open,High,Low,Last,Change,Volume
"07/15/20 17:15",59.05,59.05,59.05,59.05,0,100
"07/15/20 17:10",59.05,59.05,59.05,59.05,0.009999999999998,1290
"07/15/20 17:00",59.04,59.04,59.04,59.04,-0.039999999999999,435
"07/15/20 16:45",59.09,59.15,59.05,59.08,0.049999999999997,6017
"07/15/20 16:35",59,59.03,59,59.03,0.020000000000003,375100
"07/15/20 16:25",59.01,59.01,59.01,59.01,-0.020000000000003,100
"07/15/20 16:15",59.03,59.03,59.03,59.03,0,1519
"07/15/20 16:05",59.03,59.03,59.03,59.03,0.009999999999998,202
"07/15/20 16:00",59.03,59.03,59.02,59.02,-0.009999999999998,3666830
"07/15/20 15:55",58.86,59.04,58.845,59.03,0.18,904473
"07/15/20 15:50",59.05,59.06,58.605,58.85,-0.2,1069400
"07/15/20 15:45",59.01,59.07,58.99,59.05,0.049999999999997,342069
"07/15/20 15:40",59.04,59.05,58.96,59,-0.049999999999997,149944
"07/15/20 15:35",59.065,59.11,59.01,59.05,-0.014000000000003,123862
"07/15/20 15:30",59.015,59.12,59.005,59.064,0.048999999999999,155389
"07/15/20 15:25",58.88,59.015,58.78,59.015,0.145,188880
"07/15/20 15:20",58.85,58.9,58.83,58.87,0.015000000000001,138073
"07/15/20 15:15",58.72,58.86,58.66,58.855,0.13999999999999,186069
"07/15/20 15:10",58.83,58.83,58.71,58.715,-0.11499999999999,203228
"07/15/20 15:05",58.9,58.9,58.74,58.83,-0.060000000000002,160061
"07/15/20 15:00",58.85,58.94,58.82,58.89,0.035000000000004,152388
"07/15/20 14:55",58.89,58.94,58.84,58.855,-0.045000000000002,88525
"07/15/20 14:50",59.06,59.065,58.89,58.9,-0.165,164149
"07/15/20 14:45",59.05,59.07,59.01,59.065,0.019999999999996,125782
"07/15/20 14:40",59.11,59.13,59,59.045,-0.064999999999998,119141
"07/15/20 14:35",59.155,59.155,59.05,59.11,-0.039999999999999,111589
"07/15/20 14:30",59.08,59.17,59.08,59.15,0.07,96870
"07/15/20 14:25",59.045,59.1218,58.99,59.08,0.034999999999997,113019
"07/15/20 14:20",59.07,59.09,58.98,59.045,-0.021000000000001,101107
"07/15/20 14:15",59.15,59.155,59.04,59.066,-0.083999999999996,121302
"07/15/20 14:10",59.19,59.2,59.14,59.15,-0.020000000000003,47176
"07/15/20 14:05",59.215,59.265,59.16,59.17,-0.049999999999997,156358
"07/15/20 14:00",58.91,59.23,58.85,59.22,0.305,312388
"07/15/20 13:55",58.985,59.01,58.9,58.915,-0.075000000000003,93673
"07/15/20 13:50",58.96,59.05,58.96,58.99,0.030000000000001,212572
"07/15/20 13:45",59.02,59.07,58.96,58.96,-0.049999999999997,88823
"07/15/20 13:40",59.01,59.07,59.01,59.01,-0.0050000000000026,83281
"07/15/20 13:35",59.01,59.07,59,59.015,0,96631
"07/15/20 13:30",59.01,59.04,58.97,59.015,0,155445
"07/15/20 13:25",58.97,59.015,58.91,59.015,0.055,115445
"07/15/20 13:20",58.97,59,58.95,58.96,0,76442
"07/15/20 13:15",58.895,58.98,58.895,58.96,0.064999999999998,56735
"07/15/20 13:10",58.96,58.99,58.87,58.895,-0.064999999999998,94633
"07/15/20 13:05",58.84,58.97,58.8,58.96,0.12,127988
"07/15/20 13:00",58.895,58.92,58.78,58.84,-0.049999999999997,88733
"07/15/20 12:55",58.83,58.91,58.811,58.89,0.049999999999997,46549
"07/15/20 12:50",58.805,58.85,58.79,58.84,0.040000000000006,51403
"07/15/20 12:45",58.75,58.86,58.72,58.8,0.039999999999999,86284
"07/15/20 12:40",58.66,58.775,58.63,58.76,0.1,79120
"07/15/20 12:35",58.66,58.765,58.63,58.66,-0.010000000000005,123872
"07/15/20 12:30",58.715,58.73,58.58,58.67,-0.039999999999999,183203
"07/15/20 12:25",58.65,58.74,58.64,58.71,0.060000000000002,104922
"07/15/20 12:20",58.73,58.78,58.63,58.65,-0.090000000000003,186480
"07/15/20 12:15",58.625,58.75,58.62,58.74,0.115,141548
"07/15/20 12:10",58.57,58.625,58.45,58.625,0.049700000000001,109554
"07/15/20 12:05",58.4499,58.62,58.4499,58.5753,0.1353,145756
"07/15/20 12:00",58.61,58.67,58.42,58.44,-0.17,274674
"07/15/20 11:55",58.94,58.945,58.61,58.61,-0.34,158192
"07/15/20 11:50",58.8705,58.95,58.87,58.95,0.080000000000005,101581
"07/15/20 11:45",58.91,58.92,58.82,58.87,-0.039999999999999,175006
"07/15/20 11:40",58.835,58.98,58.79,58.91,0.069999999999993,257119
"07/15/20 11:35",59.04,59.05,58.83,58.84,-0.2,101446
"07/15/20 11:30",58.995,59.07,58.995,59.04,0.049999999999997,106466
"07/15/20 11:25",58.88,59.07,58.865,58.99,0.104,170207
"07/15/20 11:20",58.77,58.886,58.69,58.886,0.106,206705
"07/15/20 11:15",58.775,58.83,58.71,58.78,0.0050000000000026,145542
"07/15/20 11:10",58.725,58.79,58.66,58.775,0.055,105448
"07/15/20 11:05",58.89,58.92,58.66,58.72,-0.17,244177
"07/15/20 11:00",59.115,59.17,58.86,58.89,-0.225,178001
"07/15/20 10:55",59.14,59.195,59.09,59.115,-0.034999999999997,114008
"07/15/20 10:50",59.16,59.24,59.15,59.15,0,115066
"07/15/20 10:45",59.08,59.155,59.07,59.15,0.077799999999996,108915
"07/15/20 10:40",59.03,59.1,59,59.0722,0.052199999999999,102894
"07/15/20 10:35",59,59.05,58.965,59.02,0.028500000000001,70138
"07/15/20 10:30",59.05,59.08,58.94,58.9915,-0.058499999999995,133991
"07/15/20 10:25",58.9037,59.05,58.9,59.05,0.1499,124502
"07/15/20 10:20",58.75,58.92,58.695,58.9001,0.1601,107451
"07/15/20 10:15",58.63,58.741,58.58,58.74,0.11,128548
"07/15/20 10:10",58.78,58.78,58.59,58.63,-0.15,132207
"07/15/20 10:05",58.7,58.815,58.635,58.78,0.1,206847
"07/15/20 10:00",58.79,58.84,58.6,58.68,-0.1,254524
"07/15/20 09:55",58.91,59.01,58.735,58.78,-0.1199,213354
