Time,Open,High,Low,Last,Change,Volume
"12/07/18 19:45",18.96,18.96,18.96,18.96,0.16,300
"12/07/18 19:40",18.8,18.8,18.8,18.8,-0.15,1200
"12/07/18 19:35",18.95,18.95,18.95,18.95,-0.050000000000001,100
"12/07/18 19:05",19,19,19,19,0,359
"12/07/18 19:00",19,19,19,19,0.16,500
"12/07/18 18:40",18.98,18.98,18.84,18.84,-0.14,200
"12/07/18 18:25",18.94,19.01,18.94,18.98,0.039999999999999,678
"12/07/18 18:00",18.9,18.94,18.9,18.94,-0.039999999999999,500
"12/07/18 17:55",18.55,18.98,18.55,18.98,0.38,2729
"12/07/18 17:50",18.8,18.8,18.6,18.6,-0.2,1839
"12/07/18 17:45",18.8,18.8,18.8,18.8,-0.050000000000001,1225
"12/07/18 17:40",18.8,18.85,18.8,18.85,0.050000000000001,420
"12/07/18 17:30",18.75,18.8,18.75,18.8,0.050000000000001,320
"12/07/18 17:25",18.75,18.75,18.75,18.75,0.030000000000001,700
"12/07/18 17:20",18.75,18.75,18.72,18.72,-0.030000000000001,300
"12/07/18 17:15",18.75,18.75,18.75,18.75,0,600
"12/07/18 17:10",18.7,18.75,18.7,18.75,0.030000000000001,1100
"12/07/18 17:05",18.72,18.72,18.72,18.72,0.07,440
"12/07/18 16:45",18.7,18.7,18.65,18.65,-0.050000000000001,370
"12/07/18 16:40",18.65,18.72,18.65,18.7,0.059999999999999,2356
"12/07/18 16:35",18.6,18.64,18.6,18.64,0.039999999999999,530
"12/07/18 16:30",18.55,18.6,18.55,18.6,0.050000000000001,2343
"12/07/18 16:25",18.52,18.55,18.52,18.55,0.030000000000001,5973
"12/07/18 16:20",18.52,18.52,18.52,18.52,0.02,525
"12/07/18 16:15",18.56,18.56,18.4,18.5,-0.02,8400
"12/07/18 16:10",18.63,18.63,18.52,18.52,-0.23,1473
"12/07/18 16:05",18.7,18.75,18.49,18.75,0.15,2650
"12/07/18 16:00",18.6,18.61,18.6,18.6,-0.15,146939
"12/07/18 15:55",18.74,18.99,18.55,18.75,0.010000000000002,538547
"12/07/18 15:50",18.77,19.1899,18.51,18.74,-0.060000000000002,347680
"12/07/18 15:45",19.085,19.19,18.75,18.8,-0.29,552330
"12/07/18 15:40",19.6,19.61,19.05,19.09,-0.52,320674
"12/07/18 15:35",19.64,19.83,19.55,19.61,-0.0029000000000003,165402
