Time,Open,High,Low,Last,Change,Volume
"08/06/19 19:55",3.08,3.08,3.08,3.08,0,2177
"08/06/19 19:40",3.08,3.08,3.08,3.08,0,12662
"08/06/19 19:35",3.08,3.08,3.08,3.08,0.01,3000
"08/06/19 19:10",3.07,3.07,3.07,3.07,-0.01,3769
"08/06/19 19:05",3.07,3.08,3.07,3.08,0.02,1144
"08/06/19 19:00",3.07,3.07,3.06,3.06,-0.0099999999999998,300
"08/06/19 18:35",3.07,3.07,3.07,3.07,0.0099999999999998,433
"08/06/19 18:30",3.06,3.06,3.06,3.06,-0.0099999999999998,500
"08/06/19 17:55",3.07,3.07,3.07,3.07,-0.01,1000
"08/06/19 17:45",3.07,3.08,3.07,3.08,0,678
"08/06/19 17:40",3.08,3.09,3.08,3.08,0,10806
"08/06/19 17:35",3.08,3.08,3.08,3.08,0,432
"08/06/19 17:20",3.08,3.08,3.08,3.08,0,200
"08/06/19 17:15",3.08,3.08,3.08,3.08,0,1350
"08/06/19 17:10",3.08,3.08,3.08,3.08,0.0099,500
"08/06/19 17:05",3.08,3.08,3.0701,3.0701,-0.0099,214
"08/06/19 17:00",3.08,3.08,3.08,3.08,0.00010000000000021,650
"08/06/19 16:50",3.0799,3.0799,3.0799,3.0799,-0.00010000000000021,262
"08/06/19 16:45",3.07,3.08,3.07,3.08,0.01,212903
"08/06/19 16:40",3.07,3.07,3.07,3.07,0,499
"08/06/19 16:35",3.07,3.07,3.07,3.07,-0.00010000000000021,2798
"08/06/19 16:30",3.0701,3.0701,3.0701,3.0701,-0.0099,139
"08/06/19 16:25",3.07,3.08,3.07,3.08,0.01,13253
"08/06/19 16:20",3.07,3.07,3.07,3.07,0,14081
"08/06/19 16:15",3.08,3.08,3.07,3.07,-0.01,593
"08/06/19 16:10",3.08,3.08,3.08,3.08,-0.0099999999999998,72337
"08/06/19 16:05",3.08,3.09,3.08,3.09,0,488
"08/06/19 16:00",3.08,3.09,3.08,3.09,-0.01,1331263
"08/06/19 15:55",3.105,3.11,3.09,3.1,0,985658
"08/06/19 15:50",3.1,3.11,3.1,3.1,0,147254
"08/06/19 15:45",3.11,3.1199,3.1,3.1,-0.015,267676
"08/06/19 15:40",3.11,3.12,3.11,3.115,0,137441
"08/06/19 15:35",3.115,3.12,3.11,3.115,0,187415
"08/06/19 15:30",3.1121,3.12,3.11,3.115,0.0049000000000001,82349
"08/06/19 15:25",3.14,3.14,3.1,3.1101,-0.0299,463746
"08/06/19 15:20",3.14,3.14,3.13,3.14,0,222549
"08/06/19 15:15",3.1328,3.14,3.13,3.14,0,252843
"08/06/19 15:10",3.14,3.14,3.13,3.14,0.0099,145705
"08/06/19 15:05",3.135,3.14,3.13,3.1301,-0.0038,194193
"08/06/19 15:00",3.1399,3.14,3.13,3.1339,-0.0059999999999998,190961
"08/06/19 14:55",3.13,3.14,3.12,3.1399,0.0099,444990
"08/06/19 14:50",3.105,3.13,3.1001,3.13,0.025,273028
"08/06/19 14:45",3.105,3.11,3.1,3.105,0,127313
"08/06/19 14:40",3.095,3.11,3.09,3.105,0.0136,230983
"08/06/19 14:35",3.1,3.11,3.09,3.0914,-0.0084,472434
"08/06/19 14:30",3.0901,3.1,3.08,3.0998,0.0098000000000003,438864
"08/06/19 14:25",3.09,3.1,3.085,3.09,0.0049999999999999,366832
"08/06/19 14:20",3.09,3.09,3.08,3.085,0,53380
"08/06/19 14:15",3.0799,3.09,3.07,3.085,0.0049999999999999,360001
"08/06/19 14:10",3.07,3.08,3.06,3.08,0.015,339838
"08/06/19 14:05",3.05,3.07,3.05,3.065,0.015,174688
"08/06/19 14:00",3.055,3.06,3.05,3.05,-0.0050000000000003,13114
"08/06/19 13:55",3.055,3.06,3.05,3.055,0.0049000000000001,49276
"08/06/19 13:50",3.045,3.07,3.0407,3.0501,0.0051000000000001,456813
"08/06/19 13:45",3.045,3.05,3.04,3.045,0,46915
"08/06/19 13:40",3.04,3.05,3.04,3.045,0.0015000000000001,175020
"08/06/19 13:35",3.055,3.06,3.04,3.0435,-0.0115,152256
"08/06/19 13:30",3.055,3.06,3.05,3.055,-0.0049999999999999,91415
"08/06/19 13:25",3.055,3.06,3.05,3.06,0.0049999999999999,92975
"08/06/19 13:20",3.055,3.06,3.05,3.055,-0.0049999999999999,50318
"08/06/19 13:15",3.055,3.06,3.05,3.06,0.01,48832
"08/06/19 13:10",3.055,3.06,3.05,3.05,-0.0050000000000003,136872
"08/06/19 13:05",3.055,3.06,3.05,3.055,0,35160
"08/06/19 13:00",3.05,3.06,3.04,3.055,0.0050000000000003,337695
"08/06/19 12:55",3.05,3.05,3.04,3.05,0.0049999999999999,50847
"08/06/19 12:50",3.035,3.05,3.03,3.045,0.0099999999999998,553568
"08/06/19 12:45",3.04,3.04,3.03,3.035,0,55954
"08/06/19 12:40",3.045,3.05,3.02,3.035,-0.0099999999999998,386569
"08/06/19 12:35",3.04,3.05,3.04,3.045,0.0049999999999999,28329
"08/06/19 12:30",3.055,3.06,3.04,3.04,-0.015,95471
"08/06/19 12:25",3.055,3.06,3.05,3.055,-0.0049999999999999,123285
"08/06/19 12:20",3.05,3.06,3.05,3.06,0,293158
"08/06/19 12:15",3.055,3.06,3.05,3.06,0.0049999999999999,28199
"08/06/19 12:10",3.06,3.06,3.045,3.055,0,203169
"08/06/19 12:05",3.055,3.06,3.03,3.055,0,345051
"08/06/19 12:00",3.055,3.06,3.05,3.055,-0.0049999999999999,151673
"08/06/19 11:55",3.055,3.06,3.05,3.06,0.0049999999999999,92441
"08/06/19 11:50",3.07,3.07,3.05,3.055,-0.015,240914
"08/06/19 11:45",3.05,3.07,3.05,3.07,0.015,229979
"08/06/19 11:40",3.05,3.06,3.05,3.055,0.0050000000000003,260746
"08/06/19 11:35",3.04,3.06,3.02,3.05,0.0099999999999998,771270
"08/06/19 11:30",3.035,3.04,3.03,3.04,0.0049999999999999,191667
"08/06/19 11:25",3.035,3.04,3.03,3.035,0,201292
"08/06/19 11:20",3.03,3.04,3.03,3.035,0.0050000000000003,167590
"08/06/19 11:15",3.0399,3.04,3.03,3.03,-0.0050000000000003,74764
"08/06/19 11:10",3.0501,3.06,3.03,3.035,-0.015,230585
"08/06/19 11:05",3.05,3.06,3.05,3.05,-0.0050000000000003,109146
"08/06/19 11:00",3.06,3.07,3.05,3.055,-0.0149,121092
"08/06/19 10:55",3.065,3.07,3.06,3.0699,0.0049000000000001,142394
"08/06/19 10:50",3.045,3.08,3.04,3.065,0.02,654539
"08/06/19 10:45",3.035,3.05,3.03,3.045,0.0099999999999998,805479
"08/06/19 10:40",3.035,3.04,3.03,3.035,0,290693
"08/06/19 10:35",3.02,3.04,3.01,3.035,0.025,357088
"08/06/19 10:30",3.01,3.02,3.01,3.01,0,169826
"08/06/19 10:25",3.015,3.02,3.01,3.01,-0.0050000000000003,155521
"08/06/19 10:20",3.0141,3.02,3.01,3.015,0,321640
"08/06/19 10:15",3.04,3.04,3.01,3.015,-0.025,385575
"08/06/19 10:10",3.035,3.05,3.03,3.04,0.0049999999999999,473639
"08/06/19 10:05",3.0101,3.04,3.01,3.035,0.015,506194
"08/06/19 10:00",3.0169,3.02,3.01,3.02,0.0049999999999999,238422
"08/06/19 09:55",3.025,3.03,3.01,3.015,-0.0099999999999998,205091
"08/06/19 09:50",3.025,3.03,3.02,3.025,0.0049999999999999,250454
"08/06/19 09:45",3.035,3.04,3.02,3.02,-0.015,229359
"08/06/19 09:40",3.05,3.05,3.03,3.035,-0.015,345111
"08/06/19 09:35",3.005,3.07,3,3.05,0.05,682974
"08/06/19 09:30",3.09,3.09,3,3,-0.08,558539
"08/06/19 09:25",3.08,3.09,3.0706,3.08,0.00010000000000021,47353
"08/06/19 09:20",3.08,3.08,3.07,3.0799,0.00039999999999996,40319
"08/06/19 09:15",3.09,3.09,3.07,3.0795,-0.00050000000000017,10993
"08/06/19 09:10",3.07,3.08,3.07,3.08,0,11111
"08/06/19 09:05",3.07,3.08,3.07,3.08,0,4670
"08/06/19 09:00",3.09,3.09,3.07,3.08,0,9580
"08/06/19 08:55",3.07,3.08,3.07,3.08,0,2155
"08/06/19 08:50",3.08,3.08,3.08,3.08,0.01,5100
"08/06/19 08:45",3.08,3.09,3.07,3.07,-0.01,47329
"08/06/19 08:40",3.07,3.08,3.07,3.08,0,11771
