Time,Open,High,Low,Last,Change,Volume
"07/15/20 16:35",423.56,423.56,423.56,423.56,0,100000
"07/15/20 16:10",423.56,423.56,423.56,423.56,0,0
"07/15/20 16:00",423.56,423.56,423.56,423.56,0.20999999999998,85322
"07/15/20 15:55",422.52,424.04,422.4,423.35,0.91000000000003,63163
"07/15/20 15:50",423.15,423.15,422.015,422.44,-0.85000000000002,28037
"07/15/20 15:45",422.055,423.35,422.055,423.29,1.29,16040
"07/15/20 15:40",422.53,422.53,421.675,422,-0.55000000000001,10687
"07/15/20 15:35",422.31,424.02,422.06,422.55,0.19499999999999,29718
"07/15/20 15:30",422.04,423.27,421.91,422.355,0.35500000000002,9698
"07/15/20 15:25",421.02,422.53,420.36,422,1.13,16855
"07/15/20 15:20",421.84,422.099,420.87,420.87,-1.03,5096
"07/15/20 15:15",421.08,421.9,420.18,421.9,0.95999999999998,7521
"07/15/20 15:10",421.3546,421.52,420.72,420.94,-0.38,7346
"07/15/20 15:05",422.1,422.1,420.3,421.32,-0.94999999999999,8117
"07/15/20 15:00",422.25,422.84,421.93,422.27,-0.10000000000002,9411
"07/15/20 14:55",422.85,423.27,422.29,422.37,-0.14999999999998,5540
"07/15/20 14:50",424.84,424.935,422.52,422.52,-2.2,28746
"07/15/20 14:45",424.7,425.35,424.57,424.72,0.13000000000005,21100
"07/15/20 14:40",424.63,425.13,424.06,424.59,-0.050000000000011,11561
"07/15/20 14:35",424.65,425.085,424.08,424.64,-0.03000000000003,11216
"07/15/20 14:30",424.92,425.73,424.67,424.67,-0.25,15660
"07/15/20 14:25",424.91,425.39,424.3509,424.92,0.090000000000032,12383
"07/15/20 14:20",424.08,424.905,423.96,424.83,0.81,8587
"07/15/20 14:15",424.34,424.79,424,424.02,-0.30000000000001,9232
"07/15/20 14:10",423.69,424.43,423.52,424.32,0.81999999999999,14803
"07/15/20 14:05",423.52,423.84,422.54,423.5,0.079999999999984,5145
"07/15/20 14:00",420.835,423.72,420.71,423.42,2.48,13239
"07/15/20 13:55",422.02,422.02,420.85,420.94,-0.72000000000003,4600
"07/15/20 13:50",420.83,422,420.83,421.66,0.78000000000003,5583
"07/15/20 13:45",421.37,421.67,420.8,420.88,-0.48000000000002,5506
"07/15/20 13:40",419.2,421.36,419.2,421.36,2.05,24456
"07/15/20 13:35",419.11,419.87,419.11,419.31,0.48000000000002,9536
"07/15/20 13:30",418.55,419.16,418.42,418.83,0.59499999999997,4524
"07/15/20 13:25",417.49,418.36,417.17,418.235,0.745,13294
"07/15/20 13:20",418.6,418.86,417.22,417.49,-0.90999999999997,6689
"07/15/20 13:15",419.0234,419.42,418.07,418.4,-0.76000000000005,5650
"07/15/20 13:10",418.84,419.79,418.43,419.16,0.35000000000002,4856
