Time,Open,High,Low,Last,Change,Volume
"07/15/20 18:00",124.99,124.99,124.99,124.99,0,126
"07/15/20 17:40",124.99,124.99,124.99,124.99,0.69,150
"07/15/20 16:45",124.51,124.51,124.3,124.3,-0.2,253
"07/15/20 16:35",124.5,124.5,124.5,124.5,-0.010000000000005,337282
"07/15/20 16:30",124.51,124.51,124.51,124.51,0.010000000000005,100
"07/15/20 16:15",124.5,124.5,124.5,124.5,0,3332
"07/15/20 16:10",124.5,124.5,124.5,124.5,0,0
"07/15/20 16:05",124.5,124.5,124.5,124.5,0,116
"07/15/20 16:00",124.5,124.5,124.5,124.5,-0.049999999999997,1553769
"07/15/20 15:55",124.52,124.59,124.41,124.55,0.039999999999992,462892
"07/15/20 15:50",125.28,125.33,124.51,124.51,-0.77,194337
"07/15/20 15:45",125.03,125.34,124.955,125.28,0.26000000000001,110974
"07/15/20 15:40",125,125.06,124.92,125.02,0.015000000000001,76805
"07/15/20 15:35",124.87,125.02,124.825,125.005,0.13499999999999,60032
"07/15/20 15:30",124.65,124.89,124.645,124.87,0.21000000000001,63039
"07/15/20 15:25",124.59,124.74,124.515,124.66,0.069999999999993,51260
"07/15/20 15:20",124.49,124.63,124.445,124.59,0.10000000000001,76282
"07/15/20 15:15",124.36,124.5,124.26,124.49,0.14,45781
"07/15/20 15:10",124.61,124.61,124.31,124.35,-0.26000000000001,61581
"07/15/20 15:05",124.71,124.74,124.57,124.61,-0.090000000000003,55857
"07/15/20 15:00",124.6,124.745,124.57,124.7,0.094999999999999,41866
"07/15/20 14:55",124.72,124.8,124.6,124.605,-0.10499999999999,53266
"07/15/20 14:50",124.75,124.87,124.66,124.71,-0.075000000000003,38231
"07/15/20 14:45",124.875,124.93,124.77,124.785,-0.094999999999999,28727
"07/15/20 14:40",124.875,124.94,124.84,124.88,0.019999999999996,20266
"07/15/20 14:35",125.02,125.02,124.845,124.86,-0.18000000000001,41446
"07/15/20 14:30",125.08,125.112,125.02,125.04,-0.044999999999987,32695
"07/15/20 14:25",125.12,125.16,124.98,125.085,-0.045000000000002,30378
"07/15/20 14:20",125.1,125.13,125.01,125.13,0.039999999999992,32610
"07/15/20 14:15",125.18,125.23,125.09,125.09,-0.084999999999994,31531
"07/15/20 14:10",125.2966,125.36,125.17,125.175,-0.11500000000001,23284
"07/15/20 14:05",125.39,125.45,125.25,125.29,-0.11,40841
"07/15/20 14:00",125.61,125.66,125.4,125.4,-0.20999999999999,56209
"07/15/20 13:55",125.69,125.71,125.57,125.61,-0.070000000000007,17874
"07/15/20 13:50",125.76,125.84,125.67,125.68,-0.079999999999998,27264
"07/15/20 13:45",125.81,125.85,125.745,125.76,-0.069999999999993,23777
"07/15/20 13:40",125.86,125.89,125.78,125.83,-0.030000000000001,24891
"07/15/20 13:35",125.865,125.965,125.83,125.86,-0.0049999999999955,28607
"07/15/20 13:30",125.785,125.89,125.76,125.865,0.064999999999998,30552
"07/15/20 13:25",125.91,125.91,125.75,125.8,-0.12,22345
"07/15/20 13:20",125.815,125.93,125.79,125.92,0.10000000000001,26517
"07/15/20 13:15",125.8,125.82,125.75,125.82,0.0099999999999909,27155
"07/15/20 13:10",125.96,125.985,125.79,125.81,-0.13,32649
"07/15/20 13:05",125.84,126,125.735,125.94,0.088999999999999,61418
"07/15/20 13:00",125.8,125.88,125.8,125.851,0.049999999999997,35019
"07/15/20 12:55",125.8098,125.83,125.7,125.801,-0.0090000000000003,29190
