Time,Open,High,Low,Last,Change,Volume
"07/15/20 17:50",57.7,57.7,57,57.15,-0.61,39578
"07/15/20 17:45",57.99,58.08,57.56,57.76,-0.24,7706
"07/15/20 17:40",57.76,58.09,57.74,58,0.24,9499
"07/15/20 17:35",57.75,57.78,57.62,57.76,0.07,5439
"07/15/20 17:30",57.7,57.99,57.69,57.69,0.030000000000001,6174
"07/15/20 17:25",58.2,58.2,57.47,57.66,-0.51000000000001,22355
"07/15/20 17:20",58.86,58.86,58.16,58.17,-0.4801,89411
"07/15/20 17:15",59,59,58.6501,58.6501,-0.3998,3810
"07/15/20 17:10",58.8,59.1,58.8,59.0499,0.099899999999998,8032
"07/15/20 17:05",58.7,58.95,58.7,58.95,0.060000000000002,6246
"07/15/20 17:00",58.51,58.89,58.51,58.89,0.38,4812
"07/15/20 16:55",58.69,58.79,58.51,58.51,-0.18,4808
"07/15/20 16:50",58.75,58.89,58.69,58.69,-0.010000000000005,13678
"07/15/20 16:45",58.4102,58.7,58.41,58.7,0.050000000000004,5983
"07/15/20 16:40",58.89,58.89,58.36,58.65,-0.34,5657
"07/15/20 16:35",59.17,59.24,58.85,58.99,-0.07,12431
"07/15/20 16:30",58.75,59.1799,58.75,59.06,0.31,18123
"07/15/20 16:25",58.97,58.97,58.36,58.75,-0.22,24789
"07/15/20 16:20",59.66,59.66,58.82,58.97,-0.58,32599
"07/15/20 16:15",58.77,59.68,58.36,59.55,0.81,37749
"07/15/20 16:10",58.36,58.74,58.36,58.74,0.25,3833
"07/15/20 16:05",58.5,58.55,58.4,58.49,0.13,11277
"07/15/20 16:00",58.38,58.46,58.25,58.36,0.009999999999998,304690
"07/15/20 15:55",58.3,58.43,58.19,58.35,0.039999999999999,648587
"07/15/20 15:50",58.66,58.67,58.27,58.31,-0.3,438190
"07/15/20 15:45",58.19,58.62,58.19,58.61,0.425,453474
"07/15/20 15:40",58.02,58.2815,57.9,58.185,0.165,338342
"07/15/20 15:35",58.075,58.1812,57.9455,58.02,-0.059899999999999,274338
"07/15/20 15:30",58.206,58.365,58.04,58.0799,-0.1322,340491
"07/15/20 15:25",57.9031,58.2345,57.81,58.2121,0.3253,377189
"07/15/20 15:20",57.815,57.905,57.71,57.8868,0.076799999999999,201394
"07/15/20 15:15",57.44,57.81,57.3,57.81,0.36,252661
"07/15/20 15:10",57.43,57.55,57.31,57.45,0.010000000000005,236994
"07/15/20 15:05",57.54,57.63,57.25,57.44,-0.1,373864
"07/15/20 15:00",57.46,57.85,57.42,57.54,0.1,285103
"07/15/20 14:55",57.58,57.85,57.41,57.44,-0.16,338385
"07/15/20 14:50",58.2071,58.28,57.43,57.6,-0.61,442086
"07/15/20 14:45",58.04,58.32,57.86,58.21,0.17,352708
"07/15/20 14:40",58.12,58.38,58.029,58.04,-0.089100000000002,370121
"07/15/20 14:35",57.884,58.19,57.875,58.1291,0.2491,280922
"07/15/20 14:30",57.6,58.24,57.6,57.88,0.2801,537866
"07/15/20 14:25",57.59,57.73,57.44,57.5999,-0.00010000000000332,332354
"07/15/20 14:20",57.2302,57.71,57.1698,57.6,0.37,350115
"07/15/20 14:15",57.1406,57.44,57.12,57.23,0.11,203224
"07/15/20 14:10",57.15,57.3648,57.08,57.12,-0.030000000000001,184900
"07/15/20 14:05",57.36,57.38,57.07,57.15,-0.23,181294
"07/15/20 14:00",57.205,57.44,57.0101,57.38,0.18,301424
"07/15/20 13:55",56.775,57.26,56.7,57.2,0.43,261301
"07/15/20 13:50",56.69,56.8599,56.59,56.77,0.1099,109512
"07/15/20 13:45",56.64,56.9,56.62,56.6601,0.035600000000002,103469
"07/15/20 13:40",56.5578,56.89,56.4601,56.6245,0.064499999999995,184052
"07/15/20 13:35",56.58,56.67,56.51,56.56,-0.0214,130569
"07/15/20 13:30",56.62,56.76,56.51,56.5814,-0.063199999999995,137568
"07/15/20 13:25",56.85,56.938,56.51,56.6446,-0.1755,150564
"07/15/20 13:20",56.8399,56.97,56.75,56.8201,9.9999999996214E-5,207236
"07/15/20 13:15",56.73,56.83,56.43,56.82,0.090000000000003,219157
"07/15/20 13:10",56.94,57.04,56.6,56.73,-0.19,264625
"07/15/20 13:05",56.77,57.12,56.62,56.92,0.1568,425657
"07/15/20 13:00",56.68,56.88,56.55,56.7632,0.093199999999996,336183
"07/15/20 12:55",56.32,56.82,56.18,56.67,0.37,346900
"07/15/20 12:50",56.13,56.33,56.09,56.3,0.2,186848
"07/15/20 12:45",55.91,56.2,55.9,56.1,0.162,152284
"07/15/20 12:40",55.8699,56.15,55.74,55.938,0.068000000000005,266916
"07/15/20 12:35",55.88,55.99,55.71,55.87,-0.039999999999999,157542
"07/15/20 12:30",55.52,55.95,55.46,55.91,0.37,167621
"07/15/20 12:25",55.49,55.664,55.4001,55.54,0.079999999999998,132180
"07/15/20 12:20",55.56,55.725,55.31,55.46,-0.094999999999999,214706
"07/15/20 12:15",55.4201,55.97,55.4,55.555,0.094999999999999,313791
"07/15/20 12:10",55.5481,55.55,55.26,55.46,-0.11,270875
"07/15/20 12:05",55.381,55.62,55.25,55.57,0.1699,309543
"07/15/20 12:00",55.68,55.82,55.27,55.4001,-0.2799,376336
"07/15/20 11:55",56.15,56.3,55.68,55.68,-0.4708,244412
"07/15/20 11:50",56.083,56.4,55.98,56.1508,0.080799999999996,429104
"07/15/20 11:45",56.65,56.8,55.91,56.07,-0.5601,563115
"07/15/20 11:40",55.75,56.65,55.62,56.6301,0.8201,663106
"07/15/20 11:35",55.68,55.98,55.57,55.81,0.125,279537
"07/15/20 11:30",55.285,55.84,55.136,55.685,0.375,322052
"07/15/20 11:25",54.76,55.35,54.63,55.31,0.5799,332753
"07/15/20 11:20",55.26,55.3299,54.63,54.7301,-0.5399,441074
"07/15/20 11:15",55.395,55.4,54.98,55.27,-0.12009999999999,271945
"07/15/20 11:10",55.465,55.6,54.95,55.3901,-0.060000000000002,460067
