Time,Open,High,Low,Last,Change,Volume
"05/18/17 19:50",92.11,92.2,92.11,92.2,0.090000000000003,200
"05/18/17 19:45",92.11,92.11,92.11,92.11,0.11,161
"05/18/17 19:25",91.99,92,91.99,92,0.3,398
"05/18/17 18:50",91.7,91.7,91.7,91.7,-0.099999999999994,420
"05/18/17 17:45",91.8,91.8,91.8,91.8,-0.19,200
"05/18/17 17:15",91.99,91.99,91.99,91.99,0,101
"05/18/17 17:10",91.99,91.99,91.99,91.99,0.28999999999999,155
"05/18/17 16:55",91.7,91.7,91.7,91.7,0.030000000000001,675
"05/18/17 16:20",91.7,91.7,91.67,91.67,-0.31999999999999,1000
"05/18/17 16:15",91.99,91.99,91.99,91.99,-0.12,200
"05/18/17 16:00",92.11,92.11,92.11,92.11,0.099999999999994,26113
"05/18/17 15:55",92.15,92.27,92,92.01,-0.125,155874
"05/18/17 15:50",92.37,92.65,92.11,92.135,-0.21599999999999,122715
"05/18/17 15:45",92.29,92.63,92.29,92.351,0.031099999999995,64204
"05/18/17 15:40",92.41,92.7399,92.21,92.3199,-0.060099999999991,83317
"05/18/17 15:35",92.29,92.41,92,92.38,0.049999999999997,61393
"05/18/17 15:30",92.165,92.5,92.11,92.33,0.16499999999999,66560
"05/18/17 15:25",91.95,92.5,91.95,92.165,0.20500000000001,109288
"05/18/17 15:20",91.93,92,91.86,91.96,0.049099999999996,45855
"05/18/17 15:15",91.82,91.95,91.67,91.9109,0.0809,35210
"05/18/17 15:10",91.74,92,91.73,91.83,0.090000000000003,62455
"05/18/17 15:05",91.84,91.84,91.65,91.74,-0.02000000000001,45321
"05/18/17 15:00",91.484,91.85,91.45,91.76,0.27000000000001,49470
"05/18/17 14:55",91.695,91.93,91.26,91.49,-0.205,38074
"05/18/17 14:50",91.45,91.73,91.36,91.695,0.24499999999999,31633
"05/18/17 14:45",91.49,91.53,91.08,91.45,0.010000000000005,30968
"05/18/17 14:40",91.5,91.6695,91.33,91.44,-0.049999999999997,78007
"05/18/17 14:35",91.834,92.1,91.45,91.49,-0.36,62364
"05/18/17 14:30",91.85,92.2,91.82,91.85,0,62126
"05/18/17 14:25",91.87,92.01,91.75,91.85,-0.02000000000001,19629
"05/18/17 14:20",91.935,92.04,91.61,91.87,-0.030000000000001,91131
"05/18/17 14:15",91.87,91.99,91.41,91.9,0.050000000000011,24095
"05/18/17 14:10",92.01,92.469,91.63,91.85,-0.1559,82491
"05/18/17 14:05",92.7,92.98,91.94,92.0059,-0.6841,87888
"05/18/17 14:00",91.962,92.98,91.7811,92.69,0.735,121176
"05/18/17 13:55",91.92,92.06,91.82,91.955,0.088399999999993,51569
"05/18/17 13:50",91.39,91.95,91.37,91.8666,0.48180000000001,35830
"05/18/17 13:45",91.3,91.42,90.99,91.3848,0.084800000000001,57337
"05/18/17 13:40",90.56,91.32,90.51,91.3,0.73999999999999,79076
"05/18/17 13:35",90.53,90.58,90.3183,90.56,0.070000000000007,23801
"05/18/17 13:30",90.3,90.55,90.15,90.49,0.369,22306
"05/18/17 13:25",89.95,90.67,89.93,90.121,0.411,64462
"05/18/17 13:20",89.5621,90.58,89.53,89.71,0.11,104583
"05/18/17 13:15",89.4328,89.61,89.42,89.6,0.18499999999999,38772
"05/18/17 13:10",89.31,89.499,89.23,89.415,0.125,7921
"05/18/17 13:05",89.44,89.56,89.29,89.29,-0.094999999999999,36933
"05/18/17 13:00",89.59,89.73,89.35,89.385,-0.21499999999999,24066
"05/18/17 12:55",89.62,89.819,89.5,89.6,-0.070000000000007,28508
"05/18/17 12:50",89.27,89.67,89.23,89.67,0.45,68549
"05/18/17 12:45",89.5004,89.54,89.22,89.22,-0.29000000000001,17717
"05/18/17 12:40",89.37,89.55,89.1,89.51,0.060000000000002,17662
"05/18/17 12:35",89.38,89.45,89.26,89.45,0.17,14174
