Time,Open,High,Low,Last,Change,Volume
"04/06/20 19:55",50.83,50.83,50.73,50.75,0.049999999999997,4541
"04/06/20 19:50",50.6,50.7,50.6,50.7,0.1,500
"04/06/20 19:45",50.5,50.7,50.5,50.6,0.1,1094
"04/06/20 19:40",50.25,50.5,50.25,50.5,0.3,5762
"04/06/20 19:35",50.2,50.25,50.2,50.2,0.010000000000005,2658
"04/06/20 19:30",50.18,50.19,50.08,50.19,0.009999999999998,1905
"04/06/20 19:25",50.18,50.19,50.17,50.18,0,4175
"04/06/20 19:20",50.18,50.18,50.18,50.18,0.1,600
"04/06/20 19:15",50.1,50.1,50.08,50.08,-0.020000000000003,1300
"04/06/20 19:10",50.1,50.1,50.1,50.1,-0.07,3400
"04/06/20 19:05",50.17,50.17,50.17,50.17,0.090000000000003,439
"04/06/20 18:55",50.08,50.08,50.08,50.08,0,200
"04/06/20 18:50",50.08,50.08,50.08,50.08,0,145
"04/06/20 18:45",50.07,50.08,50.07,50.08,0.009999999999998,347
"04/06/20 18:40",50.08,50.08,50.07,50.07,-0.009999999999998,799
"04/06/20 18:35",50.14,50.14,50.08,50.08,-0.060000000000002,561
"04/06/20 18:30",50.42,50.42,50.14,50.14,0.049999999999997,100
"04/06/20 18:25",50.1,50.1,50.09,50.09,0.020000000000003,500
"04/06/20 18:20",50.08,50.08,50.07,50.07,-0.030000000000001,489
"04/06/20 18:15",50.1,50.11,50.1,50.1,-0.2,1537
"04/06/20 18:10",50.13,50.3,50.13,50.3,0.3,500
"04/06/20 18:05",50.3,50.3,50,50,-0.15,200
"04/06/20 18:00",50.32,50.33,50.05,50.15,-0.2,760
"04/06/20 17:55",50.3,50.35,50.3,50.35,0.15,301
"04/06/20 17:45",50.32,50.32,50.2,50.2,-0.16,1420
"04/06/20 17:40",50.36,50.36,50.36,50.36,0,100
"04/06/20 17:35",50.36,50.36,50.36,50.36,0.15,100
"04/06/20 17:20",50.27,50.3,50.2,50.21,-0.039999999999999,3149
"04/06/20 17:15",50.25,50.25,50.25,50.25,-0.049999999999997,179
"04/06/20 17:05",50.3,50.3,50.3,50.3,0,283
"04/06/20 17:00",50.3,50.3,50.3,50.3,0,1953
"04/06/20 16:55",50.4,50.4,50.3,50.3,-0.1,3809
"04/06/20 16:50",50.31,50.5,50.31,50.4,0.1,2290
"04/06/20 16:40",50.4198,50.4198,50.3,50.3,-0.15000000000001,1077
"04/06/20 16:35",50.4,50.45,50.4,50.45,0.030000000000001,435
"04/06/20 16:30",50.42,50.42,50.42,50.42,0.039999999999999,480
"04/06/20 16:25",50.3798,50.38,50.3798,50.38,-0.009999999999998,697
"04/06/20 16:20",50.39,50.39,50.39,50.39,-0.009999999999998,100
"04/06/20 16:10",50.42,50.42,50.37,50.4,1.2037,400
"04/06/20 16:05",50.4,50.4,49.1963,49.1963,-1.2037,373546
"04/06/20 16:00",50.3,50.42,50.3,50.4,-0.020000000000003,1740662
"04/06/20 15:55",50.41,50.5,50.28,50.42,0,720181
"04/06/20 15:50",50.48,50.92,50.28,50.42,-0.23999999999999,489383
"04/06/20 15:45",50.74,50.77,50.27,50.66,-0.075000000000003,354745
"04/06/20 15:40",50.84,50.905,50.65,50.735,-0.094999999999999,288277
"04/06/20 15:35",50.88,51.0398,50.73,50.83,-0.060000000000002,251684
"04/06/20 15:30",50.9,51.1,50.75,50.89,0,375159
"04/06/20 15:25",50.6045,50.97,50.46,50.89,0.27,256595
"04/06/20 15:20",50.19,50.67,50.16,50.62,0.43,276581
"04/06/20 15:15",50.38,50.45,50.15,50.19,-0.17,173003
"04/06/20 15:10",50.21,50.36,49.98,50.36,0.13,144570
"04/06/20 15:05",50.26,50.37,50.135,50.23,-0.040000000000006,160701
"04/06/20 15:00",50.27,50.37,50.04,50.27,-0.009999999999998,182024
