Time,Open,High,Low,Last,Change,Volume
"07/14/20 06:00",31.61,31.61,31.61,31.61,0,100
"07/14/20 05:55",31.61,31.61,31.61,31.61,-0.09,250
"07/14/20 04:10",31.7,31.7,31.7,31.7,-0.12,500
"07/13/20 19:55",31.73,31.83,31.68,31.82,0.12,22821
"07/13/20 19:50",31.72,31.75,31.7,31.7,-0.030000000000001,3222
"07/13/20 19:45",31.66,31.7399,31.64,31.73,0.09,3075
"07/13/20 19:40",31.62,31.65,31.62,31.64,-0.039999999999999,8091
"07/13/20 19:30",31.65,31.69,31.65,31.68,0.079999999999998,5893
"07/13/20 19:25",31.6,31.6,31.6,31.6,-0.059999999999999,1078
"07/13/20 19:20",31.54,31.66,31.5,31.66,0.1,10396
"07/13/20 19:15",31.68,31.68,31.56,31.56,-0.09,999
"07/13/20 19:10",31.65,31.65,31.65,31.65,0.079999999999998,709
"07/13/20 19:05",31.55,31.63,31.55,31.57,-0.079999999999998,1422
"07/13/20 19:00",31.58,31.65,31.58,31.65,0.07,3200
"07/13/20 18:55",31.6,31.6,31.58,31.58,-0.020000000000003,15167
"07/13/20 18:50",31.67,31.74,31.55,31.6,-0.15,3973
"07/13/20 18:40",31.75,31.75,31.75,31.75,0.050000000000001,600
"07/13/20 18:35",31.72,31.72,31.7,31.7,-0.030000000000001,5759
"07/13/20 18:30",31.76,31.79,31.73,31.73,-0.07,21084
"07/13/20 18:25",31.8,31.8,31.7801,31.8,0,5528
"07/13/20 18:20",31.76,31.8,31.75,31.8,0.039999999999999,11376
"07/13/20 18:15",31.68,31.79,31.68,31.76,0.060000000000002,5343
"07/13/20 18:10",31.63,31.7,31.63,31.7,0.07,12499
"07/13/20 18:05",31.67,31.7,31.63,31.63,0.029999999999998,21915
"07/13/20 18:00",31.6,31.73,31.6,31.6,0.010000000000002,21161
"07/13/20 17:55",31.52,31.6,31.5,31.59,0.18,38313
"07/13/20 17:50",31.38,31.45,31.38,31.41,0.030000000000001,2847
"07/13/20 17:45",31.33,31.38,31.32,31.38,0.039999999999999,2699
"07/13/20 17:40",31.35,31.35,31.3,31.34,0,25605
"07/13/20 17:35",31.36,31.39,31.34,31.34,-0.02,18621
"07/13/20 17:30",31.5,31.5,31.35,31.36,-0.14,41095
"07/13/20 17:25",31.5,31.55,31.49,31.5,0,19595
"07/13/20 17:20",31.56,31.56,31.5,31.5,-0.07,28189
"07/13/20 17:15",31.6,31.6,31.5601,31.57,-0.030000000000001,8357
