Time,Open,High,Low,Last,Change,Volume
"04/14/20 19:55",749.9,749.99,746,746.5,-3.4,23392
"04/14/20 19:50",747.5,749.9,746.35,749.9,2.41,19219
"04/14/20 19:45",744.8,747.49,744.5,747.49,3.37,16901
"04/14/20 19:40",743,745,742.2,744.12,1.12,18060
"04/14/20 19:35",741.01,744.49,741.01,743,1,12099
"04/14/20 19:30",742.5,743.03,740.5,742,-1,8264
"04/14/20 19:25",742.3,743.7,742,743,1,12443
"04/14/20 19:20",741,742,739.26,742,0.40999999999997,11929
"04/14/20 19:15",741.27,744.79,739,741.59,-0.40999999999997,24840
"04/14/20 19:10",747,748.6,740.97,742,-5,37823
"04/14/20 19:05",744,747.4,740.53,747,2.02,40019
"04/14/20 19:00",732.5,744.98,731.3,744.98,11.98,34030
"04/14/20 18:55",736.09,736.5,733,733,-4,10558
"04/14/20 18:50",729.99,738.8699,727.11,737,7,36054
"04/14/20 18:45",717.7,730.99,717.7,730,12.3,39215
"04/14/20 18:40",711.85,718.75,711.4999,717.7,6.45,6975
"04/14/20 18:35",712,712.45,711,711.25,-1.25,2057
"04/14/20 18:30",712,712.51,711,712.5,0.75,3138
"04/14/20 18:25",712,712,710.51,711.75,-0.25999999999999,1370
"04/14/20 18:20",712.7,713,710.16,712.01,0.0099999999999909,2486
"04/14/20 18:15",710,713,710,712,5,1026
"04/14/20 18:10",712.07,712.07,706.01,707,-5.65,5925
"04/14/20 18:05",714.25,714.25,712.56,712.65,-0.61000000000001,2395
"04/14/20 18:00",716,716,713.26,713.26,-3.24,4329
"04/14/20 17:55",717.5,717.5,716.5,716.5,6.61,1654
"04/14/20 17:50",717.51,717.51,709.89,709.89,-7.71,4042
"04/14/20 17:45",717.63,717.91,717,717.6,0.30000000000007,2912
"04/14/20 17:40",717.5,717.7,717.1,717.3,-0.70000000000005,1816
"04/14/20 17:35",717.25,718,716.75,718,1,1361
"04/14/20 17:30",718.79,718.79,717,717,-2,1922
"04/14/20 17:25",719.99,720,719,719,-0.5,1133
"04/14/20 17:20",718.32,719.5,718.25,719.5,0,1528
"04/14/20 17:15",718,719.5,718,719.5,1.5,963
"04/14/20 17:10",720.35,720.35,718,718,-2.79,4442
"04/14/20 17:05",720.5,720.79,720.09,720.79,-0.21000000000004,1234
"04/14/20 17:00",721.6,722.14,720,721,-1.61,4930
"04/14/20 16:55",723.48,723.75,722.5,722.61,-0.38999999999999,1518
"04/14/20 16:50",724.59,724.59,721.8,723,-1.7,4023
"04/14/20 16:45",721,724.73,720.06,724.7,2.7,7909
"04/14/20 16:40",718.75,723.99,718.75,722,2.54,12271
